name,latitude_degree,longitude_degree,elevation_m
N2E11,21.927919,112.09549,7193.280000000001
N2E10,23.594467,101.468758,9806.94
N2E11,27.791977,115.56591,9784.08
N2E11,24.714523,112.509056,9525.0
N2E11,23.656082,111.737823,8869.68
N2E11,25.640121,110.422005,7802.88
N2E11,25.144772,110.734879,8404.86
N2E11,28.175039,118.949142,6614.160000000001
N4W11,44.322292,-108.445305,11582.400000000001
N2W7,22.987244,-70.917496,11277.6
N3W10,33.468567,-96.192551,7269.4800000000005
N3W10,35.513443,-97.239929,11277.6
N4E1,44.061035,17.735447,10675.62
N3E2,38.549057,23.673388,8008.620000000001
N4E2,40.087967,22.835632,10652.76
N4E1,42.588409,19.537312,11277.6
N4E2,40.283798,21.186218,11277.6
N3E2,38.369247,23.552992,6149.34
N4E2,41.983704,20.453234,11277.6
N4E2,49.601315,21.943781,11269.980000000001
N4E1,46.768845,15.096889,10980.42
N4E1,45.292648,16.532331,11285.220000000001
N4E0,48.675842,6.084877,10668.0
N4E0,41.227173,0.141574,10355.58
N4E2,45.2742,26.496538,10363.2
N4W0,41.35268,-0.490515,10355.58
N3E1,39.533184,14.513428,10363.2
N3W1,33.433411,-4.990814,10668.0
N4E2,41.434284,23.433966,10363.2
N3E2,39.25351,23.864513,8968.74
N3E2,36.789688,24.361839,7292.34
N3E2,36.079193,23.771324,7094.22
N5W1,52.611568,-5.529576,4998.72
N4W1,49.934509,-5.456013,10980.42
N4W2,40.099445,-11.050561,10972.800000000001
N5W2,56.104431,-12.944724,10363.2
N5W1,53.643585,-3.833017,9403.08
N5W1,53.307358,-4.286787,10058.4
N5E0,51.068176,0.357056,10881.36
N5W1,54.388412,-9.706179,10363.2
N5W1,54.240829,-8.958644,9448.800000000001
N3W2,30.788439,-14.056293,10119.36
N5W1,51.786072,-2.421223,9761.220000000001
N5W1,53.563843,-3.976187,4823.46
N5W1,54.396103,-7.115667,4572.0
N3E13,35.88065,132.499084,10370.82
N3E12,34.989594,126.687927,8801.1
N4E7,43.189064,70.787003,10050.78
N2E3,26.517179,38.137032,5532.12
N4E5,47.125298,58.295357,10972.800000000001
N5E4,58.786972,41.53204,10972.800000000001
N4E6,45.15509,61.107983,11582.400000000001
N4E5,48.057266,56.92511,10972.800000000001
N4E4,48.261978,44.991196,12496.800000000001
N5E3,54.144604,39.068199,8534.4
N2E5,26.315281,56.029324,6096.0
N6E10,62.316238,109.424034,10668.0
N4E4,49.802128,43.705784,10058.4
N5E4,51.811665,42.242641,10363.2
N4E5,46.220272,51.888634,11277.6
N2E8,23.615891,81.464027,9753.6
N5E3,54.878784,38.053955,7117.08
N5E4,53.342781,48.181557,10972.800000000001
N2E5,27.468613,55.994568,9525.0
N5E3,54.012878,39.318455,9494.52
N5E5,52.498913,53.748726,10370.82
N5E4,50.625072,42.96851,10408.92
N5E6,57.512451,62.492893,9364.98
N2E10,26.01111,103.086571,10088.880000000001
N5E4,55.676601,42.74789,10972.800000000001
N6E10,67.886986,103.815308,10370.82
N3E3,38.685959,35.432899,10668.0
N5E6,56.753128,60.655777,10972.800000000001
N5E6,55.435318,60.607292,4968.240000000001
N4E4,46.231026,48.336342,10378.44
N5E4,51.478962,42.424084,10363.2
N4E4,46.597767,47.294289,10370.82
N5E3,55.751137,39.182194,6842.76
N5E4,55.861855,41.503178,10972.800000000001
N5E4,50.184391,43.37138,10668.0
N4E4,47.352676,46.052353,10972.800000000001
N4E4,43.682941,40.025227,11041.380000000001
N5E5,53.652924,53.168648,10073.640000000001
N5E9,56.378998,92.649338,10972.800000000001
N4E4,41.335007,40.798523,11795.76
N4E4,49.053074,45.087925,10972.800000000001
N5E2,59.758984,28.009762,10972.800000000001
N5E4,51.317604,44.358185,10370.82
N5E3,59.699795,37.230518,10058.4
N5E4,57.747986,49.99807,10675.62
N5E3,55.903648,38.792294,5814.06
N5E3,55.256824,30.819807,10668.0
N6E3,62.077744,36.288036,10660.380000000001
N5E4,53.56115,42.793404,10058.4
N4E4,45.319908,47.521698,10058.4
N5E4,56.140434,44.032288,10660.380000000001
N5E4,56.042904,41.372334,10668.0
N4E5,46.032303,50.649517,10363.2
N5E3,54.621117,39.282349,10058.4
N5E3,56.463612,36.158985,8420.1
N4E4,43.868786,40.218746,9136.380000000001
N4E2,41.556244,28.881683,3093.7200000000003
N5E9,56.564087,91.629066,4937.76
N4E1,42.873821,15.356206,12192.0
N4E1,42.868973,13.919358,3977.6400000000003
N3W8,39.138004,-74.754456,8511.54
N3W1,32.430431,-9.818694,12192.0
N1W2,10.327835,-19.354792,10972.800000000001
S4W6,-35.37188,-58.137661,5402.58
S5W6,-41.144123,-60.820313,11277.6
S5W7,-48.863464,-64.346924,11582.400000000001
S2W7,-19.03088,-64.455292,10363.2
S4W7,-38.883308,-61.113873,8534.4
S3W5,-25.904434,-46.402466,11277.6
S3W7,-27.810354,-63.477524,12192.0
S5W7,-44.40509,-62.18314,11582.400000000001
S4W7,-39.443481,-67.084785,11582.400000000001
S3W6,-24.31805,-52.432976,10972.800000000001
S3W7,-29.975172,-62.082039,11582.400000000001
S4W7,-32.294453,-64.929314,10972.800000000001
S3W6,-30.334696,-52.54409,11887.2
S5W7,-43.880699,-66.051437,11887.2
S5W7,-49.601456,-66.67395,11277.6
S3W7,-29.563362,-62.259624,10972.800000000001
S4W6,-34.019077,-59.808815,7056.120000000001
S3W7,-28.302317,-64.8293,11277.6
S4W6,-37.476974,-59.417862,10972.800000000001
S4W7,-38.64743,-67.153275,11887.2
S4W6,-36.391022,-58.827095,10927.08
S4W6,-33.521164,-55.82505,12496.800000000001
S4W6,-32.544296,-58.381908,10218.42
S4W7,-34.221802,-61.282158,10972.800000000001
S3W7,-30.562889,-61.671989,10972.800000000001
S3W5,-23.808746,-46.755981,5059.68
S5W8,-49.682922,-72.106613,6812.280000000001
S4W6,-34.549404,-58.596134,4411.9800000000005
N5W11,50.16893,-105.56105,10058.4
N1E9,19.061279,91.803703,10668.0
N4E9,41.905289,98.631378,10698.480000000001
N4E3,41.299667,36.762268,10363.2
N3E8,38.613972,88.748627,9174.48
N3E4,39.029907,41.317688,10668.0
N2E8,23.033348,82.423553,11887.2
N4E3,42.522297,31.576323,10058.4
N4W8,42.130005,-76.465469,10058.4
N2E5,25.157993,56.277,11887.2
N4E0,40.65905,7.4129,12192.0
N2W11,26.248718,-106.593086,11879.58
N4W2,42.794151,-17.047348,12496.800000000001
N5W2,53.957489,-13.115414,11887.2
N5W16,57.584698,-151.211121,11582.400000000001
N1W10,17.499359,-99.769638,12192.0
N3W5,39.554214,-50.996819,10359.5424
N4W4,40.796658,-32.965603,9745.980000000001
N1W10,19.830734,-99.143127,6057.900000000001
N2W10,20.429264,-96.674644,11582.400000000001
N3W8,36.584381,-80.072365,9144.0
N2W11,23.5448,-104.328819,9753.6
N1W10,19.309542,-91.727951,11277.6
N2W10,25.328934,-99.616341,6461.76
N1W10,16.503113,-95.21981,11277.6
N2W10,21.850067,-100.655838,11582.400000000001
N1W10,19.291992,-99.178276,3169.92
N2W10,20.436106,-92.73909,11887.2
N2W9,25.463934,-85.819443,10363.2
N1W9,13.11721,-88.361252,10972.800000000001
N1W10,19.392609,-99.440643,9014.460000000001
N1W10,19.651142,-98.529083,5935.9800000000005
N4W1,40.801163,-9.265259,10241.28
N1W10,18.634628,-94.663147,10058.4
N2W10,21.43396,-100.56485,11582.400000000001
N2W11,25.4401,-103.610298,12496.800000000001
N4W1,49.457382,-2.866275,10972.800000000001
N2W10,21.241972,-100.022484,11582.400000000001
N2W10,22.6875,-99.877609,10972.800000000001
N2W11,22.194672,-102.877876,9700.26
N2W11,24.330992,-106.343513,9121.140000000001
N5E0,52.668549,3.877232,6332.22
N2W9,20.831085,-89.739517,11582.400000000001
N1W10,19.546539,-98.887543,3672.84
N2W10,20.515106,-96.152695,11269.980000000001
N3W11,31.390091,-106.386108,4396.74
N2W11,28.665798,-110.480774,6568.4400000000005
N1W10,18.721985,-98.360008,6903.72
N2W11,24.245569,-103.052223,9753.6
N2W10,20.780365,-99.553688,10424.16
N2W10,20.730177,-100.315216,10172.7
N1W10,19.748245,-98.790436,5494.02
N1W10,19.527826,-99.23925,3878.5800000000004
N2W10,20.064743,-99.012611,5059.68
N2W10,20.899567,-98.810005,9654.54
N1W10,18.796909,-98.770935,5623.56
N2W10,20.392906,-98.890984,9090.66
N2W11,28.825333,-110.927368,4213.860000000001
N3E10,31.003693,104.667557,11308.08
N2E8,23.016312,83.272957,11277.6
N2E4,25.188766,46.940968,4572.0
N2W9,24.122345,-82.521523,10050.78
S5W8,-43.703339,-72.713394,9753.6
S4W8,-33.483387,19.690849,7749.54
N0W0,6.052348,-0.230567,4648.2
N0E0,1.485626,9.443447,4876.8
N3E2,34.732765,25.287437,10957.560000000001
N3E0,36.623623,6.451721,11582.400000000001
N3E2,34.659924,22.811966,12184.380000000001
N5W2,57.214394,-15.97086,11579.9616
N4E0,49.865219,2.121104,10972.800000000001
N4E0,48.540619,3.199768,9151.62
N3E2,33.124878,26.715509,11582.400000000001
N3E0,38.938759,2.133606,10668.0
N4E0,43.279816,5.269477,11277.6
N3W0,39.711758,-0.093079,11887.2
N4E0,43.971428,3.02621,11277.6
N4E0,46.897099,1.802462,10668.0
N4E0,46.925541,2.825458,9448.800000000001
N4W1,40.616913,-3.15033,5570.22
N3E0,36.629013,2.403946,3459.48
N5E1,53.724976,17.439775,8229.6
N4E3,40.163177,33.871704,11582.400000000001
N2E5,24.245243,57.402996,7658.1
N2E8,23.205685,88.699287,8336.28
N2E8,22.942062,88.534775,11003.28
N2E3,29.1064,38.210976,9136.380000000001
N2E6,22.868042,69.861755,10363.2
N1E7,14.894943,73.709587,10058.4
