id,name,latitude_degree,longitude_degree,elevation_m
0,Kabul,34.5289,69.1725,0
1,Tiranë (Tirana),41.3275,19.8189,0
2,El Djazaïr  (Algiers),36.7525,3.042,0
3,Pago Pago,-14.2781,-170.7025,0
4,Andorra la Vella,42.5078,1.5211,0
5,Luanda,-8.8368,13.2343,0
6,The Valley,18.217,-63.0578,0
7,St. John's,17.1172,-61.8457,0
8,Buenos Aires,-34.6051,-58.4004,0
9,Yerevan,40.182,44.5146,0
10,Oranjestad,12.524,-70.027,0
11,Canberra,-35.2835,149.1281,0
12,Wien (Vienna),48.2064,16.3707,0
13,Baku,40.3777,49.892,0
14,Nassau,25.0582,-77.3431,0
15,Al-Manamah (Manama),26.2154,50.5832,0
16,Dhaka,23.7104,90.4074,0
17,Bridgetown,13.1,-59.6167,0
18,Minsk,53.9,27.5667,0
19,Bruxelles-Brussel,50.8467,4.3499,0
20,Belmopan,17.25,-88.7667,0
21,Cotonou,6.3654,2.4183,0
22,Hamilton,32.2915,-64.778,0
23,Thimphu,27.4661,89.6419,0
24,La Paz,-16.5,-68.15,0
25,Sarajevo,43.8486,18.3564,0
26,Gaborone,-24.6545,25.9086,0
27,Brasília,-15.7797,-47.9297,0
28,Road Town,18.4167,-64.6167,0
29,Bandar Seri Begawan,4.9403,114.9481,0
30,Sofia,42.6975,23.3242,0
31,Ouagadougou,12.3642,-1.5383,0
32,Bujumbura,-3.3822,29.3644,0
33,Praia,14.9215,-23.5087,0
34,Phnum Pénh (Phnom Penh),11.5625,104.916,0
35,Yaoundé,3.8667,11.5167,0
36,Ottawa-Gatineau,45.4166,-75.698,0
37,Kralendijk,12.15,-68.2667,0
38,George Town,19.2866,-81.3744,0
39,Bangui,4.3612,18.555,0
40,N'Djaména,12.1067,15.0444,0
41,St. Helier,49.188,-2.1049,0
42,St. Peter Port,49.4598,-2.5353,0
43,Santiago,-33.4569,-70.6483,0
44,Beijing,39.9075,116.3972,0
45,Hong Kong,22.2796,114.1887,0
46,Macao,22.2006,113.5461,0
47,Taibei,25.047,121.5457,0
48,Bogotá,4.6097,-74.0818,0
49,Moroni,-11.7022,43.2551,0
50,Brazzaville,-4.2658,15.2832,0
51,Rarotonga,-21.23,-159.76,0
52,San José,9.9278,-84.0807,0
53,Abidjan,5.3453,-4.0268,0
54,Zagreb,45.8144,15.978,0
55,La Habana (Havana),23.1195,-82.3785,0
56,Willemstad,12.1084,-68.9335,0
57,Lefkosia (Nicosia),35.1595,33.3669,0
58,Praha (Prague),50.088,14.4208,0
59,P'yongyang,39.0339,125.7543,0
60,Kinshasa,-4.3276,15.3136,0
61,København (Copenhagen),55.6759,12.5655,0
62,Djibouti,11.5877,43.1447,0
63,Roseau,15.3017,-61.3881,0
64,Santo Domingo,18.4896,-69.9018,0
65,Quito,-0.2299,-78.525,0
66,Al-Qahirah (Cairo),30.0392,31.2394,0
67,San Salvador,13.6894,-89.1872,0
68,Malabo,3.75,8.7833,0
69,Asmara,15.3333,38.9333,0
70,Tallinn,59.437,24.7535,0
71,Addis Ababa,9.025,38.7469,0
72,Tórshavn,62.0097,-6.7716,0
73,Stanley,-51.7012,-57.8494,0
74,Suva,-18.1416,178.4415,0
75,Helsinki,60.1692,24.9402,0
76,Paris,48.8534,2.3488,0
77,Cayenne,4.9333,-52.3333,0
78,Papeete,-17.5333,-149.5667,0
79,Libreville,0.3925,9.4537,0
80,Banjul,13.4531,-16.6794,0
81,Tbilisi,41.6941,44.8337,0
82,Berlin,52.5244,13.4105,0
83,Accra,5.556,-0.1969,0
84,Gibraltar,36.1447,-5.3526,0
85,Athínai (Athens),37.9534,23.749,0
86,Nuuk (Godthåb),64.1835,-51.7216,0
87,St.George's,12.0564,-61.7485,0
88,Basse-Terre,15.9985,-61.7255,0
89,Hagåtña,13.4757,144.7489,0
90,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,0
91,Conakry,9.5716,-13.6476,0
92,Bissau,11.8636,-15.5977,0
93,Georgetown,6.8045,-58.1553,0
94,Port-au-Prince,18.5392,-72.335,0
95,Vatican City,41.9024,12.4533,0
96,Tegucigalpa,14.0818,-87.2068,0
97,Budapest,47.498,19.0399,0
