airline_name,icao,model_code,model_name,registration,lat,lng,alt
9 Air,JYH,B738,Boeing 737-8GP,B-1716,21.927919,112.09549,23600
9 Air,JYH,B738,Boeing 737-86X,B-1592,31.732731,118.86129,0
9 Air,JYH,B738,Boeing 737-84P,B-7113,23.594467,101.468758,32175
9 Air,JYH,B738,Boeing 737-86X,B-1556,29.944929,121.255081,3675
9 Air,JYH,B738,Boeing 737-86N,B-220S,27.791977,115.56591,32100
9 Air,JYH,B738,Boeing 737-84P,B-7105,32.082958,116.912437,1750
9 Air,JYH,B738,Boeing 737-86N,B-221M,24.714523,112.509056,31250
9 Air,JYH,B738,Boeing 737-86X,B-1233,23.656082,111.737823,29100
9 Air,JYH,B738,Boeing 737-86N,B-220Y,25.640121,110.422005,25600
9 Air,JYH,B738,Boeing 737-86N,B-6992,25.144772,110.734879,27575
9 Air,JYH,B738,Boeing 737-86X,B-1172,28.175039,118.949142,21700
ABX Air,ABX,B762,Boeing 767-281(BDSF),N797AX,44.322292,-108.445305,38000
ABX Air,ABX,B763,Boeing 767-338(ER)(BDSF),N362CM,22.987244,-70.917496,37000
ABX Air,ABX,B763,Boeing 767-338(ER)(BDSF),N364CM,29.9937,-95.310432,0
ABX Air,ABX,B763,Boeing 767-383(ER)(BDSF),N226CY,33.468567,-96.192551,23850
ABX Air,ABX,B762,Boeing 767-232(BDSF),N750AX,35.513443,-97.239929,37000
ABX Air,ABX,B763,Boeing 767-383(ER)(BDSF),N219CY,41.994095,-87.892296,0
Aegean Airlines,AEE,A21N,Airbus A321-271NX,SX-NAB,44.061035,17.735447,35025
Aegean Airlines,AEE,A320,Airbus A320-232,SX-DND,38.549057,23.673388,26275
Aegean Airlines,AEE,A320,Airbus A320-232,SX-DGY,37.789059,23.815374,2600
Aegean Airlines,AEE,A20N,Airbus A320-271N,SX-NEI,40.087967,22.835632,34950
Aegean Airlines,AEE,A21N,Airbus A321-271NX,SX-NAD,42.588409,19.537312,37000
Aegean Airlines,AEE,A20N,Airbus A320-271N,SX-NEM,40.283798,21.186218,37000
Aegean Airlines,AEE,A320,Airbus A320-232,SX-DVY,38.369247,23.552992,20175
Aegean Airlines,AEE,A20N,Airbus A320-271N,SX-NEG,41.983704,20.453234,37000
Aegean Airlines,AEE,A320,Airbus A320-232,SX-DNC,49.601315,21.943781,36975
Aegean Airlines,AEE,A21N,Airbus A321-271NX,SX-NAM,46.768845,15.096889,36025
Aegean Airlines,AEE,A21N,Airbus A321-271NX,SX-NAF,45.292648,16.532331,37025
Aegean Airlines,AEE,A320,Airbus A320-232,SX-DGE,48.675842,6.084877,35000
Aegean Airlines,AEE,A20N,Airbus A320-271N,SX-NEF,41.227173,0.141574,33975
Aegean Airlines,AEE,A320,Airbus A320-232,SX-DGB,45.2742,26.496538,34000
Aegean Airlines,AEE,A21N,Airbus A321-271NX,SX-NAA,41.35268,-0.490515,33975
Aegean Airlines,AEE,A21N,Airbus A321-271NX,SX-NAE,39.533184,14.513428,34000
Aegean Airlines,AEE,A21N,Airbus A321-271NX,SX-NAJ,37.888077,23.909534,875
Aegean Airlines,AEE,A20N,Airbus A320-271N,SX-NEC,33.433411,-4.990814,35000
Aegean Airlines,AEE,A320,Airbus A320-232,SX-DVH,41.434284,23.433966,34000
Aegean Airlines,AEE,A21N,Airbus A321-271NX,SX-NAH,39.25351,23.864513,29425
Aegean Airlines,AEE,A321,Airbus A321-231,SX-DNH,36.789688,24.361839,23925
Aegean Airlines,AEE,A320,Airbus A320-232,SX-DVX,36.079193,23.771324,23275
Aer Lingus (Irish Rugby Team Livery),EIN,A320,Airbus A320-214,EI-DEI,52.611568,-5.529576,16400
Aer Lingus,EIN,A320,Airbus A320-214,EI-DVG,53.422092,-6.25211,0
Aer Lingus,EIN,A320,Airbus A320-214,EI-EDS,49.934509,-5.456013,36025
Aer Lingus,EIN,A320,Airbus A320-214,EI-DVE,40.099445,-11.050561,36000
Aer Lingus Regional,EIN,AT76,ATR 72-600,G-CMJN,54.708843,-5.76391,1725
Aer Lingus,EIN,A21N,Airbus A321-253NX,EI-LRG,56.104431,-12.944724,34000
Aer Lingus,EIN,A333,Airbus A330-302,EI-EAV,53.431057,-6.233407,0
Aer Lingus,EIN,A320,Airbus A320-214,EI-DEH,53.643585,-3.833017,30850
Aer Lingus Regional,EIN,AT76,ATR 72-600,G-CMMN,54.614456,-5.498577,5675
Aer Lingus,EIN,A20N,Airbus A320-251N,EI-NSC,53.307358,-4.286787,33000
Aer Lingus,EIN,A320,Airbus A320-214,EI-FNJ,51.068176,0.357056,35700
