id,name,lat,lng,pop,capital_type,country
0,Kabul,34.5289,69.1725,4011770,Capital,Afghanistan
1,Tiranë (Tirana),41.3275,19.8189,475577,Capital,Albania
2,El Djazaïr  (Algiers),36.7525,3.042,2693542,Capital,Algeria
3,Pago Pago,-14.2781,-170.7025,48526,Capital,American Samoa
4,Andorra la Vella,42.5078,1.5211,22614,Capital,Andorra
5,Luanda,-8.8368,13.2343,7774200,Capital,Angola
6,The Valley,18.217,-63.0578,1402,Capital,Anguilla
7,St. John's,17.1172,-61.8457,20764,Capital,Antigua and Barbuda
8,Buenos Aires,-34.6051,-58.4004,14966530,Capital,Argentina
9,Yerevan,40.182,44.5146,1080324,Capital,Armenia
10,Oranjestad,12.524,-70.027,29877,Capital,Aruba
11,Canberra,-35.2835,149.1281,447692,Capital,Australia
12,Wien (Vienna),48.2064,16.3707,1900547,Capital,Austria
13,Baku,40.3777,49.892,2285729,Capital,Azerbaijan
14,Nassau,25.0582,-77.3431,279668,Capital,Bahamas
15,Al-Manamah (Manama),26.2154,50.5832,564631,Capital,Bahrain
16,Dhaka,23.7104,90.4074,19578421,Capital,Bangladesh
17,Bridgetown,13.1,-59.6167,89201,Capital,Barbados
18,Minsk,53.9,27.5667,2004672,Capital,Belarus
19,Bruxelles-Brussel,50.8467,4.3499,2049510,Capital,Belgium
20,Belmopan,17.25,-88.7667,22964,Capital,Belize
21,Cotonou,6.3654,2.4183,685458,Economic Capital,Benin
22,Hamilton,32.2915,-64.778,10073,Capital,Bermuda
23,Thimphu,27.4661,89.6419,203297,Capital,Bhutan
24,La Paz,-16.5,-68.15,1814087,Seat of Government,Bolivia (Plurinational State of)
25,Sarajevo,43.8486,18.3564,342577,Capital,Bosnia and Herzegovina
26,Gaborone,-24.6545,25.9086,269338,Capital,Botswana
27,Brasília,-15.7797,-47.9297,4469585,Capital,Brazil
28,Road Town,18.4167,-64.6167,15137,Capital,British Virgin Islands
29,Bandar Seri Begawan,4.9403,114.9481,40781,Capital,Brunei Darussalam
30,Sofia,42.6975,23.3242,1272418,Capital,Bulgaria
31,Ouagadougou,12.3642,-1.5383,2531381,Capital,Burkina Faso
32,Bujumbura,-3.3822,29.3644,898968,Capital,Burundi
33,Praia,14.9215,-23.5087,167504,Capital,Cabo Verde
34,Phnum Pénh (Phnom Penh),11.5625,104.916,1952329,Capital,Cambodia
35,Yaoundé,3.8667,11.5167,3655656,Capital,Cameroon
36,Ottawa-Gatineau,45.4166,-75.698,1363159,Capital,Canada
37,Kralendijk,12.15,-68.2667,11313,Capital,Caribbean Netherlands
38,George Town,19.2866,-81.3744,34875,Capital,Cayman Islands
39,Bangui,4.3612,18.555,850946,Capital,Central African Republic
40,N'Djaména,12.1067,15.0444,1322679,Capital,Chad
41,St. Helier,49.188,-2.1049,34386,Capital,Channel Islands
42,St. Peter Port,49.4598,-2.5353,16271,Capital,Channel Islands
43,Santiago,-33.4569,-70.6483,6680371,Capital,Chile
44,Beijing,39.9075,116.3972,19617963,Capital,China
45,Hong Kong,22.2796,114.1887,7428887,Capital,"China, Hong Kong SAR"
46,Macao,22.2006,113.5461,632418,Capital,"China, Macao SAR"
47,Taibei,25.047,121.5457,2705791,Others,"China, Taiwan Province of China"
48,Bogotá,4.6097,-74.0818,10574409,Capital,Colombia
49,Moroni,-11.7022,43.2551,62351,Capital,Comoros
50,Brazzaville,-4.2658,15.2832,2229693,Capital,Congo
51,Rarotonga,-21.23,-159.76,13067,Capital,Cook Islands
52,San José,9.9278,-84.0807,1357745,Capital,Costa Rica
53,Abidjan,5.3453,-4.0268,4920776,Administrative Capital,Côte d'Ivoire
54,Zagreb,45.8144,15.978,685587,Capital,Croatia
55,La Habana (Havana),23.1195,-82.3785,2136468,Capital,Cuba
56,Willemstad,12.1084,-68.9335,144037,Capital,Curaçao
57,Lefkosia (Nicosia),35.1595,33.3669,269469,Capital,Cyprus
58,Praha (Prague),50.088,14.4208,1291552,Capital,Czechia
59,P'yongyang,39.0339,125.7543,3037862,Capital,Dem. People's Republic of Korea
60,Kinshasa,-4.3276,15.3136,13171256,Capital,Democratic Republic of the Congo
61,København (Copenhagen),55.6759,12.5655,1320826,Capital,Denmark
62,Djibouti,11.5877,43.1447,561564,Capital,Djibouti
63,Roseau,15.3017,-61.3881,14942,Capital,Dominica
64,Santo Domingo,18.4896,-69.9018,3172152,Capital,Dominican Republic
65,Quito,-0.2299,-78.525,1822397,Capital,Ecuador
66,Al-Qahirah (Cairo),30.0392,31.2394,20076002,Capital,Egypt
67,San Salvador,13.6894,-89.1872,1106698,Capital,El Salvador
68,Malabo,3.75,8.7833,296770,Capital,Equatorial Guinea
69,Asmara,15.3333,38.9333,895863,Capital,Eritrea
70,Tallinn,59.437,24.7535,437027,Capital,Estonia
71,Addis Ababa,9.025,38.7469,4399674,Capital,Ethiopia
72,Tórshavn,62.0097,-6.7716,20817,Capital,Faeroe Islands
73,Stanley,-51.7012,-57.8494,2269,Others,Falkland Islands (Malvinas)
74,Suva,-18.1416,178.4415,178339,Capital,Fiji
75,Helsinki,60.1692,24.9402,1279096,Capital,Finland
76,Paris,48.8534,2.3488,10900952,Capital,France
77,Cayenne,4.9333,-52.3333,57506,Capital,French Guiana
78,Papeete,-17.5333,-149.5667,136005,Capital,French Polynesia
79,Libreville,0.3925,9.4537,813489,Capital,Gabon
80,Banjul,13.4531,-16.6794,437161,Capital,Gambia
81,Tbilisi,41.6941,44.8337,1077333,Capital,Georgia
82,Berlin,52.5244,13.4105,3552123,Capital,Germany
83,Accra,5.556,-0.1969,2439389,Capital,Ghana
