o,n,h,i,e,p,gbps,time_s,total_sat
72,10,573.8,32.5,10.6,50.0,2805.124974368838,8530.038651260023,720
56,14,588.4,35.3,12.0,50.0,2785.730188152903,7856.181240792968,784
68,17,630.8,38.5,13.8,50.0,3557.181618899489,10075.783651737962,1156
108,12,610.7,36.3,13.3,50.0,4111.569333757253,9908.734767554095,1296
144,11,551.7,38.1,12.1,50.0,4741.999845562849,14355.996735696,1584
323,10,625.4,46.2,15.2,50.0,7340.434934673582,50567.42896609893,3230
336,10,523.0,43.9,13.6,50.0,7514.391597798215,53791.652298348956,3360
324,12,553.0,46.0,16.6,50.0,8020.10499680267,70587.959809878,3888
72,10,571.3,31.9,10.7,50.0,2811.4279999138002,9281.75620317785,720
56,14,588.5,31.9,11.1,50.0,2789.5186775529564,6449.957888545934,784
68,17,627.0,37.5,13.7,50.0,3551.725293334136,9919.810677638976,1156
108,12,614.4,36.0,13.4,50.0,4113.0077514501,9528.04990873579,1296
144,11,550.9,38.3,12.1,50.0,4743.586026859,16723.93036390189,1584
323,10,633.4,46.3,15.4,50.0,7337.684006955336,64640.134195833,3230
336,10,528.3,45.8,13.2,50.0,7515.861526142404,56264.87907047407,3360
324,12,547.9,45.3,16.3,50.0,8009.791875875081,74295.72670553206,3888
72,10,571.7,31.7,11.5,50.0,2810.9968784746843,8938.448035852052,720
56,14,590.3,39.5,11.0,50.0,2776.1241408287556,6952.134920417098,784
68,17,633.4,37.9,13.9,50.0,3554.667393446425,10469.761541933054,1156
108,12,607.4,36.0,13.1,50.0,4119.7779560184135,13042.023183828918,1296
144,11,552.7,36.4,11.8,50.0,4722.752909189481,15332.050749280024,1584
323,10,634.9,43.4,16.6,50.0,7340.921606659587,53474.97086087498,3230
336,10,520.7,46.1,13.1,50.0,7524.701747506608,48229.59202496498,3360
324,12,553.9,45.2,16.1,50.0,8029.848549566826,65001.32162078493,3888
