o,n,h,i,e,p,gbps,time_s,total_sat
72,10,572.2,31.7,10.7,49.76,2810.0464987764744,35210.80952860002,720
56,14,592.0,34.2,12.1,48.62,2782.0984275245664,27096.398276350985,784
68,17,629.1,37.9,13.8,49.95,3557.5593459166475,57436.91537736001,1156
108,12,605.7,141.6,13.4,47.91,4108.024826171366,57404.82877635304,1296
132,12,554.8,142.4,13.4,47.32,4740.030433712363,52846.951484842924,1584
323,10,626.5,136.3,16.5,35.94,7412.013818276198,180662.874247232,3230
336,10,523.9,47.4,14.5,37.35,7582.892898006113,244331.75934713695,3360
324,12,546.5,45.5,14.9,33.11,8076.432071454416,334689.0631777479,3888
72,10,568.6,148.1,10.6,46.31,2802.0323054863356,32619.789945755037,720
56,14,587.5,149.1,11.1,49.75,2797.937028562167,38829.28709514998,784
68,17,628.9,43.1,14.6,48.6,3543.1013210662904,37642.64212166099,1156
108,12,608.4,141.6,13.5,48.31,4106.053987122707,54734.144305959984,1296
144,11,550.3,40.1,10.9,49.17,4721.168701983365,56752.11961561296,1584
323,10,629.1,137.9,16.6,34.42,7405.751909246747,189631.03101475904,3230
336,10,525.3,47.4,14.6,38.12,7593.675508786189,190600.22971429606,3360
324,12,548.3,136.5,15.2,36.96,8051.755148451194,245957.35721631104,3888
72,10,570.6,32.2,10.5,50.0,2806.2957758566968,38161.39321429189,720
56,14,588.3,148.7,11.2,49.14,2793.6161760327163,37541.53343969979,784
68,17,631.9,37.7,13.9,49.83,3557.8437024408718,54569.6948587941,1156
108,12,614.0,143.5,13.4,49.57,4104.307532699467,47668.40212860005,1296
144,11,549.0,141.9,11.1,48.68,4738.860350613192,68210.95599554712,1584
323,10,633.2,46.8,16.9,35.41,7391.212231242432,175879.8119501192,3230
336,10,523.6,136.2,14.0,31.44,7579.995575350607,214037.97802296886,3360
324,12,548.9,45.0,15.1,37.28,8100.7757154967285,238996.25702851312,3888
