time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,10,573.2,32.4,10.6,50.0,2807.0921685560243,20.822188297331685,8.982300884955752,3.8330871491875924,5.887487875848691,4.329532048761306,7.8583617747440275,1,165.01385918795629,1.0931918172910922,1.1027949395675303,1.1641332929309742,1.4943189735979236,1.096692824292973,3.0,4.0,6.0,3.0,4.0
0.0,108,12,607.9,35.9,13.3,50.0,4112.503086456154,26.44177241893057,7.831858407079646,5.16248153618907,7.749757516973811,4.791584742430201,12.798634812286688,1,176.83030944175295,1.1499313450855726,1.1110198233678303,1.1675022534721917,1.4941453427336993,1.113389100390271,4.0,4.0,7.0,3.0,4.0
0.0,144,11,545.0,38.2,11.9,50.0,4750.724225021565,30.377633113838453,11.238938053097346,7.06056129985229,9.030067895247333,5.631144317734959,14.718430034129693,0,187.18827555806484,1.1230033825001986,1.0982012878809473,1.1518824845524451,1.412759291380873,1.1025441062459278,4.0,4.0,7.0,3.0,4.0
0.0,68,17,625.0,43.0,14.1,50.0,3558.9971212665964,22.44387420901559,7.7433628318584065,4.977843426883308,6.183317167798254,3.5391270153362173,10.955631399317406,0,170.17419863231538,1.1353683843976956,1.1211114654531806,1.1529509362756853,1.5303955668789648,1.1233888339407214,4.0,4.5,8.0,3.0,4.0
0.0,72,10,570.5,31.9,11.4,50.0,2809.4470296469067,20.51400128015109,5.398230088495575,3.7961595273264406,4.932104752667313,4.034604797483288,7.158703071672355,1,157.5045114523595,1.1034384594102127,1.1110521294106184,1.1789948630866847,1.5012484121946856,1.1071833057773084,4.0,4.0,7.0,3.0,4.0
0.0,323,10,635.0,46.4,15.4,50.0,7341.024140695964,45.19488594963235,15.442477876106194,12.200886262924667,12.148399612027157,8.442784113252065,15.674061433447099,0,206.60127963804106,1.2602239957460444,1.1613588956475562,1.1717898317537072,1.5510926190881353,1.1528840947388468,4.0,4.0,6.0,3.0,4.0
0.0,56,14,585.0,30.0,10.5,50.0,2777.787698173507,18.783790756154524,11.63716814159292,4.4756277695716395,7.104752667313289,3.5646873771136454,9.215017064846416,1,169.31211672884268,1.0900284490937253,1.1112241350672785,1.1755315655076182,1.5659546828048587,1.0968745512385927,3.0,4.0,7.0,3.0,3.5
0.0,56,14,587.2,34.8,11.9,50.0,2793.6802042662684,18.831897475267553,6.902654867256637,3.759231905465288,5.48011639185257,3.377900117970901,8.523890784982935,1,161.28174495001267,1.1090444536714474,1.1003758779427817,1.162095775610109,1.5159064181272917,1.102634096008168,4.0,4.0,8.0,3.0,4.0
0.0,323,10,632.0,45.6,15.6,50.0,7353.492350541856,45.032488222842346,13.716814159292035,11.88330871491876,11.726479146459749,8.430987023200943,15.99829351535836,0,205.38224225971277,1.309482599618395,1.1626440547581078,1.1749908745774815,1.5397878964694143,1.1554201960973918,4.0,4.0,6.0,3.0,4.0
0.0,144,11,554.9,38.3,12.3,50.0,4745.487894688686,30.281392896740478,10.973451327433628,6.403249630723781,9.15615906886518,5.515139598898938,14.377133105802049,0,185.7453762798096,1.1335868836691156,1.1019210660081231,1.1559926124065358,1.4247301267692065,1.106316677269291,4.0,4.0,7.0,3.0,4.0
