o,n,h,i,e,p,gbps,time_s,total_sat
30,24,575.0,29.7,10.9,4.36,2468.8678611076125,13700.970400145743,720
56,14,590.0,148.5,11.1,50.0,2804.204375249411,13963.93576256372,784
68,17,628.1,41.4,14.8,49.53,3556.33665824813,19277.695732519962,1156
36,36,615.0,141.7,16.7,0.0,3535.434663395283,25502.978413043078,1296
144,11,554.4,141.9,11.2,50.0,4739.055890243293,27099.28937396966,1584
323,10,635.0,46.7,17.0,35.04,7404.788545849741,63793.739598762244,3230
336,10,530.0,47.3,14.6,36.95,7586.566633766803,68951.71237168089,3360
324,12,547.6,44.4,15.1,38.4,8091.053958869963,80259.77614152897,3888
72,10,565.0,31.7,11.3,50.0,2812.0357925008916,12372.461365007795,720
28,28,588.1,33.6,11.3,3.91,2616.5772604942254,15405.511094841175,784
68,17,635.0,139.5,15.1,50.0,3530.162544727954,20267.494819867425,1156
108,12,605.0,142.4,13.2,50.0,4115.048023550739,21164.935319633223,1296
144,11,552.2,39.0,11.9,50.0,4738.203797356856,26395.160190440714,1584
323,10,631.6,135.9,16.4,29.54,7409.594126107038,65116.95326074865,3230
336,10,526.3,44.3,13.5,50.0,7519.090147831776,72646.63708897121,3360
324,12,549.2,45.2,15.0,37.69,8111.942195871981,80721.9954648735,3888
72,10,570.5,31.8,10.7,50.0,2811.3137370116115,12206.154148120899,720
28,28,591.5,34.2,11.4,9.54,2613.316552207291,15104.288860622328,784
68,17,632.0,143.7,14.0,50.0,3543.1317848636904,19147.232212717645,1156
108,12,609.3,141.9,12.9,50.0,4109.01233565757,20683.505280005746,1296
144,11,555.0,141.9,11.2,50.0,4738.956093652241,26450.728400192223,1584
323,10,633.3,44.8,15.3,37.14,7381.499519777096,62082.273514766246,3230
336,10,522.4,47.1,14.7,37.34,7581.416890363107,69503.37903182115,3360
324,12,545.0,134.6,15.6,40.4,8068.139049824578,85105.90582333319,3888
