time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,68,17,635.0,139.5,15.1,50.0,3530.162544727954,22.06733298825369,6.769911504424779,4.268833087149187,5.955383123181377,3.320880849390484,10.7679180887372,0,165.22279005030617,1.171256484861735,1.1318419956016814,1.1727172301738937,1.536644859128376,1.1393952036470172,5.0,5.0,8.5,3.0,4.0
0.0,144,11,554.4,141.9,11.2,50.0,4738.2737560949045,30.872325960301094,14.823008849557523,7.75480059084195,10.402521823472357,6.140385371608337,15.61433447098976,0,193.91212147702768,1.1047421553225958,1.0923192297111766,1.1404069092025177,1.4199490696564476,1.0960190424711893,3.0,4.0,6.0,3.0,4.0
0.0,144,11,555.0,141.9,11.2,50.0,4738.95609401654,30.972923042044275,13.672566371681416,7.488921713441654,10.193986420950534,6.24852536374361,15.861774744027304,0,193.93990053464285,1.1049173293047874,1.0924238883657982,1.1405100855073382,1.4205674894850346,1.0961810162409389,3.0,4.0,6.0,3.0,4.0
0.0,30,24,575.0,29.7,10.9,4.0,2468.8678611076116,14.858698434802259,9.20353982300885,3.6853766617429837,6.445198836081474,2.2630751081399922,9.385665529010238,1,160.46677041135084,1.1073514164174745,1.109451950918454,1.1596664170288609,1.5815496272282377,1.100558728495879,3.0,4.0,10.0,3.0,4.0
0.0,56,14,590.0,148.5,11.1,50.0,2804.204375249409,18.815822210665505,9.690265486725663,4.268833087149187,6.5761396702230845,3.4624459300039323,8.848122866894197,1,166.03452504621296,1.0954510107486128,1.1057990367726254,1.1720893088806945,1.5374549410166929,1.0993889708580817,3.0,4.0,7.0,3.0,4.0
0.0,324,12,549.2,45.2,15.0,38.0,8110.632119317836,47.59876551655464,10.929203539823009,12.186115214180207,11.954413191076625,8.419189933149823,17.05631399317406,0,206.3002689243299,1.2578066809426967,1.1479606429383662,1.161209630618938,1.4065933594578444,1.1277492545720318,4.0,4.0,7.0,3.0,4.0
0.0,108,12,605.0,142.4,13.2,50.0,4115.048023550729,26.400576931587256,8.805309734513274,5.317577548005908,7.667313288069836,4.758159653952025,12.764505119453926,0,177.25614312454718,1.1430661742621118,1.111035921676807,1.1620412120488155,1.4885346955972847,1.1158559481444672,4.0,4.0,7.0,3.0,4.0
0.0,323,10,635.0,46.7,17.0,35.0,7404.788545849716,46.32701902180283,10.176991150442479,11.189069423929098,11.949563530552862,8.149823043649233,12.209897610921502,0,198.16600428878112,1.387461470931979,1.1887872552334438,1.1990913888833634,1.5166466414628355,1.1637241991467637,4.0,4.0,7.0,3.0,4.0
0.0,72,10,570.5,31.8,10.7,50.0,2811.986394486461,20.85801553012329,7.787610619469026,4.010339734121122,5.572259941804074,4.286276051907197,7.866894197952218,1,163.35201489076516,1.091975318836098,1.1071489010437945,1.1685579629213376,1.5029285796874061,1.0980766473026327,3.0,4.0,6.0,3.0,4.0
0.0,323,10,633.3,44.8,15.3,37.0,7384.231566780679,46.727071391241104,14.380530973451327,12.363367799113737,12.914645974781767,9.225324419976406,14.974402730375427,0,207.98618005894696,1.2137574484090354,1.147615090340114,1.1721333915106626,1.5153935098837654,1.1446447213055282,4.0,4.0,6.0,3.0,4.0
