o,n,h,i,e,p,gbps,time_s,total_sat
72,10,565.8,34.0,10.6,50.0,2787.7953127943465,19428.001752548997,720
56,14,586.4,32.2,10.9,50.0,2777.8797153674436,21631.19936144905,784
68,17,631.9,38.5,14.1,50.0,3554.272403472145,27366.456287923967,1156
108,12,607.1,35.2,13.0,50.0,4108.067617676443,29919.901389512932,1296
144,11,545.1,40.4,10.8,50.0,4727.722759760147,34960.19269676399,1584
323,10,631.4,47.5,15.5,50.0,7339.516794572103,94362.86927396199,3230
336,10,524.9,45.2,13.4,50.0,7513.936309480928,107270.96463293489,3360
324,12,548.3,52.5,14.8,50.0,7959.165142891962,113681.72523592005,3888
72,10,565.1,30.6,10.7,50.0,2803.074049877323,19378.817781820893,720
56,14,586.0,34.1,11.7,50.0,2783.8339901189847,23594.160426022485,784
68,17,628.5,39.8,14.4,50.0,3556.9665599767345,30425.153191810474,1156
108,12,610.7,37.4,12.9,50.0,4107.464755472202,34293.37963690795,1296
144,11,554.7,38.6,12.4,50.0,4719.938167708698,39266.6099079065,1584
323,10,631.5,41.9,16.8,50.0,7340.501999540171,108582.84665533435,3230
336,10,520.4,45.7,12.9,50.0,7505.546832163295,106005.42974391801,3360
324,12,547.3,46.5,16.0,50.0,8011.15394029587,119643.240528561,3888
72,10,568.8,31.1,11.1,50.0,2805.266333848255,18891.52082093805,720
56,14,594.5,32.7,12.4,50.0,2780.163308291445,23453.134903791826,784
68,17,625.3,38.7,13.6,50.0,3550.6376140443836,30660.5876290882,1156
108,12,606.2,36.8,12.9,50.0,4106.1712167127125,32648.681278253905,1296
144,11,553.7,38.0,11.1,50.0,4718.4895417334055,41772.72754521994,1584
323,10,628.5,46.7,15.2,50.0,7340.889301224819,96553.63406351022,3230
336,10,526.3,43.5,14.4,50.0,7524.49041754095,107245.08684553811,3360
324,12,554.9,41.7,16.3,50.0,7913.369203396834,124109.87987499312,3888
