o,n,h,i,e,p,gbps,time_s,total_sat
72,10,569.6,27.2,10.1,49.26,2781.3386538389213,39226.47242250107,720
56,14,585.8,143.0,10.4,49.35,2783.5769871751245,43964.215150265954,784
68,17,630.1,34.8,13.4,48.09,3523.5305997435144,64771.30541846296,1156
108,12,614.3,144.8,14.0,48.24,4091.3135092784214,68121.66358953808,1296
144,11,547.3,37.3,10.7,45.14,4695.92234586426,87918.11941901199,1584
323,10,625.7,139.5,16.3,32.72,7367.953165937908,208694.96908114594,3230
336,10,520.2,48.4,14.1,32.52,7563.804804804631,229911.80327196908,3360
324,12,553.5,135.8,17.3,37.84,8015.396909494034,290723.1670401902,3888
72,10,565.4,145.2,10.6,49.95,2784.7053084977274,46430.48840532545,720
56,14,594.9,31.8,9.4,47.31,2710.763477579295,44632.66859190166,784
68,17,633.8,144.9,11.1,49.91,3486.53745802523,53900.34500721935,1156
108,12,607.0,142.2,13.3,49.74,4114.144917938204,71493.12104457617,1296
144,11,549.8,141.8,11.2,48.25,4751.672396040752,83009.5764957564,1584
323,10,626.6,137.3,16.7,32.64,7421.48060765848,224057.80443053786,3230
336,10,521.5,136.7,14.1,35.89,7563.707776108505,216717.18868367653,3360
324,12,553.0,43.1,15.5,32.91,8065.104156615903,270173.62096107006,3888
72,10,570.1,31.1,10.7,48.98,2809.0248552033836,46991.04320679698,720
28,28,594.0,149.4,11.4,14.19,2599.6829227266917,40890.27591106994,784
68,17,628.7,45.4,13.3,49.9,3533.0554092685297,52485.7789945323,1156
108,12,609.0,35.1,13.0,48.7,4111.075415850019,70575.78056935826,1296
132,12,546.2,142.1,13.1,49.98,4735.03132228976,78113.41432001023,1584
323,10,635.0,137.1,17.0,32.99,7413.5813100285095,232636.80547865434,3230
336,10,520.3,135.7,13.4,28.19,7580.019020783055,223832.92072925903,3360
324,12,554.5,135.7,15.9,47.42,8067.96114668585,244187.28357606567,3888
