o,n,h,i,e,p,gbps,time_s,total_sat
72,10,575.0,31.0,11.2,50.0,2804.438015914916,2392.99986880098,720
56,14,595.0,31.8,11.3,50.0,2795.49426969219,2875.335941664991,784
68,17,625.0,38.2,13.7,50.0,3556.919068041335,6183.827997967019,1156
108,12,615.0,35.9,13.3,50.0,4119.072662161795,2789.3330755410716,1296
144,11,545.0,37.9,12.3,50.0,4726.745273665896,2668.890937685035,1584
323,10,635.0,43.4,16.7,50.0,7346.822736865648,16095.24941453,3230
336,10,530.0,45.9,13.4,50.0,7511.938330355162,17845.847098005004,3360
324,12,545.0,43.8,16.7,50.0,7998.045385688554,15895.965704035014,3888
72,10,575.0,33.0,10.6,50.0,2804.673950100005,1753.2528655081987,720
56,14,595.0,35.2,12.1,50.0,2795.1709743426272,2001.0821811975911,784
68,17,625.0,38.3,13.7,50.0,3562.043360257741,5223.453689230606,1156
108,12,605.0,38.1,12.8,50.0,4115.894996667995,6248.569109699689,1296
144,11,555.0,38.6,12.2,50.0,4744.292141578111,6724.921438628808,1584
323,10,635.0,43.0,16.7,50.0,7342.409514259213,9944.098677088507,3230
336,10,520.0,43.4,13.8,50.0,7507.435145919744,12647.809118607081,3360
324,12,545.0,45.1,16.3,50.0,8010.610079301269,17377.22594500333,3888
72,10,565.0,31.7,11.3,50.0,2812.0357925008902,3505.6892027026042,720
56,14,585.0,31.8,10.9,50.0,2780.829429102096,1593.526297279168,784
68,17,625.0,38.2,13.5,50.0,3547.4542944448017,3099.357013140805,1156
108,12,615.0,36.1,13.4,50.0,4115.316713323711,4264.922424389981,1296
144,11,545.0,37.8,12.0,50.0,4738.962797792127,6506.9805910498835,1584
323,10,635.0,41.4,17.1,50.0,7327.600877463562,14562.878538973164,3230
336,10,530.0,43.8,14.5,50.0,7511.223125304211,14495.81568012014,3360
324,12,555.0,45.1,16.1,50.0,8042.067385309438,38397.39847960975,3888
323,10,625.0,43.8,16.3,50.0,7334.5782704131325,14912.629523899406,3230
336,10,530.0,43.1,14.2,50.0,7525.324710331254,14452.011216135696,3360
324,12,555.0,45.4,16.3,50.0,8008.200024700411,21392.621580684558,3888
323,10,625.0,41.2,17.0,50.0,7333.024823698426,12194.4844645001,3230
336,10,520.0,44.6,13.5,50.0,7516.188229155135,12340.568659847602,3360
324,12,545.0,45.3,15.8,50.0,8034.347655344504,23942.7887474373,3888
323,10,625.0,46.3,15.9,50.0,7325.568688545557,8465.215690776706,3230
336,10,530.0,43.2,14.4,50.0,7524.709037722408,15242.585509231314,3360
324,12,555.0,45.3,16.0,50.0,8012.539198346042,15583.038556298241,3888
323,10,625.0,42.9,16.5,50.0,7338.506728468716,13439.629434073344,3230
336,10,530.0,45.9,13.3,50.0,7519.18953727446,17181.823477547616,3360
324,12,555.0,46.3,16.0,50.0,8010.986312396418,15720.104219673201,3888
323,10,625.0,41.1,16.9,50.0,7323.335162263205,11675.606208605692,3230
336,10,530.0,45.9,13.1,50.0,7508.236319609472,13987.399604132399,3360
324,12,555.0,45.6,16.0,50.0,8011.055439383861,17212.387519292533,3888
323,10,625.0,41.8,16.6,50.0,7328.619732627448,18195.46041999571,3230
336,10,520.0,43.2,14.0,50.0,7525.972105819148,17928.29521396011,3360
324,12,555.0,46.7,16.1,50.0,8014.614979698539,26357.136488474905,3888
