time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,56,14,595.0,35.2,12.1,50.0,2795.170974342634,18.851802431963748,6.902654867256637,3.567208271787297,5.417070805043648,3.448682658277625,8.430034129692833,1,161.04166642328335,1.1115469934275577,1.1025720413862914,1.1616827066104245,1.5168432281673923,1.1062455337367174,4.0,4.0,7.75,3.0,4.0
0.0,72,10,575.0,31.0,11.2,50.0,2804.4380159149086,20.560434828727306,6.725663716814159,3.6558345642540617,5.5819592628516,3.96578843885175,7.542662116040956,1,159.34123870142338,1.092139709014878,1.1126768530210476,1.1793587590848404,1.5380775870040413,1.1025836015150157,4.0,4.0,7.0,3.0,4.0
0.0,68,17,625.0,38.2,13.7,50.0,3556.919068041339,22.32421536161259,8.849557522123893,4.630723781388479,7.007759456838021,3.694455367675973,11.450511945392492,0,172.511416436506,1.1305171595316952,1.1135474032478958,1.16300691234822,1.5201055595057928,1.1219496314405786,4.0,4.0,8.0,3.0,4.0
0.0,336,10,530.0,45.9,13.4,50.0,7511.938330355142,46.04017047649641,15.04424778761062,12.319054652880354,12.143549951503395,8.297286669288242,16.092150170648463,0,206.19579969569915,1.3322795630860247,1.1419677272478925,1.1552505072390693,1.4243550891724195,1.1276734927659235,4.0,4.0,6.0,3.0,4.0
0.0,336,10,520.0,44.6,13.5,50.0,7516.188229155113,45.67016230320475,12.56637168141593,11.794682422451993,11.750727449078564,8.273692489186,15.827645051194539,0,204.5387866457247,1.3550475642933326,1.137726531135686,1.161293019672941,1.4132234574961002,1.1272545576849704,4.0,4.0,7.0,3.0,4.0
0.0,323,10,625.0,41.1,16.9,50.0,7323.335162263224,43.336552291507076,7.477876106194691,10.502215657311668,10.795344325897187,7.628784899724734,16.8259385665529,1,198.17025583836136,1.522177643908135,1.163494079362199,1.1940547521416345,1.5405343429331915,1.1624563179463379,5.0,4.0,7.0,3.0,4.0
0.0,108,12,605.0,38.1,12.8,50.0,4115.894996668019,26.39055619640933,10.575221238938052,5.790251107828656,8.074684772065956,4.83484073928431,13.080204778156995,0,180.35128413263837,1.134469948878955,1.1054125311787724,1.1576439275111494,1.4861312597834868,1.1142650137120178,4.0,4.0,7.0,3.0,4.0
0.0,144,11,555.0,38.6,12.2,50.0,4744.292141578126,30.01770804964327,10.707964601769913,6.639586410635155,9.000969932104752,5.570192685804169,14.812286689419796,0,186.7711720850982,1.1338455971821686,1.102081467242814,1.1530705521699298,1.4258706511004866,1.1052653146127902,4.0,4.0,7.0,3.0,4.0
0.0,72,10,565.0,31.7,11.3,50.0,2812.035792500882,20.432681987924262,6.017699115044247,3.670605612998523,5.08729388942774,3.918600078647267,7.2098976109215025,1,157.3369566465237,1.102790461084152,1.1112294449269962,1.1787753967981986,1.503779862615058,1.1058601879374903,4.0,4.0,7.0,3.0,4.0
0.0,324,12,555.0,45.6,16.0,50.0,8011.055439383872,45.87743116679012,9.734513274336283,10.982274741506647,11.09117361784675,7.50294927251278,16.928327645051194,0,201.54936751829774,1.3795033192009365,1.1726599965267215,1.1671374647745374,1.4572749090132935,1.1393087208387085,5.0,4.0,7.0,3.0,4.0
0.0,324,12,555.0,46.3,16.0,50.0,8010.986312396405,45.91156286862956,10.75221238938053,10.805022156573116,11.299709020368574,7.4852536374361,16.467576791808874,0,201.14730525858516,1.3931926732614621,1.1774090241523485,1.1658570545223783,1.460803256422202,1.139985169687414,4.0,4.0,7.0,3.0,4.0
0.0,323,10,625.0,43.8,16.3,50.0,7334.578270413164,44.55328097375617,10.530973451327434,10.428360413589365,11.595538312318137,8.025953598112466,15.426621160409557,0,201.17383851211304,1.4157819813610233,1.165944251078112,1.1882177975306296,1.5483318786886118,1.1640389990762179,4.0,4.0,7.0,3.0,4.0
0.0,336,10,530.0,43.1,14.2,50.0,7525.324710331246,45.24109778692121,10.486725663716815,11.063515509601181,11.41125121241513,8.023987416437278,16.313993174061434,0,202.18828881804257,1.4548008227315488,1.1372443178636955,1.169795247408212,1.4388240648124604,1.1350487862249605,4.0,4.0,7.0,3.0,4.0
0.0,144,11,545.0,37.9,12.3,50.0,4726.745273665898,29.973559349991817,9.513274336283185,6.713441654357459,8.666343355965083,5.408965788438852,14.138225255972698,1,183.82262086867138,1.1295770000073773,1.1005422738742445,1.1543048995002656,1.407768357136265,1.1037343730327664,4.0,4.0,7.0,3.0,4.0
0.0,68,17,625.0,38.3,13.7,50.0,3562.043360257736,22.394121670794988,8.36283185840708,4.579025110782865,6.794374393792435,3.7042862760519073,11.953924914675767,0,172.52942557626255,1.129869884248851,1.1130989425260236,1.1625433445837399,1.5222388311310804,1.1214271676306493,4.0,4.0,8.0,3.0,4.0
0.0,324,12,545.0,45.1,16.3,50.0,8010.610079301251,45.3618384098301,8.849557522123893,10.398818316100442,11.086323957322987,7.0330318521431385,16.450511945392492,0,198.5348995572482,1.4132923933812158,1.1737499336313864,1.1733747451855647,1.4377281628459897,1.1412340713525668,5.0,4.0,7.5,3.0,4.0
0.0,323,10,635.0,41.4,17.1,50.0,7327.600877463533,43.26226987529228,7.831858407079646,9.926144756277695,10.81474296799224,7.0959496657491155,18.506825938566553,1,198.3362222341021,1.5128030162966968,1.1664745292205416,1.1960637941264491,1.5561203707421816,1.1644735527108088,5.0,4.0,7.0,3.0,4.0
0.0,324,12,545.0,45.3,15.8,50.0,8034.347655344507,45.95542274271132,10.0,11.011816838995568,11.387002909796315,7.312229650019662,17.20136518771331,0,201.28439045785882,1.3795266296895654,1.1701398218797552,1.1662613845044647,1.4412680114903438,1.136895363607915,5.0,4.0,7.0,3.0,4.0
0.0,108,12,615.0,35.9,13.3,50.0,4119.072662161805,26.377961998164313,8.539823008849558,5.317577548005908,8.001939864209504,4.758159653952025,12.969283276450511,1,177.67163448754226,1.146063257078292,1.1117290551386807,1.168047764335168,1.5026336275441,1.114280737439176,4.0,4.0,7.0,3.0,4.0
0.0,336,10,520.0,43.2,14.0,50.0,7525.972105819128,44.85955099529425,10.398230088495575,10.937961595273265,11.401551891367605,7.3574518285489585,17.670648464163822,0,201.8056277861153,1.4529831784508251,1.135213589393076,1.1680625012432655,1.4289293409722101,1.1325446196774078,4.0,4.0,7.0,3.0,4.0
0.0,144,11,545.0,37.8,12.0,50.0,4738.962797792153,30.049479907825205,10.88495575221239,6.580502215657312,9.073714839961204,5.589854502556036,14.505119453924914,1,185.77446375501364,1.1212275282670257,1.0983759535696935,1.1524726915214552,1.4080317064092898,1.100641385400659,4.0,4.0,7.0,3.0,4.0
0.0,72,10,575.0,33.0,10.6,50.0,2804.6739501000043,20.779870459945332,8.097345132743362,3.810930576070901,5.732298739088264,4.33936295713724,8.472696245733788,1,165.32827155625168,1.0940571327751456,1.0987264523684523,1.1613861808203705,1.4876864786358872,1.0960361884768086,3.0,4.0,6.0,3.0,4.0
0.0,323,10,635.0,43.0,16.7,50.0,7342.40951425925,44.251490282656476,9.380530973451327,10.413589364844904,11.226964112512123,7.9099488792764445,16.245733788395906,0,200.60918696688532,1.4844706149379976,1.165768247220571,1.1935257045288814,1.5616431101581003,1.1670803516870263,4.0,4.0,7.0,3.0,4.0
0.0,336,10,530.0,45.9,13.1,50.0,7508.236319609472,45.824541214856794,15.442477876106194,12.58493353028065,12.463627546071775,7.963035784506488,17.252559726962456,0,208.08356678603158,1.2457465459288086,1.1317502567666,1.152261565930764,1.4243550891724195,1.1239977182651593,4.0,4.0,6.0,3.0,4.0
0.0,336,10,530.0,45.9,13.3,50.0,7519.18953727442,46.28976150771871,15.442477876106194,12.451994091580502,12.657613967022307,8.045615414864333,17.226962457337883,0,206.8455223669363,1.3240909876647813,1.1418890384236813,1.1540224957583816,1.4243550891724195,1.126700407143348,4.0,4.0,6.0,3.0,4.0
0.0,324,12,545.0,43.8,16.7,50.0,7998.045385688555,44.745411194386044,7.654867256637169,10.310192023633679,10.717749757516975,6.771529689343295,16.646757679180887,1,195.97742075175498,1.4500777339724813,1.1711032371127743,1.1801373950252627,1.4210637275008537,1.1439775376481687,5.0,4.0,8.0,3.0,4.0
0.0,68,17,625.0,38.2,13.5,50.0,3547.4542944447903,22.102562926741292,9.070796460176991,4.549483013293944,7.342386032977692,3.6924891860007865,11.715017064846418,0,173.78761070451324,1.1288975287312972,1.1128311019586168,1.160270699289082,1.5201055595057928,1.1191769266202827,4.0,4.0,8.0,3.0,4.0
0.0,56,14,585.0,31.8,10.9,50.0,2780.829429102098,19.027500984602426,9.867256637168142,4.394387001477105,6.673132880698351,3.489972473456547,8.865187713310581,1,167.14693540769855,1.0904504068044234,1.1049854563641865,1.170244129264332,1.515987093923815,1.0966797137763313,3.0,4.0,7.0,3.0,4.0
0.0,336,10,530.0,43.8,14.5,50.0,7511.223125304211,45.41120778588832,9.601769911504425,10.649926144756277,11.377303588748786,7.788045615414864,15.529010238907851,0,199.93669164512252,1.4582894308823582,1.142113429238343,1.1736440755704196,1.4299023171123402,1.139382719523376,5.0,4.0,7.0,3.0,4.0
0.0,323,10,625.0,46.3,15.9,50.0,7325.568688545535,44.93714641918636,13.4070796460177,11.447562776957163,11.333656644034917,8.104600865119938,15.332764505119453,0,202.4514017637515,1.3713090510122528,1.1743800958037125,1.1787825673635703,1.5373312418838392,1.158631985504898,4.0,4.0,6.5,3.0,4.0
0.0,324,12,555.0,46.7,16.1,50.0,8014.614979698539,45.902233293948306,9.823008849557523,10.657311669128507,10.984481086323958,7.430200550530869,16.459044368600683,0,200.1598936928055,1.4203792442104604,1.181313952451296,1.1674538834175432,1.4613400303658808,1.1418774698145433,5.0,4.0,7.0,3.0,4.0
0.0,323,10,625.0,41.8,16.6,50.0,7328.6197326275005,43.91122652323174,8.097345132743362,10.805022156573116,11.260911736178468,7.788045615414864,16.450511945392492,0,199.81288291792913,1.4467640674488351,1.1648572856590393,1.1952626618485287,1.547226137600044,1.1624201926668152,5.0,4.0,7.0,3.0,4.0
0.0,323,10,625.0,41.2,17.0,50.0,7333.024823698413,43.5198849595338,7.6991150442477885,10.295420974889218,10.746847720659554,7.670074714903658,16.715017064846414,1,197.70908997230165,1.5540294968496593,1.164582384375322,1.1959000734974072,1.5398587583635215,1.1629161688229641,5.0,4.0,7.0,3.0,4.0
0.0,324,12,555.0,45.4,16.3,50.0,8008.200024700408,45.55942396938017,8.805309734513274,10.738552437223042,11.183317167798254,7.182461659457334,16.697952218430036,0,199.8956831476553,1.4039518410151404,1.1755590126328088,1.1720063013469006,1.455896353859263,1.142160865122746,5.0,4.0,7.0,3.0,4.0
0.0,56,14,595.0,31.8,11.3,50.0,2795.494269692182,18.95564338330895,9.734513274336283,3.8700147710487443,6.1736178467507274,3.607943373967755,8.643344709897612,1,165.29483130326227,1.0977709698721365,1.1095910811398548,1.1740790744273797,1.5256216555833113,1.09965197914918,3.0,4.0,7.0,3.0,4.0
0.0,108,12,615.0,36.1,13.4,50.0,4115.316713323702,26.41409084162592,8.185840707964601,5.206794682422452,7.681862269641125,4.738497837200157,13.063139931740613,1,177.10299813519234,1.152783551874923,1.1123902245419166,1.1671305714958264,1.5036287540405473,1.1155551363625897,4.0,4.0,7.0,3.0,4.0
0.0,336,10,530.0,43.2,14.4,50.0,7524.7090377224185,45.01502339982119,9.690265486725663,10.457902511078286,11.464597478176527,7.300432559968541,17.19283276450512,0,200.7355133984656,1.4604063439308608,1.138228798948263,1.173087725073321,1.4400112489642964,1.137422132440755,4.0,4.0,7.0,3.0,4.0
0.0,323,10,625.0,42.9,16.5,50.0,7338.506728468675,43.89358306615117,10.309734513274336,10.16248153618907,11.29485935984481,7.272906016515926,17.755972696245735,0,200.45571803792564,1.482201832899818,1.1627807989759686,1.191738085022867,1.5501830564376209,1.1639845348499074,4.0,4.0,7.0,3.0,4.0
0.0,324,12,555.0,45.3,16.0,50.0,8012.539198346023,45.9000107948252,10.309734513274336,10.997045790251107,11.430649854510184,7.388910735351946,17.150170648464165,0,201.68524623554347,1.3663918335601715,1.171004648688041,1.167400299574642,1.4529071349958067,1.1390048412166298,4.0,4.0,7.0,3.0,4.0
0.0,323,10,635.0,43.4,16.7,50.0,7346.822736865676,44.05236784696267,10.353982300884956,10.280649926144756,11.464597478176527,7.213920566260322,17.133105802047783,0,200.43755544495826,1.465541943853872,1.1689365917982413,1.1928800406902345,1.5643117671604896,1.1679075852044785,4.0,4.0,7.0,3.0,4.0
0.0,336,10,520.0,43.4,13.8,50.0,7507.435145919761,45.1209640662103,10.398230088495575,11.322008862629247,11.62948593598448,8.07904050334251,16.296928327645052,0,202.95582537704362,1.397408693649102,1.1343802591641587,1.1669677656495685,1.423256026619462,1.1296411704964924,4.0,4.0,7.0,3.0,4.0
0.0,324,12,555.0,45.1,16.1,50.0,8042.06738530947,45.832720466912534,9.469026548672566,10.908419497784342,11.270611057225995,7.3063311049941015,17.03924914675768,0,201.008802241174,1.384515763918817,1.1712457402036833,1.1683528446454892,1.448667633923664,1.1406398402555438,5.0,4.0,7.0,3.0,4.0
