o,n,h,i,e,p,gbps,time_s,total_sat
72,10,565.0,31.4,11.1,48.0,2806.411309038971,17755.018407434225,720
28,28,585.0,35.5,11.2,0.0,2613.1723085170916,54738.73659905791,784
34,34,625.0,38.8,13.5,0.0,3303.8475374482405,63049.62081719935,1156
108,12,615.0,39.1,12.7,50.0,4117.272696880467,63224.52281256486,1296
144,11,545.0,33.8,13.0,43.0,4705.825485029335,44200.8711522799,1584
30,24,565.0,31.2,10.3,9.0,2468.459969961124,30970.93611055892,720
28,28,595.0,30.2,10.5,0.0,2606.121857151095,41597.24582860991,784
34,34,635.0,38.7,13.6,0.0,3307.174793502958,52789.43801409472,1156
108,12,615.0,36.3,13.6,50.0,4104.040621605449,38133.79193887953,1296
144,11,545.0,38.6,12.0,50.0,4744.21273749663,77630.17069099471,1584
72,10,565.0,31.6,11.3,50.0,2812.172343730391,25122.52189527545,720
28,28,585.0,34.9,11.2,9.0,2617.197634660874,29939.953806206584,784
68,17,625.0,42.6,14.5,50.0,3553.9977108085773,48872.686432800256,1156
108,12,605.0,36.7,13.2,50.0,4110.0608612659535,34121.47524690721,1296
144,11,555.0,39.3,11.2,47.0,4740.613849623814,72373.34115514159,1584
323,10,635.0,47.8,16.9,34.0,7383.171833975305,229658.99178053625,3230
323,10,625.0,46.8,16.7,35.0,7391.70423612451,131046.26139706885,3230
323,10,635.0,48.5,16.6,33.0,7374.194211609038,164449.86504010577,3230
323,10,625.0,46.6,16.9,35.0,7403.439094362675,234597.93311212398,3230
323,10,635.0,46.3,17.2,37.0,7388.457094652634,151294.72410018835,3230
323,10,635.0,47.1,17.1,35.0,7391.219529919966,236067.83669602685,3230
323,10,635.0,47.2,17.1,37.0,7397.752386432594,201855.10998201184,3230
323,10,635.0,45.6,15.3,36.0,7398.633471683544,146586.84647586383,3230
336,10,530.0,45.8,14.9,37.0,7583.547620168024,387953.9736705795,3360
336,10,530.0,46.9,14.8,37.0,7588.31722376405,336130.79818745004,3360
336,10,530.0,48.1,14.3,34.0,7566.567676038165,280886.3472434366,3360
336,10,520.0,47.5,14.3,33.0,7566.748773790025,138014.2033708198,3360
336,10,520.0,47.3,14.7,37.0,7584.078708470161,345530.9492839137,3360
336,10,520.0,47.0,14.6,37.0,7588.368001351093,346690.4221763816,3360
336,10,520.0,46.0,14.6,37.0,7578.3618996886025,250543.9770130273,3360
336,10,520.0,47.0,14.6,37.0,7588.368001351117,302176.55664261524,3360
336,10,530.0,47.8,14.6,37.0,7578.850195122443,345242.5313926805,3360
336,10,530.0,45.9,15.3,37.0,7547.785615555427,210948.7769428417,3360
336,10,530.0,46.6,15.0,33.0,7569.292681895403,328033.02981862053,3360
336,10,530.0,47.1,14.8,38.0,7585.995147340567,112551.62894965336,3360
336,10,530.0,46.8,14.8,37.0,7578.446534524121,135119.20024796017,3360
336,10,530.0,47.4,14.7,38.0,7580.860617446067,370708.39745761454,3360
336,10,520.0,48.2,14.4,37.0,7565.5141672111,223400.57486198843,3360
324,12,555.0,45.3,15.2,38.0,8111.015627666554,220631.4403687059,3888
324,12,545.0,43.8,14.9,37.0,8094.0345224233315,288123.3679653602,3888
324,12,545.0,46.1,15.0,37.0,8105.361037552807,216833.47076082975,3888
324,12,555.0,46.1,15.2,36.0,8095.2339101572015,316875.6487044627,3888
324,12,545.0,44.8,14.9,35.0,8093.303059076533,255444.333677453,3888
324,12,545.0,45.6,15.0,36.0,8104.080444943984,224749.000325704,3888
324,12,555.0,45.3,15.2,38.0,8111.01562766654,304635.9667902868,3888
324,12,545.0,46.5,14.5,35.0,8046.50647680491,185894.74705496244,3888
324,12,555.0,44.5,14.9,34.0,8101.9676585679235,196554.0927392505,3888
324,12,545.0,45.3,15.7,43.0,8071.0750766322235,193104.17745283246,3888
324,12,555.0,45.8,15.2,37.0,8100.461159967015,176010.48693253472,3888
324,12,545.0,44.4,14.8,33.0,8094.766418306391,243102.1312397439,3888
