time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,22,550.0,140,14,50.0,4157.69510717182,23.94953625564077,7.610619469026549,5.642540620384047,6.721629485935984,3.232402674007078,13.754266211604097,1,174.203672753649,1.1204241117159652,1.1101810559081333,1.1551972713328515,1.4224881470894066,1.1101618441001229,5.0,5.0,10.0,3.0,5.0
0.0,44,36,550.0,140,14,50.0,3828.2541386654443,20.259657683320587,7.610619469026549,4.911373707533235,7.099903006789525,2.4518285489579235,13.600682593856655,1,174.11475301429311,1.188507053691485,1.1041823158990844,1.1302299787437882,1.4218703858621446,1.110404522303123,5.0,5.0,14.0,3.0,5.0
0.0,16,99,550.0,140,14,50.0,3660.086094438012,18.970608204990576,7.345132743362832,5.3545051698670605,6.779825412221145,2.099882029099489,12.610921501706486,1,173.90322246013474,1.1518385553049522,1.0973871343349015,1.1162070469755985,1.418659432330258,1.110283242568357,7.0,6.0,19.0,3.0,7.0
0.0,33,48,550.0,140,14,50.0,3870.8918628387955,19.860884273252516,7.123893805309735,4.99261447562777,7.104752667313289,2.188360204482894,14.79522184300341,1,174.236397755813,1.1511787486560914,1.0955693182271558,1.119566776779993,1.4071207965737738,1.103103970452704,5.0,5.0,14.0,3.0,5.0
0.0,36,44,550.0,140,14,50.0,3861.531707246994,19.82428750668866,8.451327433628318,5.029542097488922,7.065955383123182,2.164766024380653,14.488054607508532,1,174.17024721230354,1.1718485607228983,1.0975637090933226,1.120146795634248,1.4235289672968976,1.1047915484061424,5.0,5.0,14.0,3.0,5.0
0.0,11,144,550.0,140,14,50.0,3451.9555893557613,18.199592487103928,7.035398230088495,5.428360413589365,6.4548981571290005,2.0271333071175777,12.303754266211604,1,173.7406132017583,1.403365067070082,1.1010195824643814,1.1211141923558021,1.4356454742940605,1.1196784943437885,10.0,6.0,23.5,3.5,8.0
0.0,48,33,550.0,140,14,50.0,3765.1282639522965,19.417745052865765,8.230088495575222,5.044313146233383,6.828322017458778,2.2217852929610697,13.430034129692833,1,174.05825724463412,1.1753712946091721,1.1100549870999998,1.135277192832654,1.447051088305836,1.1120010814633845,5.0,5.5,14.0,3.0,5.0
0.0,12,132,550.0,140,14,50.0,3532.736566493668,18.681647460946046,9.070796460176991,5.369276218611521,6.7022308438409315,2.0566260322453798,12.12457337883959,1,174.15204163695572,1.1644307159013922,1.0977814254807972,1.1192196133686267,1.4276681515950065,1.1164233618686739,7.5,6.0,23.0,3.5,8.0
0.0,66,24,550.0,140,14,50.0,4083.7659794500996,22.36262282205584,7.876106194690266,5.273264401772526,6.891367604267701,2.862760519071962,13.85665529010239,1,174.2281971208226,1.1308314735473741,1.1099188304750136,1.1568893923795969,1.4176303090241853,1.1102111643591162,5.0,5.0,10.5,3.0,5.0
0.0,99,16,550.0,140,14,50.0,4450.927952841424,26.803361696768924,8.053097345132745,5.731166912850813,6.813773035887488,3.8399528116397956,13.78839590443686,1,174.01388264676993,1.1765570049008367,1.115615940713638,1.1597025746491507,1.406131176186534,1.1124795759663209,4.0,5.0,8.0,3.0,4.0
0.0,88,18,550.0,140,14,50.0,4365.01262911928,25.81956724394837,8.141592920353983,5.539143279172822,6.959262851600388,3.661030279197798,13.57508532423208,1,174.30665666019905,1.1552855979156487,1.1141105217408294,1.1580858433247023,1.4252419479942884,1.1105771124278845,4.5,5.0,9.0,3.0,4.0
0.0,144,11,550.0,140,14,50.0,4598.043168560999,29.295681547384756,6.504424778761061,5.457902511078286,7.478176527643066,4.651985843491939,11.877133105802047,1,174.13674327799575,1.3292947882222197,1.1355872614242035,1.1621127926453765,1.4325973353972128,1.1234405009978827,4.0,4.0,7.0,3.0,4.0
0.0,22,72,550.0,140,14,50.0,3819.7408575165555,19.77388528050737,6.504424778761061,4.933530280649926,7.182347235693501,2.2493118364136846,13.779863481228668,1,174.07464693145144,1.1635564666695066,1.0964324667075485,1.1153202879213597,1.4086543065808241,1.1040320125703396,6.0,5.0,16.0,3.0,6.0
0.0,18,88,550.0,140,14,50.0,3724.1325493538457,19.095235229787946,7.7433628318584065,5.192023633677991,6.881668283220174,2.115611482500983,13.148464163822526,1,173.95428720089635,1.1543748045531417,1.0977518295994826,1.1161575181015229,1.4142113238731628,1.1085629126834788,6.0,5.5,17.0,3.0,7.0
0.0,24,66,550.0,140,14,50.0,3856.7745477136914,20.047128799631214,8.185840707964601,4.970457902511078,6.968962172647915,2.2886354699174203,14.15529010238908,1,174.08976179649284,1.1440039789420193,1.0966434275563133,1.1149434716032025,1.4114975419274185,1.1030613216666332,5.0,5.5,15.0,3.0,5.5
0.0,132,12,550.0,140,14,50.0,4661.469490495042,29.22976492424201,5.353982300884956,5.664697193500738,7.604267701260911,4.7109712937475425,11.945392491467576,1,174.06281762965014,1.2645710868238331,1.124247985726063,1.1712098996340536,1.416977525195839,1.1195217319349946,4.0,4.0,7.0,3.0,4.0
