o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
18,88,35.6,550,10.0,0,0,20,3424.3479450924424,3494.438759650579,201.91140514601645,0,1.0829304593738736,1.076020317725615,1.080186804066765,1.1128109375504722,1.4230319178791118,3.0,4.0,3.5,14.0,3.0,320,1082,2510,1590,1502,1352.950690311275,7.0,34.0
16,99,35.6,550,10.0,40,0,20,3356.1263651488666,3460.235118388248,202.07076016151348,0,1.0822837041289408,1.0768121671687116,1.0803472291548897,1.1134247514589592,1.426683696479342,3.0,4.0,4.0,15.0,3.0,356,1089,2426,1668,1490,1369.1380413919915,7.0,34.0
18,88,35.6,550,10.0,40,0,20,3430.0770988794347,3516.8411288861425,201.9133615926065,0,1.0833434384306397,1.076736103874549,1.0802516658378096,1.1131794885042872,1.4232362145482766,3.0,4.0,3.5,14.0,3.0,364,1057,2500,1652,1535,1356.5822994389257,7.0,34.0
18,88,35.6,550,10.0,10,0,20,3426.195288970522,3506.0418483469684,201.85191126762487,0,1.0827996629097687,1.07602664308845,1.0803233335332796,1.1130781629828421,1.4235430285813684,3.0,4.0,3.5,14.0,3.0,344,1080,2466,1612,1537,1341.5049503311016,7,34.0
16,99,35.6,550,10.0,0,0,20,3352.68817850636,3425.1128814930275,202.062433048541,0,1.0822837041289408,1.0769200034794961,1.080438916267769,1.1137515924873949,1.4272879568878425,3.0,4.0,3.5,15.0,3.0,355,1099,2375,1592,1477,1327.9930226549768,7,34.0
16,99,35.6,550,10.0,20,0,20,3371.5615653832515,3440.483738119676,202.06088786251297,0,1.0822837041289408,1.0767466931617595,1.080698276153722,1.1134247514589592,1.4266595187035618,3.0,4.0,3.5,15.0,3.0,339,1069,2414,1652,1480,1342.9594871187016,7,34.0
16,99,35.6,550,10.0,10,0,20,3358.610424962895,3429.721631975201,202.11432485431027,0,1.0822837041289408,1.076888812710904,1.080866351374407,1.1137091796562715,1.4280894503589305,3.0,4.0,4.0,15.0,3.0,344,1101,2406,1609,1465,1337.041125874211,7,34.0
12,132,35.6,550,10.0,0,0,20,3170.525750724093,3307.7704979186133,201.86467840381408,0,1.0852472149091468,1.0791991840187485,1.0849296849873078,1.1123265605410053,1.4529934220038072,3.0,4.5,4.0,17.0,3.0,345,1049,2241,1558,1366,1273.8989201231802,6,33.0
12,132,35.6,550,10.0,10,0,20,3181.184035766497,3305.2128854024118,201.89645406002617,0,1.0857610613516777,1.0791945007282202,1.0847967565343484,1.1123473506984298,1.4538239499139765,3.0,4.5,4.0,17.0,3.0,341,1051,2261,1569,1352,1273.06572014635,6,33.0
18,88,35.6,550,10.0,30,0,20,3435.8267794035582,3518.0332914182472,201.92977331606212,0,1.0833434384306397,1.0766834678651953,1.0801765343799379,1.1130678113772567,1.4233933415351696,3.0,4.0,3.5,14.0,3.0,366,1078,2487,1629,1508,1358.44467658439,7.0,34.0
