o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
18,88,40.6,550,20.0,10,0,20,3603.338510504162,3660.2722066449483,142.64052970199594,2,1.9275413058303987,1.133745185944448,1.1513340528057232,1.132822753101921,1.4163971633202124,10.0,7.0,8.0,19.5,3.0,76,423,782,867,1104,1358.9975857001943,15.0,36
18,88,40.6,550,20.0,40,0,20,3585.105778241594,3631.060039690978,142.44956314738693,2,1.8834235612915107,1.132467501142306,1.1514308494052985,1.1327606014555105,1.4238132049099546,10.0,6.5,8.0,19.5,3.0,56,429,793,844,1072,1365.4012122501624,15,36
18,88,40.6,550,20.0,20,0,20,3587.115001771357,3638.419680550354,142.52342137757253,2,1.9196358169698309,1.1332446435656909,1.1514308494052985,1.132622829407806,1.4198999296207484,10.0,7.0,8.5,19.5,3.0,74,417,771,842,1114,1356.5546154027306,15,36
18,88,40.6,550,20.0,30,0,20,3591.6149545592016,3640.4227666732936,142.42201897851066,2,1.9021832301578012,1.133054545790607,1.151819747110884,1.132844702091819,1.4212711850414304,10.0,7.0,8.5,20.0,3.0,70,425,778,848,1109,1352.9847678090252,15.0,36
18,88,40.6,550,20.0,50,0,20,3570.852226251258,3617.422745800198,142.2850860338121,2,1.862917015516441,1.132835415558347,1.1513269976173945,1.1327591759325653,1.4234721645147894,10.0,7.0,8.0,20.0,3.0,53,411,738,863,1137,1360.5367383937862,15,36
18,88,40.6,550,20.0,0,0,20,3621.760368604146,3670.646030068443,142.56690032073385,2,1.9335050278647834,1.1350106616837479,1.1511936754332202,1.1330140900106593,1.4109644859752482,10.0,7.0,8.0,19.5,3.0,75,443,780,849,1086,1359.2853424483096,15.0,36
16,99,40.6,550,20.0,50,0,20,3541.4588062431912,3596.5874449475596,142.83530769068437,2,1.9880656221511908,1.1378029916151398,1.154437251110704,1.1351245995559196,1.4198017952148043,11.0,6.5,9.5,21.0,3.5,57,451,740,853,1093,1319.9463413244152,15,36
16,99,40.6,550,20.0,20,0,20,3555.29515932074,3608.755226215638,142.89162700904305,2,2.0146832778754606,1.1395202478577728,1.1561832633480633,1.1356205482086876,1.4198017952148043,11.0,7.0,9.5,21.0,3.5,74,472,774,818,1072,1318.2390651101784,15,36
16,99,40.6,550,20.0,10,0,20,3563.5568441119763,3615.7718494026476,143.00067908143447,2,1.9971433636522788,1.1390142660621574,1.1558979272888683,1.135416416317051,1.4198017952148043,11.0,6.5,9.5,21.0,3.5,78,462,742,853,1099,1348.1910190861474,15,36
16,99,40.6,550,20.0,40,0,20,3550.9408958810754,3615.8087484825855,142.85814228229953,2,1.9992815764809522,1.1390071564041682,1.1550182941363052,1.1350946017185208,1.4254585658843026,11.0,6.5,9.25,21.0,3.5,68,481,753,842,1080,1310.8574645765175,15,36
