o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
72,22,53,550,25,50,0,20,2789.06253053825,2806.255669435008,111.92191655262992,0,1.8705424047020331,1.6496616459279305,1.2809516339315423,1.2611551868751425,1.486173712214112,8.0,8.0,6.0,12.0,4.0,37,212,395,525,797,1036.1743822257401,23,34.0
72,22,53,550,25,50,300000000000,20,2718.536054271261,2761.2975297467156,111.9203170732706,0,1.8695803407075864,1.6697397703193444,1.2953683993056364,1.2741918934212668,1.464385903919255,8.0,8.0,6.0,12.0,4.0,30,196,400,511,806,1012.5757724686844,25,34.0
72,22,53,550,25,50,600000000000,20,2756.7952351719964,2771.6941093434016,111.92021876431743,0,1.9191848614162923,1.6571618090599016,1.2976765850746634,1.2743779185425828,1.465318544890772,8.0,8.0,6.0,12.0,4.0,27,196,374,522,843,1016.823691091799,25.0,34.0
72,22,53,550,25,50,900000000000,20,2789.151345999832,2804.3430124123483,111.91972348661187,0,1.8286667380403552,1.6543293483453332,1.288940571611759,1.278078182580452,1.4795408451285659,7.5,8.0,6.0,12.0,4.0,31,196,380,526,830,1068.3504876602215,24,34.0
72,22,53,550,25,50,1200000000000,20,2764.303742038192,2777.4229461168034,111.9179129123961,0,1.9138143638131548,1.6830417900097778,1.2889655384894378,1.283359071595427,1.4701747846237656,8.0,8.0,6.0,12.0,4.0,31,111,307,170,893,554.4951607980818,24.0,33.0
72,22,53,550,25,50,1500000000000,20,2733.630193438164,2733.8932128621227,111.91670412114996,0,1.9466062578149055,1.685206381052549,1.2883669019614412,1.278599519632879,1.5114663208078145,8.0,8.0,6.0,12.0,4.0,30,202,361,512,825,1011.1140498142289,24.0,33.0
72,22,53,550,25,50,1800000000000,20,2747.6773248965555,2755.9916121311358,111.91468001214528,0,1.8687889668559854,1.6770741067835884,1.2896094164679979,1.2723154921762818,1.4902379337806129,8.0,8.0,6.0,12.0,4.0,39,177,378,456,880,995.917374538274,24,34.0
72,22,53,550,25,50,2100000000000,20,2774.347348786455,2804.616741624443,111.91453890292574,0,1.8481599343231832,1.666737818543777,1.2893859426059782,1.2760224580442256,1.482684547574059,8.0,8.0,6.0,12.0,4.0,27,121,322,187,896,547.2551037885253,24.0,34.0
72,22,53,550,25,50,2400000000000,20,2742.591004619187,2756.334074336668,111.91456503161594,0,1.8807624127422302,1.654289839620967,1.2891031701942763,1.2805002730664206,1.4698157918985606,8.0,8.0,6.0,12.0,4.0,34,193,399,514,828,1038.2154967122212,24,34.0
72,22,53,550,25,50,2700000000000,20,2773.1281083558765,2793.5595639427156,111.91456503161594,0,1.8609702465120572,1.6305441490656383,1.289634528534111,1.2829191787749112,1.4730595831348454,8.0,8.0,6.0,12.0,4.0,36,191,406,521,805,580.6651381307389,24,34.0
72,22,53,550,25,50,3000000000000,20,2804.6747013043446,2826.132781336657,111.91456503161594,0,1.8369671888559105,1.6143132973508325,1.2781988785914715,1.2852564373031279,1.4797968147301235,8.0,8.0,6.0,12.0,4.0,27,201,411,503,830,610.0964423786029,24,34.0
72,22,53,550,25,50,3300000000000,20,2752.77057126156,2767.077028974271,111.91456503161594,0,1.9025062476425025,1.6187404755000447,1.2814882004680705,1.2820136102195292,1.4699261127284764,8.0,8.0,6.0,12.0,4.0,31,192,399,489,813,530.0660335696449,25.0,34.0
72,22,53,550,25,50,3600000000000,20,2741.5806636984707,2745.02362326668,111.91456503161594,0,1.9337377918346046,1.6330175035271668,1.286580032663484,1.2751594903622712,1.4923108960757456,8.0,8.0,6.0,12.0,4.0,30,216,364,485,853,999.5555935125433,25,34.0
