o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
72,22,5,550,25,50,AVG,20,594.5031211487963,1127.3954198744163,28.37640941303531,82.0,1.1664603315145867,1.1690797354686189,1.2827655100671758,1.1489475926629538,1.6076002701688163,4.675,6.0,5.05,9.3875,3.0,5.2,51.35,66.0,105.1,157.5,143.6937135676343,2.1,55.35
72,22,45,550,25,50,AVG,20,3220.2815908011553,3208.6047680130678,118.98365751430961,2.0,2.339136731311253,1.330342511504158,1.244523732789577,1.2802584818388965,1.435040650845644,9.0,7.0,6.0,12.05,4.0,30.45,290.65,406.45,604.7,949.7,1296.49414360328,21.4,34.8
72,22,10,550,25,50,AVG,20,822.504304620152,1597.5459241335104,36.61221461256641,74.0,1.1836589595369393,1.2196633738303895,1.3007713377913848,1.1532931434831588,1.7999843636891968,5.975,6.0,6.4875,11.0,3.9375,4.25,114.25,130.95,180.8,194.0,266.7512770871226,3.1,45.35
72,22,15,550,25,50,AVG,20,1259.1439719934642,2104.6528494427785,54.92141247862886,55.15,5.0273735905564845,1.3718481188460905,1.3740647640195542,1.1833340166547326,1.8093213119520282,14.05,6.0,7.0,12.0,4.0,9.05,194.3,197.75,346.65,298.0,557.7941058600226,5.9,38.2
72,22,20,550,25,50,AVG,20,1791.1909812952733,2422.520871276653,67.73978652122753,48.05,4.016772767875775,1.2252675337889596,1.2865760743774408,1.1721483166932487,1.5585857582926252,11.475,5.0125,6.925,12.0,3.5875,15.45,269.2,253.7,408.4,449.75,774.0638805422218,9.05,40.075
72,22,25,550,25,50,AVG,20,2378.777984610503,2785.8839407842297,88.55762859364253,26.2,4.063896321011077,1.23013219790977,1.3400226710092518,1.282241399352467,1.4918694514339914,13.5,6.0,6.0,13.0,4.0,18.75,268.25,331.4,514.6,674.2,1119.5947828110259,12.5,38.675
72,22,55,550,25,50,AVG,20,2705.645642737949,2725.9754131237996,110.24122740461539,0.0,1.8059653260489792,1.7064765308287335,1.2964764875413302,1.2741011904181117,1.4880125386361316,7.325,8.05,6.35,12.0,4.0,34.8,180.15,380.2,459.85,786.6,930.1897007372747,25.2,34.0
72,22,50,550,25,50,AVG,20,2929.1658773861786,2938.681361658787,114.43010157947724,0.1,2.002522910733074,1.5368462149949236,1.2739872207776228,1.2731261296841694,1.444939462566522,8.175,7.875,6.0,12.0,4.0,30.95,209.45,384.6,489.4,911.7,1121.23778178988,23.1,34.0
72,22,60,550,25,50,AVG,20,2542.742914403517,2553.3403370774545,106.25803868519219,0.0,1.5071247796609586,1.7940460471416215,1.324421304338252,1.2660628596897912,1.456556865342352,7.0,9.0,7.0,12.0,4.0,41.25,181.9,377.3,456.35,691.6,959.3080444319952,27.825,34.45
72,22,120,550,25,50,AVG,20,2541.5016381446712,2548.385312567469,106.20709706184809,0.0,1.52526798288388,1.801318331615062,1.323546362138617,1.2680383605255818,1.4553636302769393,7.0,9.1,7.0,12.0,4.0,42.6,166.2,372.95,414.55,708.2,792.9883812541809,28.0,34.7
72,22,30,550,25,50,AVG,20,2928.0701757646443,3083.8342686934275,106.03052909118901,14.0,3.4636270525099464,1.2279131693206744,1.2785063047009433,1.2936878311823308,1.4644657783406472,11.6,6.0,6.0,13.0,4.0,19.45,235.0,381.35,557.0,938.45,1327.3432698154747,16.4,37.85
72,22,65,550,25,50,AVG,20,2361.920552245554,2365.039801707331,102.88022731160561,0.0,1.3632005313799425,1.888810610248436,1.3851565177290295,1.2821661885692213,1.5044767177208185,6.925,10.0,7.0,12.0,4.0,52.55,147.1,337.25,372.75,667.8,739.3679023967945,30.1,35.4
72,22,130,550,25,50,AVG,20,2941.567652797127,2951.150526850851,114.62848503758892,0.1,2.0310683543363295,1.5301407632866435,1.2723594094678883,1.268931865608771,1.4459955122207406,8.1,7.825,6.0,12.0,4.0,30.0,204.75,385.75,470.5,922.75,1122.1753376047689,23.3,34.0
72,22,125,550,25,50,AVG,20,2710.7355568011803,2733.9437085591526,110.19813498678586,0.0,1.7890401473860478,1.7089387392628865,1.2909613749191782,1.2709195872432961,1.477648121219626,7.5,8.075,6.275,12.0,4.0,38.55,193.8,393.4,494.95,772.35,967.7294296810999,25.2,34.0
72,22,170,550,25,50,AVG,20,822.7841505279481,1604.045125616543,36.77793091185309,74.0,1.1764049247588808,1.218971771635751,1.3064066433289887,1.1535522636598052,1.7979906857090513,5.8,6.0,6.475,11.0,3.8625,4.6,115.95,131.5,185.75,190.3,265.49176131605464,3.35,45.55
72,22,175,550,25,50,AVG,20,594.4708312652854,1131.2437893176632,28.37413697710923,82.0,1.1663730502329566,1.1694744999882114,1.2850521774481705,1.1490982086129655,1.6068374189760228,4.775,6.0,5.0,9.3625,3.0,5.1,52.05,66.1,105.25,161.3,143.65588248728233,2.175,55.3
72,22,115,550,25,50,AVG,20,2364.2427432816767,2369.8833289105546,102.86749238423867,0.0,1.3651804788219564,1.8980167824894494,1.390221056439827,1.2803031128235123,1.5136360208800672,6.875,10.0,7.0,12.0,4.0,51.25,143.9,335.05,374.55,673.15,779.5311353649031,30.175,35.3
72,22,40,550,25,50,AVG,20,3375.4003260675263,3347.1727295248043,121.99257102609499,3.0,2.681661348010941,1.239240003076215,1.239378202213291,1.3047213411661365,1.4321350747015669,9.5,6.1125,6.0,13.0,4.0,28.9,286.65,416.1,637.2,990.25,1503.5725987573232,19.85,36.0
72,22,70,550,25,50,AVG,20,2222.4929018088396,2227.265910876944,100.48850927913102,0.0,1.28730368607694,1.9463131684775021,1.500445304328069,1.3206779576674506,1.4866732315256503,6.0,10.95,7.0,13.0,4.0,66.0,141.7,303.35,348.45,640.4,755.5175190000666,32.5,36.0
72,22,110,550,25,50,AVG,20,2215.7411841896796,2221.044367365705,100.38501568514855,0.0,1.2814521246728494,1.950078560299718,1.4965159678459143,1.320948340417741,1.4885024895823116,6.0,10.975,7.0,13.0,4.0,65.25,149.05,304.3,379.65,646.35,820.0646325292034,32.3,36.1
72,22,35,550,25,50,AVG,20,3257.966751479794,3280.3171599890397,118.90567241044445,6.0,3.1131312539003475,1.2247286260672836,1.2420162197539433,1.3225016032607584,1.4181594546909346,11.6,6.0,6.0,13.0,4.0,23.7,260.4,403.95,611.55,1000.2,1458.8770947041894,19.0,36.65
72,22,135,550,25,50,AVG,20,3211.8659320280517,3195.637827456027,119.04188694535075,2.0,2.312041749849989,1.3271870094997287,1.2436355970350028,1.2828350760645715,1.4378613484144307,8.9625,7.0,6.0,12.1,4.0,31.5,298.3,404.85,602.8,950.6,1348.793690011667,21.225,34.85
72,22,75,550,25,50,AVG,20,2104.5843112947027,2106.866794684006,98.73145617813029,0.0,1.2460289124241704,2.00304104788381,1.6114499431239904,1.410261533271472,1.5034518606347973,6.0,11.0,7.725,13.0,4.0,80.7,132.35,257.5,377.9,643.15,805.6394312525193,33.8,37.05
72,22,165,550,25,50,AVG,20,1261.1623078420755,2113.766990004931,55.195335145533946,55.0,5.2715190503136276,1.3722953413807695,1.3681867511650287,1.1846718394628275,1.8270865550120086,14.75,6.0,7.0,12.0,4.0,9.25,192.95,197.5,346.3,301.4,566.5856574487905,5.95,38.3
72,22,105,550,25,50,AVG,20,2098.414707447112,2103.647878449777,98.50872696662711,0.0,1.2422543747572263,1.9950989844640947,1.6154192229851998,1.4111974958710403,1.4928529971080147,6.0,11.0,7.825,13.05,4.0,77.05,133.5,260.45,353.65,640.6,774.2256950862159,34.075,37.1
72,22,80,550,25,50,AVG,20,2027.0690347221148,2027.9344171764728,97.16407111083308,0.0,1.2208601766737397,2.0346722511329696,1.6960920578332719,1.5342029190244393,1.5070470453771867,5.925,11.95,8.0,14.0,4.0,84.5,131.0,231.7,363.25,638.35,769.324362149145,35.025,38.35
72,22,140,550,25,50,AVG,20,3369.302658361527,3345.1206399072594,122.0734793923705,3.0,2.6915198983021265,1.240276414069149,1.2379764631951964,1.3030018633626024,1.430197919888696,9.85,6.1875,6.0,13.0,4.0,27.5,311.15,433.45,731.35,912.4,1481.4806933345526,19.6,35.9
