o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
72,22,53,550,25,15,AVG,20,2748.1245071745802,2760.071189317302,111.69529388409164,0.0,1.7864136147696268,1.2263109667718974,1.254582766973444,1.1746308889718942,1.4939233661697375,7.925,9.25,7.0,14.0,4.0,40.6,249.05,353.75,523.65,756.15,1051.1514643300416,24.2,33.45
72,22,53,550,25,40,AVG,20,2779.0345592421427,2797.02513651973,111.81093585597834,0.0,1.8802816451841806,1.6451825414484618,1.2861305477154295,1.2756554024131892,1.472293619628759,7.975,8.0,6.0,12.0,4.0,32.45,185.5,381.7,458.9,835.95,1004.3471137558059,24.25,33.95
72,22,53,550,25,20,AVG,20,2779.034559242142,2797.02513651973,111.81093585597834,0.0,1.8802816451841806,1.6451825414484618,1.2861305477154295,1.2756554024131892,1.472293619628759,7.975,8.0,6.0,12.0,4.0,32.45,185.5,381.7,458.9,835.95,1128.8992492718257,24.25,33.95
72,22,53,550,25,10,AVG,20,2779.0345592421427,2797.02513651973,111.81093585597834,0.0,1.8802816451841806,1.6451825414484618,1.2861305477154295,1.2756554024131892,1.472293619628759,7.975,8.0,6.0,12.0,4.0,32.45,185.5,381.7,458.9,835.95,1128.712632804628,24.25,33.95
72,22,53,550,25,30,AVG,20,2779.0345592421427,2797.02513651973,111.81093585597834,0.0,1.8802816451841806,1.6451825414484618,1.2861305477154295,1.2756554024131892,1.472293619628759,7.975,8.0,6.0,12.0,4.0,32.45,185.5,381.7,458.9,835.95,1035.0312096482735,24.25,33.95
72,22,53,550,25,5,AVG,20,2748.2977417547,2758.149625217879,111.73629992802967,0.0,1.8012166795785394,1.176786764203988,1.2401728945852937,1.156337897358483,1.506732434883973,7.8,10.0,7.0,14.825,4.0,38.85,255.25,355.95,519.15,750.55,1032.979453671592,24.575,34.7
72,22,53,550,25,0,AVG,20,2745.815458530117,2755.67180425353,111.6994549307811,0.0,1.8016477749855428,1.1719221890850553,1.237961645740065,1.153462878269313,1.5068998111164427,7.85,10.0,7.0,15.0,4.0,39.75,258.95,355.4,519.65,748.1,988.0087889529289,24.9,34.75
72,22,53,550,25,50,AVG,20,2779.034559242142,2797.02513651973,111.9144102199878,0.0,1.8802816451841804,1.6451825414484618,1.2861305477154295,1.2756554024131892,1.472293619628759,7.975,8.0,6.0,12.0,4.0,32.45,185.5,381.7,458.9,835.95,907.3475671709932,24.25,33.95
72,22,53,550,25,35,AVG,20,2737.4836817225905,2750.465406716782,111.75397808375874,0.0,1.8080189499741113,1.459303649773545,1.2877641243048137,1.2432784306071676,1.4751426827588854,8.0,8.0,6.6,12.975,4.0,33.25,182.0,348.45,381.5,830.95,988.2862606925379,23.3,32.9
72,22,53,550,25,25,AVG,20,2723.387703381799,2737.2067536331792,111.76360309686088,0.0,1.779298494059811,1.333939844596597,1.2787598747668487,1.213003589466124,1.4854133118017354,8.0,8.7,7.0,13.0,4.0,36.85,204.1,347.65,386.1,793.8,1019.094338036216,23.25,32.55
72,22,53,550,25,45,AVG,20,2765.176602271861,2779.914648490714,111.83038611015357,0.0,1.8489464864845142,1.5857527854716642,1.2863861319388439,1.264625299659053,1.473911344624606,8.0,8.0,6.075,12.175,4.0,33.35,186.6,371.4,456.7,835.2,1059.0925452710778,23.95,33.6
