o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
72,22,53,550,5,50,AVG,20,2583.5101616193383,2507.8022637658687,254.56628069626828,0.0,1.0724537266150982,1.0557022189665837,1.0646289152008293,1.0265397072861246,1.443669591023316,3.0,3.0,3.0,4.0,3.0,466.5,2090.1,3326.45,4738.2,1334.5,1044.8301642659706,4.0,39.0
72,22,53,550,35,50,AVG,20,1797.6520838474403,1801.2790440901929,74.80677904717771,1.0,2.513300135826246,1.9847496128658495,1.5363037962717656,1.415760922847787,1.8576437849115748,9.4,10.7,7.8625,14.0,6.0,14.55,124.25,211.7,265.25,377.85,593.9202429924719,29.05,33.35
72,22,53,550,25,50,AVG,20,2779.0345592421427,2797.02513651973,111.9144102199878,0.0,1.8802816451841804,1.6451825414484618,1.2861305477154295,1.2756554024131892,1.472293619628759,7.975,8.0,6.0,12.0,4.0,32.45,185.5,381.7,458.9,835.95,1042.2435883047312,24.25,33.95
72,22,53,550,15,50,AVG,20,3913.8345313339364,3965.0413434742345,161.64392628150114,0.0,1.1683119696803552,1.1711176873490474,1.1255879623382423,1.1481392558996693,1.443669591023316,5.0,5.975,5.0,10.0,3.0,172.55,631.95,978.4,1514.3,1147.55,1557.1632682215393,14.95,38.35
72,22,53,550,11,50,AVG,20,3879.743915484984,3918.096849687622,189.95246375093558,0.0,1.0920933907878974,1.0988805659353906,1.0861284974046643,1.1164237392756455,1.443669591023316,3.975,4.0,4.0,9.0,3.0,297.7,977.1,1678.35,2229.95,1400.7,1570.6936230487054,10.0,39.45
72,22,53,550,9,50,AVG,20,3597.528056102356,3586.97836635186,207.29581081759474,0.0,1.0788563234905213,1.0728618121964886,1.069654293275179,1.0972050658121755,1.443669591023316,3.0,3.0,3.0,8.0,3.0,343.65,1300.6,2307.8,2557.1,1455.4,1496.0591199442308,8.0,38.45
72,22,53,550,13,50,AVG,20,3955.0229968121103,3998.4953512009015,175.1102757744183,0.0,1.1187003861656855,1.133200254397069,1.1047118557126594,1.1321443569348681,1.443669591023316,4.0,5.0,4.9,9.0,3.0,236.35,820.6,1247.7,1801.0,1292.5,1583.1433306823924,12.15,39.825
72,22,53,550,7,50,AVG,20,3198.4609403681457,3107.8501909082843,227.9098117316483,0.0,1.0724537266150982,1.0586197942167135,1.0646289152008293,1.0694968208854014,1.443669591023316,3.0,3.0,3.0,6.35,3.0,432.1,1722.55,2890.45,2935.1,1422.55,1419.5674297226983,6.0,38.75
72,22,53,550,45,50,AVG,20,1115.327426372875,1115.3274263728752,43.12185350033168,2.65,3.0369254460716077,2.2148991463462493,1.8514036547894974,1.5373174916681651,2.717920802554177,11.675,12.2875,9.0,15.0,7.6375,11.6,68.85,116.65,141.7,199.4,341.5937679888981,31.4,35.8
72,22,53,550,17,50,AVG,20,3773.7449343602952,3818.876796888765,149.96176382579262,0.0,1.239679677514808,1.2233333739936827,1.1473522695914187,1.1653513141623635,1.443669591023316,5.025,6.0,5.0,10.875,3.0,126.85,507.7,830.3,1299.55,946.95,1525.5761045458737,17.05,37.0
72,22,53,550,19,50,AVG,20,3554.0658155976844,3591.5885100984533,139.32912656347688,0.0,1.3111655845107726,1.3063655767507043,1.173312694123257,1.182604449834512,1.443669591023316,6.05,6.45,5.725,11.0,3.0,95.0,401.75,697.2,1175.35,758.9,1469.8222952952192,19.85,36.05
72,22,53,550,21,50,AVG,20,3299.399851471616,3332.4571364085364,129.55412995052717,0.0,1.4464899939389055,1.4185146118725518,1.2044278037994103,1.205218437875367,1.4442861690221431,7.0,7.0,6.0,12.0,4.0,67.0,303.25,558.1,793.65,946.2,1424.1049882961133,21.65,35.1
72,22,53,550,23,50,AVG,20,3041.77002708114,3069.7165717166595,120.30960839726015,0.0,1.7201467404738817,1.5257179706816097,1.2419778345816046,1.2399282835391545,1.4497566126092771,7.0,7.925,6.0,12.0,4.0,43.1,230.9,454.65,569.0,953.45,1328.3866280992565,23.15,34.75
72,22,53,550,27,50,AVG,20,2548.4771956364248,2560.8113104979484,103.97750747505351,0.0,2.030794062992631,1.7389579119273102,1.3322195856501962,1.3114364326959225,1.5167860430068039,8.1,9.0,7.0,13.0,4.0,26.35,166.85,346.2,444.4,704.8,845.7173240069512,25.3,33.5
72,22,53,550,29,50,AVG,20,2337.384228659844,2348.1281170388465,96.41213481860359,0.0,2.195761536339053,1.80470488437261,1.3767587874088074,1.341859367047108,1.5795936429766795,8.8,9.05,7.0,13.0,5.0,21.65,148.6,298.15,375.55,607.85,735.2517598529423,26.3,33.2
72,22,53,550,31,50,AVG,20,2142.233484905539,2152.6618316054064,88.96286488424309,0.0,2.3241516115989356,1.8767773590401002,1.4317862602895297,1.3677666177206282,1.6585731292453978,9.0,10.0,7.0,13.0,5.0,18.1,141.9,267.2,346.8,519.05,740.3211212183325,27.575,33.25
72,22,53,550,33,50,AVG,20,1960.3149468675779,1967.9419653774403,81.93515379085012,0.0,2.4554161336287126,1.9395895838707031,1.4855564055726114,1.393217007127067,1.7499811675917798,9.4,10.0,7.375,13.6,5.0375,15.45,130.95,237.4,301.15,446.1,664.0944540260138,28.5,33.1
72,22,53,550,37,50,AVG,20,1638.1063181494467,1639.2274109344605,68.45855219474024,1.0,2.6189125742059223,2.0290172299248015,1.5916447442297081,1.4422600841277942,1.9854929006002648,10.0,11.0,8.0,14.0,6.0,13.85,109.5,185.2,234.0,335.05,515.3195831609198,29.925,33.95
72,22,53,550,39,50,AVG,20,1485.3219154776964,1485.574277282754,61.42653673134292,1.0,2.7536039717471925,2.078376799756065,1.656008863763099,1.470288079193116,2.148310187327335,10.15,11.175,8.0,14.05,6.05,14.0,97.95,162.65,194.95,299.55,472.6970850135146,30.95,34.25
72,22,53,550,41,50,AVG,20,1359.1968048402919,1359.1640288943843,55.24899173336905,1.05,2.8631112840763038,2.125617782855524,1.725468723376801,1.4921032237025078,2.3042124764305707,10.8,11.925,8.375,14.5,7.0,15.55,86.2,147.2,177.4,262.2,433.15266794137824,31.75,34.75
72,22,53,550,43,50,AVG,20,1235.4081316270963,1235.3690480451007,48.76242073666931,1.4,2.964775856855754,2.1707044138809852,1.7923366784854444,1.5129901901636083,2.4960086488968534,11.2,12.0,9.0,15.0,7.0,13.3,80.05,130.75,161.25,223.95,390.34179578833755,32.15,35.3
72,22,53,550,47,50,AVG,20,1009.562403489825,1009.5624034898252,36.312078756823944,4.3,3.118201338686675,2.256186585906404,1.9077082001861196,1.5779774610642217,2.9249999670793634,12.075,12.95,9.0,15.4,8.0,9.95,61.55,106.3,128.2,168.25,314.01085420019797,30.175,36.3
72,22,53,550,49,50,AVG,20,914.4736935050496,914.4584913862988,30.761680861142917,6.95,3.2017430300049172,2.2999920335701463,1.959720024263807,1.628171952459536,3.1491037709072054,12.3,13.25,9.2,16.2,8.0,8.95,56.7,94.1,117.0,144.35,284.49259513703146,27.375,36.8
