o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
72,22,53,550,25,50,AVG,20,2779.034559242142,2797.02513651973,111.9144102199878,0.0,1.8802816451841804,1.6451825414484618,1.2861305477154295,1.2756554024131892,1.472293619628759,7.975,8.0,6.0,12.0,4.0,32.45,185.5,381.7,458.9,835.95,907.3475671709932,24.25,33.95
88,18,53,550,25,50,AVG,20,2801.1407239760842,2822.09105235708,111.95480478119717,0.0,2.066771624506082,1.8596163920920188,1.296805158250566,1.3044699302356826,1.4643853430751963,8.15,8.05,6.0,11.0,4.0,36.35,176.35,425.4,560.85,813.8,1083.7997783021156,25.2,34.975
99,16,53,550,25,50,AVG,20,2821.6715771388604,2851.0975445695594,111.66865421705283,0.0,2.232999368358881,2.0447947768274743,1.3247763523460065,1.3234227317290548,1.467020811805373,8.625,8.85,6.0,11.0,4.0,33.25,170.0,435.4,544.85,813.15,1053.576393028965,25.2,35.2
66,24,53,550,25,50,AVG,20,2784.3928578020314,2802.464174819827,111.87466924758739,0.0,1.8172332605627997,1.5564589431057665,1.2829703269496948,1.255283289716876,1.4992404866399813,7.9,8.0,6.625,13.0,4.0,33.25,193.55,377.85,461.95,819.15,1101.3949778013728,23.9,33.9
144,11,53,550,25,50,AVG,20,2806.003236336999,2838.3618328653315,111.76511233994547,0.0,3.3698410584712084,3.022411406368992,1.4445421506771616,1.5153921499656087,1.5308431516017416,9.275,9.9,6.0,9.0,4.75,34.0,153.9,462.6,619.65,786.55,1089.760094045037,25.6,38.4
132,12,53,550,25,50,AVG,20,2810.1585012232435,2844.8332208975735,111.41780151276751,0.0,2.957710803834404,2.7706916312500622,1.4024248897523577,1.4638330628930822,1.516204598581808,8.95,9.15,6.0,9.625,4.5625,35.3,161.45,465.05,593.45,789.1,1147.4947762404886,25.275,37.4
48,33,53,550,25,50,AVG,20,2758.993229901627,2770.1624234882884,111.85023172760305,0.0,1.707787162505389,1.3024583366101454,1.2603917090725942,1.198843638764995,1.4734932131035317,8.0,8.0,7.0,14.65,4.0,35.7,223.8,356.4,425.3,787.45,979.1705314843668,24.4,34.0
44,36,53,550,25,50,AVG,20,2763.1970826804727,2771.556837510051,111.83710806836135,0.0,1.6784885217628627,1.2629339123547312,1.2451879101049594,1.1793637827872283,1.4552716637388494,8.0,8.0,7.0,15.0,4.0,36.2,214.8,332.5,394.55,811.45,999.1615754566088,25.3,35.0
36,44,53,550,25,50,AVG,20,2797.490709357025,2806.1835763958015,111.96567123390153,0.0,1.6938447925515763,1.2097949975489752,1.2228353002095727,1.1617613209090627,1.4432161337499563,8.675,8.0,7.0,16.0,4.0,37.3,244.9,345.6,468.35,812.1,978.4552092487231,24.75,35.65
33,48,53,550,25,50,AVG,20,2798.6951640033794,2806.4035380874498,112.0205208429528,0.0,1.6638086105139274,1.1988631658246347,1.2187297878601957,1.157397904244024,1.4430317120288199,9.0,8.0,7.0,16.0,4.0,36.6,236.95,347.7,474.75,813.95,958.6154761222767,24.925,35.85
24,66,53,550,25,50,AVG,20,2788.682215230213,2798.9963016248485,111.8836617506552,0.0,1.7157187142861001,1.1845695181435005,1.2142855439190487,1.150870410362256,1.4523487232831296,10.0,7.0,8.0,18.0,4.0,34.6,244.6,345.1,485.45,807.85,1011.4120848644416,25.5,37.0
22,72,53,550,25,50,AVG,20,2783.468438726343,2793.959960306003,112.01686422132624,0.0,1.7768247415582803,1.1840237305254213,1.2144153694616857,1.1502534330387946,1.4571594867838316,10.6,7.0,8.025,19.0,4.0,34.65,251.95,354.0,478.1,802.0,970.7147994099344,25.75,37.65
18,88,53,550,25,50,AVG,20,2791.5469541477933,2800.6539014428636,111.72075120386224,0.0,1.9049547228703134,1.1903446270980416,1.2227007596458692,1.1525438967528951,1.4749610767182249,12.0,7.0,9.0,21.05,4.0,36.6,259.45,374.05,479.45,777.55,993.5937343823265,25.7,38.15
16,99,53,550,25,50,AVG,20,2777.6847174892964,2784.9048268807755,111.71769282399069,0.0,1.978273760156275,1.1952983857413364,1.231244576555738,1.1554308587170095,1.5243602341458558,12.825,7.0,9.75,23.25,4.0,35.6,264.35,366.6,497.0,772.75,1019.0379696795684,26.2,38.6
12,132,53,550,25,50,AVG,20,2768.0890408368205,2782.914025996917,110.42354946890502,0.2,2.1832262277951298,1.2195550072964931,1.2755987704194858,1.1692159103958273,1.6129240431007386,16.275,6.2,12.3,29.275,4.1,35.2,314.6,332.05,495.45,744.2,1038.6262374379335,26.9,40.45
11,144,53,550,25,50,AVG,20,2784.172915815316,2829.9432873230626,111.44300372498091,0.75,2.2578571344049685,1.2372062035226914,1.300746789767397,1.176045583616435,1.6584929655745668,17.625,6.0,13.025,31.575,4.0,34.9,351.85,368.2,675.65,536.4,1113.7075542022646,26.2,41.05
