time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,66,24,550.0,53,25,50.0,2775.128136103547,7.351397271530923,1.4601769911504425,0.9158050221565732,1.542192046556741,0.3283523397561935,7.559726962457337,0,111.241627857324,1.8695036470840487,1.5461160488186647,1.2602524489413014,1.4830673798053509,1.2824620521104642,8.0,8.0,13.0,4.0,6.5
0.0,132,12,550.0,53,25,50.0,2826.08000408193,16.29934023844281,1.2831858407079646,1.0709010339734122,2.1387002909796315,1.0971293747542272,6.928327645051195,0,109.25814472041374,2.599057113473781,2.9584831611686075,1.5027617350058657,1.6855424389900984,1.4001490975334636,9.0,9.0,10.0,5.0,6.0
0.0,33,48,550.0,53,25,50.0,2847.4530477845083,14.588052144562596,1.6814159292035398,1.706056129985229,1.6585838991270614,0.9457333857648447,7.1416382252559725,0,112.24986427040338,1.750561665319367,1.2022791011743912,1.1566774040231924,1.4552177834436675,1.2155682618960073,9.0,8.0,16.0,4.0,7.0
0.0,36,44,550.0,53,25,50.0,2792.81634180398,14.027590119598935,1.5486725663716814,1.861152141802068,1.6343355965082444,0.8906802988596146,6.96245733788396,0,111.71347847850912,1.6769855106955347,1.2088417117061412,1.1600651118192609,1.4464281882085825,1.2258065583088504,9.0,8.0,16.0,4.0,7.0
0.0,22,72,550.0,53,25,50.0,2813.5308094140273,14.566072664539561,1.4601769911504425,1.8759231905465288,1.6682832201745879,0.9339362957137239,6.9709897610921505,0,112.00211539784603,1.8734358442734926,1.1799077649067191,1.1507604288869153,1.4744328549014407,1.2128990900290018,11.0,7.0,19.0,4.0,8.0
0.0,16,99,550.0,53,25,50.0,2707.0251873576913,14.717045420467812,1.3716814159292035,1.9054652880354506,1.624636275460718,1.0224144710971292,6.5699658703071675,0,111.38878067750443,1.9226896348911393,1.1949290899509184,1.1558051913749885,1.583308092100487,1.2302569812902597,13.0,7.0,23.0,4.0,10.0
0.0,18,88,550.0,53,25,50.0,2816.896882515163,14.750333865652209,1.5486725663716814,2.06794682422452,1.9107662463627546,0.9359024773889107,6.587030716723549,0,112.45720989499179,1.853036862262153,1.1920388863959677,1.1547279237869401,1.4755284802688275,1.2233575328908133,12.0,7.0,21.0,4.0,9.0
0.0,144,11,550.0,53,25,50.0,2886.649138914627,17.278243751556833,1.4601769911504425,1.0709010339734122,2.4975751697381186,1.2544239087691704,6.510238907849828,0,112.11129031222553,3.1430451238009387,3.0641334697639744,1.5026625272689107,1.644073377348312,1.4015522675165348,8.0,10.0,9.0,4.5,6.0
0.0,12,132,550.0,53,25,50.0,2819.400474417316,15.000855592222436,1.4601769911504425,2.259970457902511,1.7119301648884577,0.9476995674400315,6.177474402730375,0,109.86611576046229,2.2007916771086715,1.241647919895403,1.1764235958727163,1.6960915689362739,1.281370115255787,16.0,6.0,29.0,4.0,12.0
0.0,44,36,550.0,53,25,50.0,2722.1431775613823,14.417999321161684,1.5044247787610618,1.7282127031019203,1.556741028128031,0.9752261108926465,6.663822525597269,0,111.12759933069775,1.6628169072331354,1.2654979777079225,1.1824147803513727,1.4575639986336861,1.2500551403485307,8.0,8.0,15.0,4.0,7.0
0.0,99,16,550.0,53,25,50.0,2860.9881473493506,7.853777317444842,1.238938053097345,0.7090103397341212,1.7507274490785645,0.37947306331104996,7.704778156996587,0,111.79807622515574,2.2095911229696164,1.9016300696353132,1.320164190943136,1.4970353285684745,1.317496885715663,9.0,9.0,11.0,4.0,6.0
0.0,24,66,550.0,53,25,50.0,2757.985157421425,14.684764257965869,1.3716814159292035,1.8316100443131464,1.6391852570320078,0.9732599292174596,6.791808873720137,0,111.49522421956178,1.7717476300415158,1.1840345400868275,1.1503910941340738,1.4668824043823396,1.2191746275049749,10.0,7.0,18.0,4.0,8.0
0.0,48,33,550.0,53,25,50.0,2790.8866394637876,14.51585693922032,1.2831858407079646,1.8242245199409157,1.7507274490785645,0.9811246559182067,6.723549488054608,0,112.41482560731554,1.748645481183043,1.3016225878652317,1.1963244223229579,1.4689158183805602,1.259871424020954,8.0,8.0,15.0,4.0,7.0
0.0,88,18,550.0,53,25,50.0,2774.4138821584556,15.685430561236432,1.3274336283185841,1.4032496307237814,1.9107662463627546,1.0145497443963822,7.542662116040956,0,112.08050391881561,2.0379189312179347,1.8307727695708913,1.318801902235439,1.4624368629073823,1.2942983406363082,8.5,8.0,11.0,4.0,6.0
0.0,72,22,550.0,53,25,50.0,2806.255669452504,15.57648854505373,1.7699115044247788,1.5435745937961594,1.8816682832201745,1.0755013763271726,6.621160409556313,0,111.84453209174254,1.8705424047020331,1.6496616459279305,1.2611551868751425,1.486173712214112,1.2809516339315423,8.0,8.0,12.0,4.0,6.0
0.0,11,144,550.0,53,25,50.0,2763.914614711108,14.003808584942876,1.592920353982301,2.4593796159527326,1.4354995150339476,0.9378686590640976,6.621160409556313,1,110.58644987449483,2.2902778531494636,1.242706468965495,1.1784672272377168,1.6122738054100005,1.2821461002062498,18.5,6.0,31.0,4.0,13.5
