o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
72,22,45,550,15,25,AVG,20,3624.000320139306,3757.200561455661,167.51381012677606,0.0,1.2585285238764257,1.132518950495206,1.12562668978619,1.1501947761629514,1.4246246607389392,5.0,6.0,5.0,11.2,3.0,155.05,681.05,1204.4,1460.9,1310.8,1413.0230655081714,11.0,34.1
72,22,45,550,15,35,AVG,20,3839.5829378448097,3969.213423883279,167.49241597938715,0.0,1.2348286591362518,1.1308849454001637,1.1240760174153572,1.1561842759866683,1.419418707085909,5.0,5.075,5.0,10.1,3.0,160.95,740.05,1214.5,1653.45,1299.4,1527.005451009005,12.0,35.7
72,22,45,550,15,30,AVG,20,3738.2837883581024,3865.6562946747135,167.49432155696508,0.0,1.2490660759229948,1.1318534767824604,1.1250109437026692,1.1558034224942897,1.4232442842239976,5.0,6.0,5.0,11.0,3.0,158.35,721.4,1212.7,1557.8,1295.95,1472.5625672202787,11.425,34.45
72,22,45,550,15,40,AVG,20,3923.7094396423745,4048.4762517764843,167.4944314581388,0.0,1.2241994796907618,1.1307927674517944,1.1237298731625538,1.1555044636995995,1.4171514835055725,5.0,5.0,5.0,10.0,3.0,162.8,765.3,1223.45,1720.95,1308.1,1571.0217601931936,12.15,36.95
72,22,45,550,15,50,AVG,20,4037.701947270662,4155.780480375646,167.48583674141994,0.0,1.2096275113837782,1.1323216833278582,1.1226169094493685,1.1547277600656598,1.4158948658569919,5.0,5.0,5.0,10.0,3.0,156.85,774.25,1229.35,1821.9,1346.9,1627.6005381935677,13.0,38.9
72,22,45,550,15,20,AVG,20,3569.951979641596,3711.5404903330077,167.46541807185264,0.0,1.2711444509832555,1.1267348510536155,1.1260846435919682,1.134972254564619,1.4272697664084455,5.0,6.225,5.0,12.6,3.0,147.55,654.9,1206.4,1404.6,1328.4,1378.0980184354416,11.3,34.05
72,22,45,550,15,45,AVG,20,3984.4647845428417,4107.231328147476,167.4799926341854,0.0,1.2170965370015148,1.1312571176346353,1.1226231834560074,1.1550591719796297,1.415832353182629,5.0,5.0,5.0,10.0,3.0,158.1,772.45,1234.7,1773.15,1321.0,1599.222747814401,12.9,37.95
72,22,45,550,15,5,AVG,20,3515.4790444455684,3659.200908558333,167.4743728360448,0.0,1.3085652509714434,1.1022884449324934,1.1217777821301826,1.1176528735295514,1.4278929613769953,5.0,7.0,5.0,13.175,3.0,150.75,631.25,1216.7,1290.25,1358.6,1327.1119408815882,10.95,34.95
72,22,45,550,15,10,AVG,20,3518.054622740121,3663.345443963728,167.44777669724778,0.0,1.2967314497613833,1.1075774329806027,1.1229539492982348,1.1222924099330085,1.428569030392964,5.0,7.0,5.0,13.025,3.0,145.5,628.95,1202.8,1325.05,1354.3,1336.4708981572587,10.95,34.75
72,22,45,550,15,15,AVG,20,3541.412187940721,3680.5171978244334,167.46422743644501,0.0,1.2823488203855384,1.1164287654198808,1.124629300430902,1.128852573052977,1.428192856051375,5.0,7.0,5.0,13.0,3.0,152.0,634.05,1202.3,1366.9,1334.5,1354.0100970526812,11.2,34.2
72,22,45,550,15,0,AVG,20,3514.630874450833,3654.286566251389,167.43555644812236,0.0,1.3093334187043484,1.100622438403679,1.1216223017538614,1.1163075358768357,1.428097458030264,5.0,7.0,5.0,13.375,3.0,149.8,634.1,1210.6,1289.45,1355.6,1327.4403056682365,10.95,35.0
