time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,36,990.0,42,35,50.0,1521.4375534018993,7.283269879691074,0.5121042830540037,0.7642555438225976,0.5266335703743459,0.29370489174017644,10.668896321070234,2,125.26706426476352,49,405.2660299186902,1.8178029823487065,1.254047817926484,1.2037575684329598,1.829861478272817,1.293452749941479,9.0,7.0,13.0,3.0,7.0
0.0,36,36,870.0,42,35,50.0,1488.4569271427506,7.4208016154546,0.4934823091247672,0.6546990496304118,0.4783308734737689,0.30598436246992783,9.138795986622075,2,115.64574017396453,50,375.81313577572956,1.858172853790601,1.2347978404871627,1.1854251201837023,1.7065619916924368,1.2765933135397782,10.0,7.0,13.0,4.0,7.0
0.0,36,36,930.0,42,35,50.0,1509.4394568868752,7.128297656706395,0.4655493482309125,0.6863780359028511,0.4836978397960553,0.290196471531676,10.016722408026755,2,120.93224240873667,49,391.50829895788627,1.83707117611084,1.2436409513114692,1.1943834959409882,1.773686976588111,1.2876957376862022,9.0,7.0,13.0,4.0,7.0
0.0,36,36,680.0,42,35,50.0,1276.875355057797,8.763146995922508,0.4748603351955307,0.7180570221752904,0.5024822219240574,0.34156976744186046,4.561036789297659,3,94.90887878885447,72,314.2041083485113,1.9694287020771666,1.177551020949387,1.147056063559551,1.5778338102990328,1.2478198347690124,11.0,8.0,14.0,4.0,8.0
0.0,36,36,800.0,42,35,50.0,1416.367709412986,10.008704853236551,0.5555555555555556,0.8883315733896515,0.5588353683080639,0.3936948676824379,6.166387959866221,3,108.56407449358579,53,353.482438326667,1.8854889747115249,1.2211680845687347,1.1735253433972965,1.6645636545175067,1.267559465854794,10.0,7.0,13.0,4.0,7.0
0.0,36,36,770.0,42,35,50.0,1381.2108087666272,9.807379922827396,0.4872749844816884,0.8434530095036958,0.5595062390983497,0.3879310344827586,5.769230769230769,3,105.70230083055525,55,343.08816057948866,1.9091873474108152,1.2131426013237743,1.1672744693538775,1.64390151878756,1.2647884378322185,10.0,7.5,14.0,4.0,8.0
0.0,36,36,650.0,42,35,50.0,1239.7897555842414,8.39716151097103,0.4717566728739913,0.6916578669482577,0.4669260700389105,0.32778668805132316,4.218227424749164,3,91.45756067021203,78,306.11047931720475,1.9976639962260565,1.1652048231005392,1.140636679491764,1.5651518178527613,1.2440661034761256,11.0,8.0,14.0,4.0,8.0
0.0,36,36,600.0,42,35,50.0,1176.8752759185058,7.968399144315939,0.42520173805090006,0.6388595564941921,0.42667382262176307,0.3177626303127506,3.754180602006689,4,84.95933837597418,78,291.8147628241043,2.0361814018255457,1.1584048061642482,1.1333257780655932,1.5301856711419122,1.2441309032554446,11.0,8.0,14.0,4.0,8.0
0.0,36,36,860.0,42,35,50.0,1476.9479903357526,7.3712539992510315,0.48106765983860955,0.6335797254487857,0.45417952502348047,0.3135024057738573,8.988294314381271,3,114.47010273939472,50,373.65032135185356,1.8632387083007875,1.2289557120238157,1.1826163382079238,1.6870205573648973,1.274669012362862,10.0,7.0,13.0,4.0,7.0
0.0,36,36,610.0,42,35,50.0,1191.575473916505,8.0907234703655,0.45313469894475483,0.6282998944033791,0.4313699181537635,0.3257818765036087,3.867056856187291,4,86.27605659695004,78,294.06631819501786,2.0261454716904845,1.1604445403492591,1.1351399029068083,1.5382378367819953,1.2428876325493607,11.0,8.0,14.0,4.0,8.0
