time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,18,610.0,42,35,50.0,1157.2040468487328,7.819026749664906,0.44692737430167595,0.6098204857444561,0.42667382262176307,0.3125,3.833612040133779,3,86.4114703347466,78,296.3408690139429,2.5588038447919224,1.2884218938523364,1.2379373697178908,1.549687817518105,1.2937411223488655,10.0,7.0,11.0,4.5,7.0
0.0,48,27,610.0,42,35,50.0,1232.4690640733722,8.061942840097574,0.48106765983860955,0.6612988384371701,0.42130685629947673,0.3177626303127506,3.971571906354515,4,86.93190602888154,78,293.82944143815934,2.127524560697754,1.2711364081595327,1.2069750189929842,1.6379440376889192,1.3193685855086803,10.0,8.0,13.0,4.0,7.5
0.0,27,48,610.0,42,35,50.0,1168.575503278507,7.921261974258186,0.4376163873370577,0.6414994720168954,0.40587682812290354,0.3217722534081796,3.867056856187291,3,86.5616562552712,78,295.0530590122438,2.0536830157229615,1.1535495845432477,1.1280883887714792,1.5154657467214494,1.240439321075022,12.5,8.0,15.0,4.0,9.0
0.0,24,54,610.0,42,35,50.0,1192.3981053875073,5.970775400017518,0.31036623215394166,0.38278775079197463,0.2307795518583121,0.2683941459502807,5.543478260869565,3,85.73410966943686,78,293.801852214831,2.0651368470000073,1.1548225104856726,1.1261647935777237,1.5273984871293704,1.2303045378135633,13.0,8.0,15.0,4.0,9.0
0.0,81,16,610.0,42,35,50.0,1183.1568838305072,8.02627581317647,0.4345127250155183,0.6599788806758183,0.42264859788004827,0.3217722534081796,3.8252508361204014,3,85.86410970360942,78,294.5634848472443,2.9816840885553604,1.3025550450713972,1.2617279688579068,1.5727478613289279,1.3392811426817919,11.0,7.0,10.0,5.0,7.0
0.0,16,81,610.0,42,35,50.0,1159.7418678485058,6.050356500899409,0.31346989447548107,0.39994720168954595,0.24017174292231316,0.2716519647153168,5.480769230769231,3,85.86926102428178,78,296.9421670123745,2.2364622282008777,1.1523448689472036,1.1254024567325103,1.485136963010088,1.2374715037735096,17.0,8.0,19.0,5.0,12.0
0.0,54,24,610.0,42,35,50.0,1198.1104873715037,8.125649471169568,0.4407200496585971,0.6718585005279831,0.4327116597343352,0.3210204490777867,3.867056856187291,3,86.19679437652948,78,293.8899326912067,2.178249624766748,1.2796735997723085,1.2283768189214712,1.6641526717294461,1.3269307363614091,10.0,7.5,12.0,4.0,7.0
0.0,108,12,610.0,42,35,50.0,1268.0461719915086,8.412287933034603,0.46244568590937307,0.7008975712777191,0.4582047497651952,0.3282878909382518,4.113712374581939,3,88.58885067813488,78,294.413709599498,3.9192623456841447,1.3274844308744518,1.3277258162516175,1.6848900420808897,1.3815978842413572,12.0,7.0,9.0,5.0,7.0
0.0,12,108,610.0,42,35,50.0,1230.08961147047,8.32839555502098,0.4686530105524519,0.6692185850052798,0.4669260700389105,0.3287890938251804,3.854515050167224,6,85.15154231481895,82,289.27573787795444,2.349029159764263,1.164193682760066,1.1403676510355272,1.5483688276357088,1.2847029249147375,21.5,8.0,23.0,5.0,14.5
0.0,36,36,610.0,42,35,50.0,1191.5754739165063,8.018027731057165,0.45313469894475483,0.6375395987328405,0.43002817657319203,0.31901563753007217,3.858695652173913,4,86.27605659695004,78,294.06631819501786,2.0261454716904845,1.1604445403492591,1.1351399029068083,1.5382378367819953,1.2428876325493607,11.0,8.0,14.0,4.0,8.0
0.0,18,72,610.0,42,35,50.0,1189.0371206735067,8.027763703928885,0.45003103662321536,0.6520591341077085,0.4454582047497652,0.31149759422614276,3.862876254180602,3,86.57160488763996,78,292.9104750123323,2.1780560312803083,1.1461870504040368,1.1258308496670142,1.5048949325590155,1.2368323928268212,16.0,8.0,18.0,4.5,11.0
