time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,28,28,590.0,33,35,25.0,741.8006038704705,3.8928521697689638,0.21725636250775915,0.34318901795142553,0.23346303501945526,0.13181635926222934,2.370401337792642,15,58.42825022379981,114,212.37743675280387,2.730483476022526,1.1914644348392758,1.1578708237794475,1.6174399570420213,1.4131702570673514,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,0.0,728.4314177429653,3.9104968515563976,0.19242706393544382,0.32470960929250264,0.2441969676640279,0.13758019246190858,2.3369565217391304,15,58.9831259708915,110,213.72691739660868,2.753245754172366,1.2113917037326187,1.1613431369780467,1.656890311797844,1.4365366313085604,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,15.0,730.2550039685017,4.038655958960797,0.19553072625698326,0.3563885955649419,0.24956393398631424,0.13933440256615878,2.353678929765886,15,59.11645915614846,112,213.11640726170688,2.7336718889472253,1.200763550952892,1.1596719641927897,1.627595352111663,1.4195996735759113,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,50.0,744.1381700114858,3.880004462045635,0.2048417132216015,0.3722280887011616,0.22004561921373944,0.13231756214915796,2.4122073578595318,16,59.942483315215405,114,210.5525849697184,2.847065699978902,1.183692153305055,1.1524264038247083,1.5744759286236303,1.4036247337853358,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,45.0,736.8360277650341,3.6028212448555466,0.19242706393544382,0.3445089757127772,0.22809606869716895,0.11277064955894146,2.391304347826087,16,59.2315590514645,113,210.70172412956873,2.833135574737386,1.1787814191121702,1.153165810287975,1.5916489518142272,1.4178167863977276,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,10.0,735.3086519529152,3.947302176522723,0.21415270018621974,0.352428722280887,0.23547564739031263,0.1328187650360866,2.4247491638795986,14,59.3929209603217,111,212.34856980044887,2.7409314627102437,1.2104878861952044,1.1621358672533373,1.6403789710736265,1.426478159244878,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,40.0,734.4550251160351,3.683743418870767,0.18311607697082558,0.33526927138331575,0.22608345632631155,0.12078989574979952,2.4122073578595318,15,58.7419231433257,113,211.32952340786815,2.8044676653333838,1.178846134759631,1.154024063714008,1.5895915184547311,1.41823404866387,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,20.0,737.5619503574278,3.934683812814798,0.22036002482929856,0.35506863780359027,0.24352609687374213,0.1310645549318364,2.341137123745819,15,58.503790019392504,113,212.68328397963714,2.737299976848548,1.1980614411654977,1.1585131902194123,1.6278233184654232,1.4206494748850294,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,35.0,742.3915814394709,3.7845400786326,0.1893234016139044,0.3365892291446674,0.24151348450288473,0.1258019246190858,2.37876254180602,15,59.02878418279547,114,211.4949714420316,2.7677210333551763,1.1837885997465172,1.1537098675616533,1.5956587401678306,1.4071891599328388,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,30.0,752.0041288914699,3.96078522577726,0.2079453755431409,0.34978880675818375,0.24084261371259894,0.1343223736968725,2.403846153846154,15,59.16046306527736,114,212.12359751793736,2.769369812491944,1.1864770908122337,1.154451091757283,1.5959939710288022,1.4095711846577232,12.0,7.0,12.0,5.0,8.0
0.0,28,28,590.0,33,35,5.0,723.8000874919164,3.853273368509179,0.2048417132216015,0.34978880675818375,0.2361465181805984,0.13056335204490777,2.3369565217391304,15,58.91455387027187,111,213.83611662038015,2.751088982799186,1.2080471485712905,1.1610445716801048,1.650023531506485,1.425504390458336,12.0,7.0,12.0,5.0,8.0
