time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,49,1200.0,53,5,50.0,942.7477255519783,10.318777393963115,9.813780260707635,9.988120380147835,9.857775392459413,11.316659983961507,4.506688963210703,0,323.3298356255208,0,1099.1051223127138,1.174951915687157,1.1536507970066185,0.9937012427184544,2.186028974876154,1.187142009626882,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,80,5,50.0,913.6478434043959,10.2968282408998,7.23774053382992,9.003431890179513,7.9880584999329125,12.206796311146752,3.231605351170569,0,323.7348026748384,0,1099.194783100963,1.1778089000493637,1.1485720639781176,0.9943258655805409,2.1794086759283786,1.188301215342569,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,59,5,50.0,954.8464030464262,10.852154335209875,9.227188081936685,9.670010559662092,9.436468536159936,11.934141940657577,3.9799331103678925,0,323.4676410600958,0,1099.0833807603997,1.1763254188542698,1.1501853482699396,0.9939088774536675,2.1768992932798303,1.1875133390611576,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,71,5,50.0,939.3589518720463,10.582964946879477,8.280571073867163,9.482576557550159,8.502616396082114,12.261678027265436,3.5702341137123748,0,323.6613011039168,0,1099.1184668860415,1.1772461908064327,1.1484699399716256,0.9941442544618053,2.1793627750803735,1.1875949368282794,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,17,5,50.0,846.8685452779905,8.54341852316676,10.732464307883301,9.403379091869061,9.17885415269019,9.425621491579792,6.839464882943144,0,323.50343444233334,0,1099.8042343838881,1.193853946470351,1.504049311698128,1.0223004963843243,3.615017130373986,1.297431926254355,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,86,5,50.0,901.6498825118736,10.22791816109056,7.411545623836127,8.888595564941921,7.807594257346036,12.021601844426625,3.281772575250836,0,323.7534503815878,0,1099.2343605721096,1.1772219276688916,1.1485876334707725,0.9940912744513672,2.184890108598319,1.1879597182901254,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,89,5,50.0,898.4464920137991,10.142113500156364,7.355679702048418,8.904435058078143,7.768012880719173,11.966970729751402,3.403010033444816,0,323.74742834385086,0,1099.2285988791327,1.1792452247449694,1.1483003756083645,0.9941720260837694,2.191826331426581,1.1881194313204064,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,32,5,50.0,865.8175916726598,8.39875450011952,10.813159528243327,9.658130939809926,10.07647927009258,9.376503608660785,5.656354515050167,0,323.1070043909577,0,1099.5855429468647,1.1758752124833047,1.2381070664180331,0.9985998328162546,2.473123597454512,1.210891950892537,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,5,5,50.0,914.3404522071615,9.567812718278992,10.64245810055866,10.584741288278774,9.125855360257615,10.628257818765036,8.093645484949832,0,323.7609778307114,0,1099.948469921722,1.2517794327954024,1.8163102744943111,1.065164204974749,5.057759925127374,1.4871303223260874,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,74,5,50.0,931.174141521651,10.409870435088322,7.908131595282433,9.288542766631467,8.234938950758083,12.263682838813152,3.5576923076923075,0,323.68810662146603,0,1099.1409284541605,1.177470076104314,1.1484075511875078,0.9941703589660429,2.189919292182018,1.187947175430992,3.0,3.0,3.0,3.0,3.0
