time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,84,21,1200.0,87.9,5,50.0,902.2478710740222,10.05626105973248,7.532588454376164,8.96911298838437,7.977995438078627,11.918604651162791,4.021739130434782,0,323.7571817611804,0,1099.2239011568581,1.1757322858358135,1.150033507910186,0.9945683233041376,2.1888411874524754,1.1885435355396023,3.0,3.0,3.0,3.0,3.0
0.0,49,36,1200.0,87.9,5,50.0,901.8913432042999,10.183261741425875,7.777777777777778,8.90311510031679,7.751911981752315,12.029370489174019,3.357023411371238,0,323.7456488417097,0,1099.2548934205997,1.175508018753314,1.1487080757406969,0.9942637924013713,2.1865392928425607,1.1883147679385464,3.0,3.0,3.0,3.0,3.0
0.0,28,63,1200.0,87.9,5,50.0,896.2093379796937,10.170593910084772,7.104283054003724,9.163146779303062,7.7284315040923115,11.940156375300722,3.0309364548494986,0,323.7527082612534,0,1099.243259590337,1.1786253378092886,1.1486570834369023,0.994251692178473,2.195377055653647,1.1892059849067569,3.0,3.0,3.0,3.0,3.0
0.0,147,12,1200.0,87.9,5,50.0,903.3831147569439,9.836188079095777,7.917442582247052,9.08790918690602,8.162484905407219,11.787540096230954,4.318561872909699,0,323.7654369384536,0,1099.2702715977719,1.180052557597422,1.154376694616678,0.995754453828014,2.2617951903502806,1.1927603141053142,3.0,3.0,3.0,3.0,3.0
0.0,98,18,1200.0,87.9,5,50.0,904.6659107648424,9.992059994765453,7.901924270639355,9.089229144667371,8.043069904736349,11.850942261427425,4.117892976588629,0,323.75245865395425,0,1099.1950312979554,1.176325091106881,1.1510379134369604,0.994694926465562,2.2098325921876154,1.1893457302416983,3.0,3.0,3.0,3.0,3.0
0.0,42,42,1200.0,87.9,5,50.0,901.2163063290815,10.237439587079745,7.805710738671633,8.97571277719113,7.694217093787737,12.003307939053729,3.3946488294314383,0,323.7496672584373,0,1099.2545039479176,1.1766682716517725,1.1481288975730912,0.9941495060670309,2.1855920146805214,1.188351006827913,3.0,3.0,3.0,3.0,3.0
0.0,18,98,1200.0,87.9,5,50.0,889.6552600314601,10.117245449317354,7.585350713842335,8.792238648363252,7.415134845028848,11.960204490777866,2.470735785953177,0,323.7558951091693,0,1099.2347105432243,1.1940004948466174,1.1488647806870973,0.9953743868657396,2.244642391799443,1.1932520834135771,3.0,3.0,3.0,3.0,3.0
0.0,126,14,1200.0,87.9,5,50.0,905.064878145978,10.020706625934885,7.815021725636251,9.259503695881733,7.948477123306051,11.887530072173217,4.406354515050167,0,323.7596625623419,0,1099.2589656569385,1.1796395399747905,1.1522610726203104,0.9952310886247538,2.224190175368487,1.1908418084345542,3.0,3.0,3.0,3.0,3.0
0.0,21,84,1200.0,87.9,5,50.0,890.3986881611723,10.226819697581332,7.082557417752948,9.111668426610349,7.531866362538575,11.932137129109863,2.6755852842809364,0,323.7521844680813,0,1099.2497114271555,1.1770538465692524,1.1484329369636057,0.9941638048727748,2.193762441671274,1.1886497626242587,3.0,3.0,3.0,3.0,3.0
0.0,12,147,1200.0,87.9,5,50.0,886.581159530353,9.800467079161717,8.78026070763501,8.5071277719113,7.3420099288876965,11.880012028869286,2.738294314381271,0,323.7640341824266,0,1099.2447319853457,1.218829804873918,1.1517353401507475,0.9968558239700478,2.3759804898567625,1.2033544557396303,3.0,3.0,3.0,3.0,3.0
0.0,14,126,1200.0,87.9,5,50.0,886.6705362169748,9.850077532378691,8.72749844816884,8.905755015839494,7.250100630618543,11.818865276663994,2.5376254180602005,0,323.75420256564365,0,1099.259612087267,1.2095216133847493,1.1507996435062227,0.9958998645594211,2.3329046493261556,1.1993345627506269,3.0,3.0,3.0,3.0,3.0
0.0,63,28,1200.0,87.9,5,50.0,902.3279211549362,10.146130038937471,7.849162011173185,8.963833157338966,7.747215886220314,12.015336808340017,3.520066889632107,0,323.75467898989183,0,1099.233189971427,1.1768031244612263,1.1488692202789013,0.9942969862357006,2.200464066385493,1.188533451328667,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,87.9,5,50.0,898.6773814365704,10.178346648068928,7.262569832402235,8.813357972544878,7.857238695827183,11.967973135525261,3.3528428093645486,0,323.75043057040125,0,1099.2317283686104,1.1774248805856717,1.148335945496409,0.9941194213166307,2.1868386068227155,1.1879926908880092,3.0,3.0,3.0,3.0,3.0
