time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,22,550.0,53,80,0.5,30.786140455999995,0.044894984728532,0.0031036623215394167,0.0026399155227032735,0.001341741580571582,0.000751804330392943,0.05016722408026755,96,0.3010299956639812,243,23.497114143240967,3.140483685355753,2.6487045730341805,1.9394556700462544,4.417332518588449,3.228361719189461,11.0,15.5,21.0,9.0,13.0
0.0,72,22,550.0,53,68,0.5,220.4104334920001,0.29799864611349636,0.0031036623215394167,0.019799366420274554,0.018113511337716354,0.001503608660785886,0.39297658862876256,68,3.010299956639812,128,95.03549211376189,3.2298585373908466,2.308112199581189,1.7964071523686407,2.97698089800599,2.3942099882552577,15.0,14.0,19.0,8.0,11.0
0.0,72,22,550.0,53,14,0.5,2106.615725334805,10.646378737592354,1.8746120422098076,1.9271383315733897,2.032067623775661,0.3949478748997594,16.601170568561873,0,168.27259617489526,7,583.350951611839,1.0372604145317064,1.1131885538974648,1.1047435100156149,1.4568076876761933,1.054699418137509,5.0,5.0,9.0,3.0,5.0
0.0,72,22,550.0,53,32,0.5,1183.043557925962,7.665968583146306,0.4158907510862818,0.6573389651531151,0.43740775526633574,0.27691459502806737,3.963210702341137,0,85.6678867881602,33,338.89458852502094,1.7793894388186293,1.458728200958229,1.2629552738766234,1.5451611984919844,1.2862300159024538,9.0,8.0,12.5,5.0,7.0
0.0,72,22,550.0,53,38,0.5,956.1732330112824,6.488812594011225,0.3538175046554935,0.4949841605068638,0.30524620958003484,0.25561347233360066,2.8553511705685617,1,63.14563502385768,42,295.56169562754746,2.0251641221216654,1.5849792390356388,1.3279158112018494,1.7284489862262515,1.3829862712735046,9.0,9.0,13.0,5.0,8.0
0.0,72,22,550.0,53,71,0.5,180.6572467309999,0.2801047112685021,0.012414649286157667,0.019799366420274554,0.016771769757144773,0.002255412991178829,0.30518394648829433,76,2.1072099696478683,148,75.75912958824536,3.3156554964169884,2.377677761746777,1.8430828947999407,3.2354924258336,2.5837364684787647,16.0,14.0,19.0,8.75,12.0
0.0,72,22,550.0,53,83,0.5,33.003741773,0.07664991780977609,0.0,0.007919746568109821,0.0046960955320005365,0.0032578187650360866,0.004180602006688963,98,0.3010299956639812,305,6.469692444399044,0,2.323383702502486,1.9046475885378844,3.474597249839825,2.015014202461089,0,13.0,20.0,9.0,11.0
0.0,72,22,550.0,53,56,0.5,386.6550137037771,4.077426035100076,0.19863438857852267,0.3220696937697994,0.15765463571716087,0.17542101042502004,1.0702341137123745,27,12.995442335998574,67,172.2993287464836,2.6888129041034867,2.029060392895728,1.6193188482920133,2.389096204194093,1.8539966781281483,13.0,12.0,16.0,7.0,9.0
0.0,72,22,550.0,53,26,0.5,1425.1361286722454,10.349033864347962,0.5679702048417132,0.8870116156283,0.6775794981886488,0.37089013632718526,5.794314381270903,0,107.83764497155295,19,404.95203761952615,1.5562489302075717,1.3202563921809989,1.2060457284451622,1.4255737468064404,1.2070577014557924,8.0,7.0,12.0,4.0,6.5
0.0,72,22,550.0,53,8,0.5,2429.1678226758963,16.318830026113478,6.8249534450651765,7.26636747624076,7.468133637461424,1.0397453889334403,15.171404682274247,0,217.1415805624655,0,753.342835488306,0.9486441781587248,1.0307472505972493,1.0458582775123941,1.4852640115489084,1.019409576052321,3.0,3.0,6.5,3.0,3.0
0.0,72,22,550.0,53,17,0.5,1846.8026213969945,9.225590648797088,1.0924891371818746,1.0942449841605069,1.0163692472829733,0.3493384121892542,15.28846153846154,0,149.59769053513693,16,531.1062309460912,1.1229727619754972,1.1455486519827116,1.124702510306908,1.4174759888372144,1.0795865852601798,6.0,6.0,10.0,3.0,5.0
