time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,22,600.0,53,25,0.5,1503.5580890682813,11.325191053251753,0.617628801986344,0.970168954593453,0.7205152287669394,0.4287790697674419,7.207357859531773,0,119.25579142180467,18,442.08783812474724,1.359957460087153,1.2521946754740916,1.1867342077571617,1.4235938774070471,1.1745412047879258,7.0,7.0,11.0,4.0,6.0
0.0,72,22,1420.0,53,25,0.5,2224.9639307182174,13.391321442175993,4.103041589075109,3.808078141499472,3.905138870253589,0.5628508420208501,17.713210702341136,0,191.23277472206954,4,667.3723188425408,1.1878813571157358,1.2655355663315506,1.2347594151553,2.407766107047056,1.2437716651872224,4.0,4.0,8.0,3.0,4.0
0.0,72,22,1080.0,53,25,0.5,2054.0046830342326,10.460267894585538,2.004965859714463,1.8954593453009503,2.0233463035019454,0.38191659983961507,17.437290969899667,0,169.34379195689917,6,590.6410842699456,1.176635235447136,1.2454635022319172,1.2089994022401165,1.9958890406811653,1.1939805568435273,5.0,5.0,9.0,3.0,5.0
0.0,72,22,1250.0,53,25,0.5,2150.1756286719074,12.338624827513014,2.936064556176288,2.9237064413938754,2.878706561116329,0.48290898155573375,17.650501672240804,0,181.00747114735495,4,634.6074335714997,1.179432852404155,1.246238003609877,1.2195154206714425,2.190949805444384,1.2178944201431103,4.0,5.0,8.0,3.0,4.0
0.0,72,22,1930.0,53,25,0.5,2330.1609496677397,15.347422957243445,6.353196772191186,6.647307286166843,7.070978129612236,0.8630713712910987,17.81354515050167,0,214.2640505653543,0,747.3322929565148,1.2816618540987326,1.3280248100689862,1.2657050056376344,3.0453526045572774,1.3423166057267937,3.0,3.0,7.0,3.0,3.0
0.0,72,22,330.0,53,25,0.5,1007.1330993342821,6.592513931142642,0.3507138423339541,0.5187434002111933,0.3099423051120354,0.2571170809943865,2.947324414715719,1,65.35128103884591,42,298.03541437539485,1.8951420401357308,1.4662642798370389,1.2573594798928711,1.4383638195122022,1.2719973830881222,9.0,9.0,13.0,5.0,8.0
0.0,72,22,1590.0,53,25,0.5,2292.9201559894104,13.632996654158502,4.584109248913718,4.6779303062302,4.894673285925131,0.5869085805934242,18.800167224080266,0,199.73882072229202,2,695.9182262185655,1.2021853983216895,1.2811089959633246,1.2453841510564931,2.6157215991916978,1.2720606955997067,3.5,4.0,7.0,3.0,3.0
0.0,72,22,910.0,53,25,0.5,1879.2974948663907,9.47701483008347,1.3376784605834886,1.214361140443506,1.1478599221789885,0.3638732959101844,16.245819397993312,0,154.90659247744344,15,545.8378968556816,1.2006903760212113,1.2291910314065904,1.1929149152079939,1.7755047070895371,1.1732005455481918,5.5,6.0,10.0,3.0,5.0
0.0,72,22,1760.0,53,25,0.5,2319.6253018161497,14.6171265922861,5.518311607697083,5.732576557550159,6.068697168925265,0.6994286287089013,18.720735785953178,0,207.62475133434876,1,723.3368074946322,1.238899108972571,1.3011739283021933,1.257949194354259,2.8288958217527176,1.3049523318692284,3.0,3.0,7.0,3.0,3.0
0.0,72,22,920.0,53,25,0.5,1900.7005469042774,9.529156446359584,1.4276846679081316,1.268479408658923,1.203542197772709,0.36186848436246993,16.300167224080266,0,155.9468960333561,15,548.1168476332344,1.1927992926512978,1.228202335880865,1.1931298988826047,1.785366995700383,1.1733060788310985,5.5,6.0,9.5,3.0,5.0
0.0,72,22,460.0,53,25,0.5,1319.4580574039146,9.021587974002252,0.4965859714463066,0.7655755015839493,0.5581644975177781,0.3192662389735365,4.790969899665551,0,96.74497886347011,23,368.8300821032897,1.6262220848644948,1.3687258559611606,1.2155362660745659,1.4096264046334888,1.2158250730365494,8.5,8.0,12.0,4.0,7.0
0.0,72,22,760.0,53,25,0.5,1722.6824920748018,8.526442247896867,0.6797020484171322,0.7880147835269271,0.7399704816852274,0.3373095429029671,13.979933110367892,0,139.65514183561316,16,503.20796451046385,1.2530600870210573,1.2362749773178205,1.1837039174868431,1.5960675216188984,1.1649175997245858,6.0,6.0,10.0,3.0,6.0
0.0,72,22,610.0,53,25,0.5,1513.2221125924639,11.461080588503508,0.6207324643078833,0.9464097148891235,0.7332617737823695,0.44130914194065757,7.403846153846154,0,120.50072101374752,18,446.283701692532,1.3554115836529552,1.2497288616896745,1.1869872194779076,1.438956315399955,1.1745341447976345,7.0,7.0,11.0,4.0,6.0
0.0,72,22,1260.0,53,25,0.5,2156.6723111764495,12.437533470311992,3.0540037243947857,2.965945089757128,2.9021870387763316,0.49042702485966316,17.65468227424749,0,181.60011788573686,4,636.6220520470106,1.1824328699357487,1.2478842552724692,1.2204497862018482,2.2057198648246583,1.2197427695625769,4.0,5.0,8.0,3.0,4.0
0.0,72,22,1940.0,53,25,0.5,2334.768140580382,15.377578304867384,6.374922408441962,6.8057022175290385,7.085066416208238,0.8507919005613472,18.294314381270905,0,214.6797025230674,0,748.5180984436329,1.2839551333399692,1.329838516540029,1.2665889343576384,3.0581435144189726,1.344204904561631,3.0,3.0,7.0,3.0,3.0
0.0,72,22,470.0,53,25,0.5,1330.247580866796,9.18478302049276,0.5462445685909373,0.7734952481520592,0.5762780088554944,0.32352646351242986,4.945652173913043,0,98.80648217132722,22,374.1169162237845,1.6113251649429232,1.365055468609209,1.2145030655546338,1.4046384436476318,1.2118068350429176,8.0,7.5,12.0,4.0,7.0
0.0,72,22,1090.0,53,25,0.5,2065.164886375702,11.15737612567523,2.274984481688392,2.0221752903907073,2.0300550114048037,0.42276463512429835,17.21989966555184,0,170.08601410612548,6,593.8688175434622,1.17871427090046,1.2450761155143715,1.2094317273846444,2.0053091963690783,1.1951799548549376,5.0,5.0,9.0,3.0,5.0
0.0,72,22,1430.0,53,25,0.5,2230.5651141009366,12.708059974645305,3.7740533829919305,3.8027983104540657,3.9755803032335972,0.5087209302325582,18.632943143812707,0,191.84509807081787,4,669.011681388528,1.1888744303471335,1.2644391215021087,1.2356922331110742,2.421199019323361,1.2443707284835686,4.0,4.0,8.0,3.0,4.0
0.0,72,22,1600.0,53,25,0.5,2296.4827975835847,13.691733785690168,4.714463066418373,4.673970432946146,5.048302696900577,0.5896651964715316,18.482441471571907,0,200.18684574855834,2,697.497999570302,1.2043385888664817,1.281698269911455,1.2463069740168045,2.6262342499048543,1.2737184908617092,3.5,4.0,7.0,3.0,3.0
0.0,72,22,1770.0,53,25,0.5,2314.993072956371,14.556861546779217,5.521415270018622,5.728616684266104,6.210921776465852,0.6894045709703288,18.478260869565215,0,207.98202015798557,1,724.8064942273304,1.241136064377726,1.3035758137676017,1.2577228715505624,2.8392826852939006,1.3064843626492681,3.0,3.0,7.0,3.0,3.0
0.0,72,22,620.0,53,25,0.5,1522.0395809220968,11.592550539359234,0.6424581005586593,0.9569693769799368,0.7372869985240843,0.4518344025661588,7.579431438127091,0,121.92240003759157,18,450.7785208777509,1.3513886171578358,1.245377363123617,1.1857416818222144,1.4532962815868347,1.1735908787111176,7.0,7.0,11.0,3.5,6.0
0.0,72,22,770.0,53,25,0.5,1728.2677500338843,8.551163291851502,0.7324643078833023,0.8249736008447729,0.7513752851200859,0.33756014434643145,14.11371237458194,0,140.80803044146745,16,506.83470169889927,1.2494456864257735,1.2327396033656903,1.18359417526439,1.6049898327752294,1.1646931769499536,6.0,6.0,10.0,3.0,6.0
0.0,72,22,1270.0,53,25,0.5,2169.3463933501757,11.948212501743452,3.0229671011793915,2.9355860612460405,3.055145578961492,0.45408981555733763,17.880434782608695,0,182.24732578056557,4,638.7020924179761,1.1818225618208376,1.2474948292094297,1.2208099849466807,2.2216868724602334,1.2212940925316398,4.0,5.0,8.0,3.0,4.0
0.0,72,22,1610.0,53,25,0.5,2299.013953414093,13.74778206498292,4.677219118559901,4.733368532206969,5.130148933315444,0.5924218123496391,18.586956521739133,0,200.66952547187364,2,699.325133823861,1.2062215579119258,1.2830024482976325,1.2469216422350586,2.636870088881814,1.2742799898800274,3.5,4.0,7.0,3.0,3.0
0.0,72,22,1950.0,53,25,0.5,2332.9294381952323,15.49941434978793,6.244568590937305,6.861140443505807,7.235341473232255,0.87535084202085,17.91387959866221,0,214.99750993140464,0,749.7759226159989,1.285338702206866,1.331100497371307,1.2672896109163645,3.071598145453984,1.3462624267251115,3.0,3.0,6.5,3.0,3.0
0.0,72,22,1100.0,53,25,0.5,2071.971153977927,11.20234091064134,2.324643078833023,2.0736536430834214,2.0991547028042397,0.42151162790697677,17.065217391304348,0,170.883779002464,6,596.4636158195185,1.1816493967331203,1.2447479012048808,1.2110412351287732,2.015303412340229,1.1966618881333244,5.0,5.0,9.0,3.0,5.0
0.0,72,22,1440.0,53,25,0.5,2236.8532947626127,13.61247366164117,4.177529484792054,3.9295142555438227,3.9561250503153094,0.5881615878107458,17.838628762541806,0,192.35249344367674,4,670.6530130684536,1.191368034044888,1.2655484769494267,1.2369372975592343,2.4349355047854226,1.2460386487608024,4.0,4.0,8.0,3.0,4.0
0.0,72,22,1780.0,53,25,0.5,2314.5053575440493,21.323779772899723,4.385474860335195,4.489176346356916,5.165034214410304,2.4834603047313553,5.693979933110368,0,208.39134553501242,1,726.253637316402,1.2431549684259597,1.304255435980469,1.2575356211227762,2.8496855466690763,1.3088537151797714,3.0,3.0,7.0,3.0,3.0
0.0,72,22,930.0,53,25,0.5,1924.065290916219,9.67860895070714,1.505276225946617,1.3318373812038016,1.2417818328189991,0.36412389735364875,16.50501672240803,0,157.03629828375438,15,550.3784969744814,1.1910962872454185,1.2281335011883319,1.1935759888053403,1.7965467181820243,1.1723224519746114,5.0,6.0,9.5,3.0,5.0
0.0,72,22,490.0,53,25,0.5,1368.7621075443114,9.482732077856099,0.5183116076970825,0.81441393875396,0.6239098349657856,0.3282878909382518,5.250836120401338,0,102.14438997427551,21,384.92038470051784,1.573276457053223,1.3439653858888407,1.2079573054686423,1.400489229859589,1.2074352304637648,8.0,7.5,12.0,4.0,7.0
0.0,72,22,480.0,53,25,0.5,1345.1539535357967,9.287008644918629,0.5493482309124768,0.7880147835269271,0.5816449751777808,0.3275360866078589,5.1003344481605355,0,100.45675582810914,22,379.3457811873252,1.6039226436473646,1.3514286840713368,1.2105414869319857,1.3952017326630712,1.209483160447858,8.0,7.5,12.0,4.0,7.0
0.0,72,22,630.0,53,25,0.5,1523.7880993185452,7.53062870331411,0.5058969584109249,0.6335797254487857,0.4629008452971957,0.30072173215717724,10.76505016722408,0,122.97375541544285,17,454.52321592037003,1.3360988548683626,1.2506311821549856,1.187018251161067,1.4588427250490335,1.173473081732321,7.0,7.0,11.0,3.5,6.0
0.0,72,22,780.0,53,25,0.5,1740.0562134218894,8.574218471254602,0.7603972687771571,0.8672122492080254,0.7882731785858044,0.3295408981555734,14.255852842809363,0,141.84648869604348,16,510.19185087032776,1.249215189449457,1.2339000140199048,1.1843007577151639,1.615433874213008,1.1647866948914598,6.0,6.0,10.0,3.0,5.5
0.0,72,22,650.0,53,25,0.5,1564.3753987789476,11.980331586992191,0.685909373060211,0.9820485744456178,0.7325909029920837,0.48140537289494784,8.336120401337793,0,126.08472629268289,16,461.51937801579487,1.3106499697349951,1.2468694961718478,1.1874164395595888,1.4790936500929597,1.1704641260035493,7.0,7.0,11.0,3.0,6.0
0.0,72,22,1960.0,53,25,0.5,2330.260047573447,15.447370989003403,6.300434512725015,7.038014783526927,7.228632765329397,0.8766038492381716,17.792642140468224,0,215.36640942499858,0,750.9297868188493,1.287126606543813,1.3326309773168088,1.2674178331079444,3.0841254258406794,1.3489276076341088,3.0,3.0,6.0,3.0,3.0
0.0,72,22,1280.0,53,25,0.5,2173.0385060142294,12.666037599868393,3.202979515828678,3.1098204857444562,3.0122098483832014,0.5097233360064154,17.642140468227424,0,182.860527324039,4,640.8147757769037,1.1825539397520184,1.2486390901383626,1.221766352360828,2.2371592228147947,1.2226454182677933,4.0,5.0,8.0,3.0,4.0
0.0,72,22,1110.0,53,25,0.5,2081.823818547414,11.265535780363995,2.333954065797641,2.142291446673706,2.1575204615591037,0.42426824378508415,17.194816053511705,0,171.78697298913357,6,599.4159050283192,1.1800602964124676,1.244671652433495,1.2125865318570057,2.0241242881018104,1.1973130823307736,5.0,5.0,9.0,3.0,5.0
0.0,72,22,1450.0,53,25,0.5,2241.010830572987,12.860053389452396,3.8175046554934826,3.924234424498416,4.07084395545418,0.5207497995188453,18.612040133779264,0,192.89227155258217,4,672.3847629356342,1.1943473162979212,1.2666738852612558,1.236755815316586,2.4444620618927897,1.2476308434760517,4.0,4.0,8.0,3.0,4.0
0.0,72,22,1620.0,53,25,0.5,2308.7550516935535,13.86636135810775,4.639975170701428,4.771647307286167,5.25828525426003,0.607457898957498,18.18979933110368,0,201.17010830261188,1,701.2646366470069,1.2089416525771517,1.2842562653545766,1.2482320029653295,2.6487801385756917,1.2766834376685257,3.0,4.0,7.0,3.0,3.0
0.0,72,22,1790.0,53,25,0.5,2314.467573831617,14.700393410369772,5.4065797641216635,5.842133051742344,6.2491614115121425,0.7242381716118685,18.628762541806022,0,208.81427160975502,1,727.7680773545245,1.245066479573986,1.3064500648635926,1.2578167820238864,2.8611527670222823,1.3113245824784054,3.0,3.0,7.0,3.0,3.0
0.0,72,22,940.0,53,25,0.5,1933.5597847231388,9.475514132422242,1.3997517070142769,1.3225976768743402,1.341741580571582,0.35159382518043303,16.358695652173914,0,157.80220051204788,15,552.9626714164955,1.1892741968911018,1.2309265228829085,1.1947370896291254,1.8120226025033868,1.1737323582266976,5.0,6.0,9.0,3.0,5.0
0.0,72,22,1750.0,53,25,0.5,2319.2328011659474,14.516858131329968,5.4252017380509,5.663938753959873,6.058634107070978,0.6873997594226143,18.23578595317726,0,207.19935491528796,1,721.7679838940423,1.2359219320582129,1.301234921609403,1.257376973232004,2.8175322829920697,1.303715215963347,3.0,3.5,7.0,3.0,3.0
0.0,72,22,380.0,53,25,0.5,1176.680494951364,7.27725690282439,0.37243947858473,0.6190601900739177,0.38306722125318665,0.27115076182838815,3.6371237458193977,1,80.44234551137171,40,324.92358990683215,1.7667401362328974,1.3949613657876365,1.225464687323563,1.3872218675375911,1.2225378104268843,9.0,8.0,13.0,5.0,7.0
0.0,72,22,1290.0,53,25,0.5,2171.3992983129137,12.641889099110259,3.2247051520794536,3.133579725448785,3.067892123976922,0.5022052927024859,17.78010033444816,0,183.51471576869756,4,642.7954512573808,1.1845929499752632,1.249828357939223,1.2226545353797702,2.251263731453383,1.224416214168646,4.0,5.0,8.0,3.0,4.0
0.0,72,22,1970.0,53,25,0.5,2329.5957715538752,15.439550386839473,6.154562383612663,7.07233368532207,7.241379310344828,0.8861267040898155,18.14799331103679,0,215.7252414348832,0,752.2944492239733,1.2893942117797923,1.3342753424513578,1.2679073022796405,3.096031364639471,1.3506853879525051,3.0,3.0,6.0,3.0,3.0
0.0,72,22,1630.0,53,25,0.5,2309.3865720977797,13.897189691543893,4.714463066418373,4.914202745512144,5.21199516973031,0.6124699278267842,18.54096989966555,0,201.61762283627974,1,702.8206831158568,1.21074431800812,1.2848213024177588,1.2488817201752571,2.6616590220583354,1.2791725239191152,3.0,4.0,7.0,3.0,3.0
0.0,72,22,1120.0,53,25,0.5,2085.2408833752024,11.308722810085387,2.3836126629422716,2.159450897571278,2.201797933717966,0.4265236567762631,17.244983277591974,0,172.4801177249199,6,601.7983698478499,1.1806904729176977,1.242795090585524,1.2134471793947506,2.033308571785893,1.1980234084912569,5.0,5.0,9.0,3.0,5.0
0.0,72,22,640.0,53,25,0.5,1538.1530642521523,7.51955556571602,0.5090006207324643,0.6230200633579726,0.49309003086005637,0.3017241379310345,10.89464882943144,0,124.3954147483,17,458.05999325156563,1.3226577403664304,1.2462995795734875,1.1865011705321136,1.4639431879074842,1.1725187071255128,7.0,7.0,11.0,3.5,6.0
0.0,72,22,1460.0,53,25,0.5,2242.659713980029,13.655647779188968,4.345127250155183,4.095828933474128,4.058768281229035,0.5816459502806736,17.972408026755854,0,193.38161629664046,4,674.2248404563562,1.193331561827766,1.267406557507889,1.2370282366824803,2.4561465340256285,1.2486555680693638,4.0,4.0,8.0,3.0,4.0
0.0,72,22,1800.0,53,25,0.5,2315.619861524479,14.783450621401148,5.822470515207946,5.809134107708553,6.363880316651013,0.7204791499599038,18.290133779264213,0,209.23963313148195,0,729.5299501005043,1.2479103750867095,1.3079152409769441,1.2582039226933377,2.873896322054516,1.314787844646455,3.0,3.0,7.0,3.0,3.0
0.0,72,22,950.0,53,25,0.5,1951.292707237755,9.84169259383298,1.54252017380509,1.4017951425554382,1.3464376761035826,0.36988773055332796,16.592809364548494,0,158.7914727620942,15,555.339614151045,1.1893784271952201,1.230691007474749,1.1953168407074348,1.828477224576056,1.1745224530380154,5.0,6.0,9.0,3.0,5.0
0.0,72,22,790.0,53,25,0.5,1750.898492113402,8.604354315664002,0.8255741775294848,0.8777719112988384,0.802361465181806,0.3330493183640738,14.489966555183948,0,142.9806770051662,16,513.4827797523275,1.2464161431043301,1.2337233525104585,1.184062269188332,1.6271097424569732,1.1642954436592565,6.0,6.0,10.0,3.0,5.0
0.0,72,22,1810.0,53,25,0.5,2313.3073575121907,14.759874061977795,5.645561762880199,5.996568109820486,6.333691131088153,0.7472935044105854,18.457357859531772,0,209.65063025631233,0,731.3256061643666,1.2500136753288398,1.3096669453970258,1.2592317066786713,2.890100040676129,1.3172042453975146,3.0,3.0,7.0,3.0,3.0
