time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,110,12,1325.0,83,17,30.0,1624.0730192338983,12.709752116451668,4.36374922408442,5.382787750791975,5.049644438481148,0.7452886928628709,14.782608695652174,0,201.0556765073633,0,733.8794418375422,1.1249123136668928,1.1607104765776266,1.2072149633723392,2.3106894702414005,1.1800241230625053,3.0,3.0,6.0,3.0,3.0
0.0,24,55,1325.0,83,17,15.0,1604.0592487747435,12.66728059851627,4.41651148355059,5.43558606124604,5.196565141553737,0.7397754611066559,12.612876254180602,0,200.7564885527536,0,732.9118529669943,1.1258400322156816,1.1602514392089236,1.126670720867908,2.2940037529392505,1.1795439150294103,3.0,3.0,8.0,3.0,3.0
0.0,11,120,1325.0,83,17,25.0,1594.7572288307615,13.516410070877027,5.27001862197393,5.4303062302006335,5.079162753253724,0.9099338412189253,10.635451505016723,0,200.89757432357658,0,733.2725594742259,1.1379963021337909,1.1699927987403385,1.1374562125972383,2.403377022920754,1.1868373076329735,4.0,3.0,8.0,3.0,3.0
0.0,66,20,1325.0,83,17,45.0,1606.8430262128636,12.376080251087457,4.500310366232154,5.395987328405491,5.1690594391520195,0.6681034482758621,14.172240802675585,0,200.99799494810654,0,733.2780768042268,1.1229660553879293,1.1592916628106473,1.1778195569415995,2.301099643849324,1.1799844100003671,3.0,3.0,7.0,3.0,3.0
0.0,55,24,1325.0,83,17,10.0,1589.3025817585647,12.758471327434373,5.0900062073246435,5.241552270327349,5.302562726418892,0.7665898155573376,11.910535117056856,0,200.61083267550117,0,733.5594225583707,1.127041811663072,1.1613628713496944,1.137250550187293,2.330910741086128,1.1832713525905307,3.0,3.0,8.0,3.0,3.0
0.0,66,20,1325.0,83,17,15.0,1587.1574438643283,13.354796113744888,5.279329608938547,5.299630411826821,5.23748825976117,0.8257317562149157,11.806020066889632,0,200.71927305405046,0,733.1874613071212,1.130717940981982,1.1609799955227822,1.1563197622771653,2.3147838483017638,1.1820385243171128,3.0,3.0,7.5,3.0,3.0
0.0,66,20,1325.0,83,17,25.0,1594.7721262472953,12.486531276811473,4.4723774053383,5.477824709609293,5.195223399973165,0.7362670408981556,12.483277591973243,0,200.7627333687793,0,733.1067626632346,1.124884279947244,1.157837598401771,1.1693757358525878,2.296101007792366,1.1794390045893384,3.0,3.0,7.0,3.0,3.0
0.0,55,24,1325.0,83,17,40.0,1600.9144485230993,12.455257783973202,4.447548106765984,5.230992608236536,5.224070843955454,0.6929129911788292,13.662207357859533,0,200.67869090653647,0,733.2654300057686,1.1233096549119195,1.1588031609384362,1.1638267889254488,2.302351809256506,1.1790036053402455,3.0,3.0,7.0,3.0,3.0
0.0,15,88,1325.0,83,17,20.0,1605.587587857826,13.61693398147057,4.78895096213532,5.71805702217529,5.124781966993157,0.8906375300721732,11.066053511705686,0,200.81655461093925,0,732.8237324541287,1.1244206613302796,1.1651325984476868,1.1302244667343246,2.3555887360100454,1.1841119426134128,3.5,3.0,7.5,3.5,3.0
0.0,12,110,1325.0,83,17,45.0,1609.9883993547269,13.381568775754232,5.350713842333954,5.505543822597677,5.102643230913726,0.9136928628708901,10.606187290969899,0,201.07724125120072,0,733.2793347940541,1.147305736779395,1.1651804505886354,1.133822404679388,2.373434945697704,1.1960647333910936,3.5,3.0,8.0,3.0,3.0
0.0,33,40,1325.0,83,17,0.0,1605.839527901941,13.276768817661797,5.0217256362507765,5.256071805702218,5.236817388970884,0.8016740176423416,13.637123745819398,0,200.9550724336582,0,733.3656936236031,1.1230578032720056,1.1586439247730973,1.126427350954054,2.2942736080878703,1.1794374745521452,3.0,3.0,8.0,3.0,3.0
0.0,24,55,1325.0,83,17,0.0,1604.4068135240154,13.255940327551945,4.6337678460583485,5.566261879619852,5.199919495505165,0.813953488372093,12.637959866220735,0,200.8104858622789,0,732.8868108571324,1.126079074466334,1.1599142910780331,1.1261081407076479,2.2986446189346093,1.1793016053653926,3.0,3.0,8.0,3.0,3.0
0.0,60,22,1325.0,83,17,45.0,1617.9957714336347,12.508486380141285,4.537554314090627,5.21779303062302,5.2602978666308875,0.7112068965517242,14.14297658862876,0,201.12660145625063,0,732.8703166716277,1.1221115526657635,1.1604723684642977,1.17297910150134,2.304799959831482,1.1798631828676542,3.0,3.0,7.0,3.0,3.0
0.0,15,88,1325.0,83,17,25.0,1604.9228272318965,13.632753980696044,4.804469273743017,5.7444561774023235,5.144908090701731,0.8851242983159584,10.88628762541806,0,200.8634562614456,0,732.8651029793186,1.1244369090539086,1.165542573976889,1.130060368636986,2.3555887360100454,1.1840609826542794,3.5,3.0,7.5,3.5,3.0
0.0,60,22,1325.0,83,17,15.0,1602.427990691091,13.59650397068108,5.304158907510863,5.289070749736009,5.231450422648598,0.8703388131515638,11.960702341137123,0,200.8266963291712,0,732.7593509426666,1.1272667849739926,1.1605409491482803,1.1518372697064008,2.3189585421268895,1.1818943855206416,3.0,3.0,8.0,3.0,3.0
0.0,22,60,1325.0,83,17,10.0,1605.1334392825415,12.726127747164428,4.438237119801366,5.45142555438226,5.241513484502884,0.7477947072975141,12.232441471571907,0,200.8237662498653,0,732.8910601373229,1.1252536076685415,1.161291228129639,1.127609722995871,2.3081191272553925,1.179804396835941,3.0,3.0,8.0,3.0,3.0
0.0,40,33,1325.0,83,17,25.0,1602.0193924006808,12.694376660549633,4.584109248913718,5.26663146779303,5.238159130551455,0.7259923817161187,13.135451505016723,0,200.87090771213002,0,732.5857551364139,1.1243330062680408,1.1572914777685634,1.1367344735769267,2.3020950715148043,1.180822829987254,3.0,3.0,8.0,3.0,3.0
0.0,88,15,1325.0,83,17,0.0,1581.5989923563857,13.949588209852248,5.53382991930478,5.1610348468849,5.065074466657721,1.0136828388131516,10.066889632107024,0,200.75391928369876,0,732.8491940971778,1.1341110555380765,1.1576485640071041,1.1363979810766294,2.314264458374199,1.183019143873406,3.0,4.0,9.0,3.5,3.0
0.0,40,33,1325.0,83,17,30.0,1601.581552258151,12.707524097330916,4.6337678460583485,5.2230728616684265,5.244196967664028,0.7410284683239775,13.156354515050166,0,200.91594884838844,0,732.6538275905157,1.1236102679130349,1.1576026608821426,1.1393303716847247,2.312190557763417,1.1807327957135534,3.0,3.0,8.0,3.0,3.0
