time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,27,13,1015.0,5,8,10.0,695.5179135571276,9.058568090938875,3.5909373060211047,4.148627243928194,4.102374882597612,1.9612068965517242,9.247491638795987,0,205.1028636801844,16,664.5162005723255,1.1150105298812882,1.7860494715981678,1.1600474641690888,4.852874918312985,1.3274941280064563,3.0,3.0,4.0,3.0,3.0
0.0,27,13,1015.0,5,8,45.0,641.9714002906879,8.5910645707279,3.3271260086902545,3.5731256599788805,3.4972494297598278,2.0659582999198074,6.818561872909699,0,204.9831808708277,16,664.8825798841075,1.1253431522052613,1.8005405242403432,1.1772418181031234,4.904260504437056,1.3422704340209357,3.0,3.0,4.5,3.0,3.0
0.0,27,13,1015.0,5,8,20.0,690.4675306785858,9.098916002707806,3.7026691495965243,4.049630411826822,3.9722259492821683,2.0326283079390537,8.808528428093645,0,205.08427690550224,16,664.7292855635638,1.1151667758447943,1.787411669069832,1.1603207780859779,4.860274960855007,1.3286775041154903,3.0,3.0,4.0,3.0,3.0
0.0,27,13,1015.0,5,8,50.0,641.2001052976273,8.506172284307691,3.423339540657976,3.5902851108764517,3.4382128002146786,2.06495589414595,6.709866220735786,0,205.08258551216463,16,665.0642118708404,1.130376318802159,1.8016586096721414,1.1807375620234188,4.920025625530192,1.3447639841528805,3.0,3.0,4.0,3.0,3.0
0.0,27,13,1015.0,5,8,0.0,698.9348938424826,9.104267287536013,3.67163252638113,4.18558606124604,4.1339058097410435,1.9501804330392942,9.322742474916387,0,205.18531946230613,16,664.3848109204102,1.1126569575311702,1.785787535079434,1.1597145177931922,4.854785045638,1.3252447786448813,3.0,3.0,4.0,3.0,3.0
0.0,27,13,1015.0,5,8,35.0,671.8752321213885,8.967005064392957,3.525760397268777,3.99155227032735,3.793103448275862,2.050170408981556,7.382943143812709,0,205.01675375717258,16,664.7877347002425,1.1205703883540719,1.7907735012644799,1.1669617089831683,4.884403599573928,1.3346774498325225,3.0,3.0,4.0,3.0,3.0
0.0,27,13,1015.0,5,8,5.0,697.1407508915513,9.045928804412378,3.4947237740533827,4.225184794086589,4.089628337582182,1.9288793103448276,9.594481605351172,0,205.10759014483577,16,664.3278223166672,1.112006945128881,1.78583399930323,1.1602236446543746,4.850722851993968,1.3256916492400062,3.0,3.0,4.0,3.0,3.0
0.0,27,13,1015.0,5,8,40.0,660.2109252384198,8.874937441801357,3.6250775915580387,3.706441393875396,3.6542331946867033,2.0930232558139537,7.015050167224081,0,204.9600155310567,16,664.7652858349492,1.1232982722194693,1.7921269893276892,1.1721758680199992,4.891502743769093,1.3388763983132184,3.0,3.0,4.0,3.0,3.0
0.0,27,13,1015.0,5,8,15.0,694.3978933671964,9.046383579357265,3.51024208566108,4.097148891235481,4.100362270226754,1.9774959903769047,9.172240802675585,0,205.12169401915438,16,664.6833188357173,1.1141440085041878,1.7874638293697416,1.1596619047141539,4.8512497078999175,1.3278366986847043,3.0,3.0,4.0,3.0,3.0
0.0,27,13,1015.0,5,8,30.0,680.7945519312873,8.969963195777018,3.5288640595903162,4.069429778247096,3.8863544881255865,2.03939454691259,7.880434782608696,0,205.05437875215156,16,664.7839273252201,1.117509929869742,1.789011605119461,1.164050861341895,4.875630717911678,1.332017224682173,3.0,3.0,4.0,3.0,3.0
0.0,27,13,1015.0,5,8,25.0,687.741172174104,9.027848674214264,3.662321539416512,4.115628299894404,3.903797128673018,2.0326283079390537,8.520066889632107,0,205.08925586983554,16,664.8343824516634,1.1164605534354706,1.7876357651941535,1.1610970558360507,4.868212269077869,1.3306325009055986,3.0,3.0,4.0,3.0,3.0
