time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,27,13,1015.0,62,10,50.0,601.158319794011,8.074371485681192,2.34016139044072,3.121700105596621,2.7673420099288877,0.8365076182838813,6.8102006688963215,0,178.19114165370704,0,628.4454448748542,1.0797462543814709,1.1140894471442042,1.0545694404436905,2.090415414333682,1.126975613287676,3.0,3.0,4.5,3.0,3.0
0.0,27,13,1015.0,59,10,50.0,606.9001113630977,8.037480491217597,2.4208566108007448,3.175818373812038,2.7532537233328864,0.8345028067361667,6.960702341137123,0,178.66866519106503,0,628.8187004942447,1.0787846659146536,1.1139933216582458,1.0576669428128032,2.0810504843684,1.127848511094622,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,89,10,50.0,551.0470717775582,7.821230526923814,2.0328988206083176,2.7705913410770857,2.4332483563665637,0.7758620689655172,6.542642140468227,0,172.730993920517,0,624.38586834455,1.0789921806218394,1.1153570927997105,1.0630181301532218,2.1304317915649786,1.1298296116813418,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,8,10,50.0,646.170701334103,7.38257656306155,3.212290502793296,2.546198521647307,2.884744398228901,1.154520850040096,6.760033444816053,1,184.68642132517613,42,560.3599748919845,1.1000459043734514,1.7372334179058397,1.2309156332495397,4.44840705059592,1.2521744800946244,3.0,3.5,5.0,3.0,3.0
0.0,27,13,1015.0,68,10,50.0,588.5928999325972,8.061687043094306,2.144630664183737,3.074181626187962,2.628471756339729,0.828237770649559,6.831103678929766,0,176.93193241617874,0,627.6410749213965,1.0819388178353666,1.113922406910077,1.0510787005269666,2.0866423707191997,1.1285608913219416,3.0,3.0,4.5,3.0,3.0
0.0,27,13,1015.0,74,10,50.0,576.7834743280717,7.975725172678488,2.079453755431409,3.037222808870116,2.589561250503153,0.7991680032076984,6.584448160535117,0,175.54872356708208,0,627.3082999415024,1.081017112633329,1.112576574226549,1.0506253445249456,2.086507377922254,1.1304642640495555,3.0,3.0,4.5,3.0,3.0
0.0,27,13,1015.0,47,10,50.0,626.8665924534455,7.979853383743958,2.787088764742396,2.8563885955649417,2.802227291023749,0.8974037690457096,7.249163879598662,0,180.1639326218042,0,628.3971576403944,1.0725995532479984,1.135184157198251,1.0764236891302372,2.0795541006717375,1.1278401115528722,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,50,10,50.0,625.9577145663964,7.994949773394591,2.725015518311608,3.1124604012671595,2.816986448410036,0.8467822774659182,6.77257525083612,0,179.92968657393428,0,628.2918769547897,1.0756387747981109,1.127958166530082,1.0714425988501481,2.0865600834992897,1.1273450534029439,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,35,10,50.0,643.0364126329739,8.025787954628088,2.9546865301055245,2.7969904963041183,2.9310344827586206,0.9826082598235766,7.069397993311037,0,182.0427334075775,0,623.6887291672557,1.0660635971090402,1.1976154901013287,1.1053059889918488,2.179538878277844,1.1435553127521527,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,11,10,50.0,643.7820173815295,7.208405225383653,3.181253879577902,2.595036958817318,2.818328189990608,1.106405372894948,6.877090301003344,0,184.84481174948428,37,565.3781984531603,1.0845624215089884,1.6471556398606981,1.2067209297895465,4.12344442997052,1.238037317057554,3.0,3.5,5.0,3.0,3.0
0.0,27,13,1015.0,71,10,50.0,580.2888136482478,7.979095115881305,2.1694599627560525,3.0979408658922916,2.6204213068563,0.7951583801122695,6.567725752508362,0,176.16606723318017,0,627.3207439805916,1.0819577328504755,1.1134120536594958,1.050693067786875,2.0908830225423656,1.1300145359649738,3.0,3.0,4.5,3.0,3.0
0.0,27,13,1015.0,53,10,50.0,621.5276245488801,8.066866835626962,2.638112973308504,3.157338965153115,2.776734200992889,0.8653267842822774,6.714046822742476,0,179.50644772521846,0,628.5461012473213,1.0755911038145465,1.1214729426635952,1.0657457890801998,2.0838673656090165,1.1269304473187682,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,83,10,50.0,567.2158826834313,7.999672587980763,2.0142768466790812,2.914466737064414,2.482892794847712,0.7984161988773055,6.584448160535117,0,173.67323647443527,0,624.4010255370047,1.081227728625834,1.1155480682734253,1.058148550093205,2.123449159014924,1.1317359594764473,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,14,10,50.0,648.2388021239839,7.345398050228819,3.078833022967101,2.650475184794087,2.922984033275191,1.094627105052125,6.889632107023412,0,185.098959904177,18,582.8027977473108,1.087302387833398,1.601637120385822,1.1972113121597148,3.8244229400757925,1.240692626844654,3.0,3.5,5.0,3.0,3.0
0.0,27,13,1015.0,41,10,50.0,636.069100579607,8.041473428656037,2.8181253879577906,2.931626187961985,2.9102374882597615,0.9357457898957499,6.956521739130435,0,181.17817867001693,0,627.6805556672388,1.069814462545703,1.1562603648213121,1.0890380516965168,2.0900588078670213,1.1341601079978663,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,29,10,50.0,649.0748509360172,7.7986373989074,3.0322780881440097,2.7626715945089755,2.930363611968335,1.0414995990376905,6.801839464882943,0,182.76318084452743,4,617.0336440192112,1.063996579893911,1.2592304855925878,1.1239026141418955,2.4229427044449454,1.1558979918868735,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,38,10,50.0,638.9607865709219,8.020459601791273,2.9857231533209188,2.8801478352692715,2.906883134308332,0.9620589414595028,7.077759197324415,0,181.55924969116214,0,626.3754387483069,1.0671789014359165,1.1760859258026868,1.0972348437446784,2.1110450632138096,1.1392435945284756,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,20,10,50.0,653.1938952862901,7.477014433802057,3.069522036002483,2.6557550158394934,3.0142224607540586,1.0542802726543705,6.693143812709031,0,183.89983038288557,16,597.0529628560131,1.067835694835884,1.4201952682669958,1.1610645417986147,3.133229952432672,1.1887614337834664,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,56,10,50.0,613.2581314438935,8.064544566526495,2.5667287399130974,3.0755015839493134,2.782772038105461,0.8467822774659182,6.906354515050167,0,179.07838018898275,0,628.9113642925291,1.0768180974393669,1.1181407793806197,1.0613655362216252,2.0878079888556744,1.1267831247691884,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,17,10,50.0,650.2325741462314,7.549616488058046,2.998137802607076,2.6570749736008445,2.955185831208909,1.0898656776263032,6.889632107023412,0,184.37840565942204,16,592.800185358836,1.0748967513461167,1.5077859337113757,1.1780719973156204,3.4737970291458256,1.2099099797736668,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,32,10,50.0,647.69407158889,8.105619190954288,3.004345127250155,2.728352692713833,2.996779820206628,1.024458700882117,6.826923076923077,0,182.59869469312483,2,620.2032371407373,1.0662127652423445,1.2234670433801862,1.1133020844109456,2.275565144263142,1.1496801380512907,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,5,10,50.0,660.997821389467,7.571058958247024,3.283674736188703,2.664994720168955,3.0175768147054876,1.1926122694466719,6.6262541806020065,2,184.39713818980383,47,551.529731658186,1.1105594862703718,1.8257226661683574,1.2521090880214545,4.807227336482392,1.2773091642304868,3.0,3.5,5.5,3.0,3.0
0.0,27,13,1015.0,23,10,50.0,651.2770682986203,7.6252430663947255,3.026070763500931,2.6399155227032733,3.006842882060915,1.0447574178027266,6.751672240802675,0,183.43680387227732,8,603.9247420473347,1.064730887541007,1.3596534519261614,1.1494421025777664,2.833328910015788,1.180301596474463,3.0,3.0,5.0,3.0,3.0
0.0,27,13,1015.0,65,10,50.0,595.6348924542863,8.03013138072717,2.3215394165114835,3.1151003167898628,2.6687240037568767,0.832999198075381,6.852006688963211,0,177.68081583718956,0,628.175758131614,1.0813424310513673,1.1119155029966012,1.052429785745715,2.0948727719000795,1.1278556895001979,3.0,3.0,4.5,3.0,3.0
