time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,22,380.0,53,25,0.5,1215.9102080740022,0.6790228652703302,0.06828057107386716,0.09239704329461457,0.15161679860458877,0.010024057738572574,4.009197324414716,1,80.44234551137171,40,324.92358990683215,1.7667401362328974,1.3949613657876365,1.225464687323563,1.3872218675375911,1.2225378104268843,9.0,8.0,13.0,5.0,7.0
0.0,72,22,390.0,53,25,0.5,1224.3418206869987,0.7238793307915906,0.09000620732464308,0.11747624076029568,0.1623507312491614,0.008269847634322373,4.201505016722408,0,82.71692389248497,35,329.88161166415796,1.743627318448696,1.40983001425252,1.2286209465864664,1.3880213529056522,1.227041479150988,9.0,8.0,13.0,5.0,7.0
0.0,72,22,740.0,53,25,0.5,1803.0179072440058,2.3159109773145294,0.9683426443202979,1.053326293558606,1.158593854823561,0.09046712109061748,6.321070234113712,0,137.34833283989383,16,496.3721777720802,1.26441187186033,1.2374728960760084,1.1836370386905828,1.5749450105787546,1.1641430652299283,6.5,6.0,10.0,3.0,6.0
0.0,72,22,1080.0,53,25,0.5,2197.2366159208113,3.6137952210996125,2.489137181874612,2.2980464625131996,2.6532939755803033,0.27992181234963914,7.867892976588629,0,169.34379195689917,6,590.6410842699456,1.176635235447136,1.2454635022319172,1.2089994022401165,1.9958890406811653,1.1939805568435273,5.0,5.0,9.0,3.0,5.0
0.0,72,22,1930.0,53,25,0.5,2460.0644974335764,4.22856655464873,6.139044072004966,6.8980992608236535,7.199114450556824,1.0813452285485163,9.19314381270903,0,214.2640505653543,0,747.3322929565148,1.2816618540987326,1.3280248100689862,1.2657050056376344,3.0453526045572774,1.3423166057267937,3.0,3.0,7.0,3.0,3.0
0.0,72,22,910.0,53,25,0.5,2032.4711355771788,3.221984243928453,1.7380509000620732,1.591869060190074,1.8435529317053536,0.2009823576583801,7.391304347826087,0,154.90659247744344,15,545.8378968556816,1.2006903760212113,1.2291910314065904,1.1929149152079939,1.7755047070895371,1.1732005455481918,5.5,6.0,10.0,3.0,5.0
0.0,72,22,1250.0,53,25,0.5,2296.143577845565,3.894567741401807,3.34885164494103,3.2022175290390704,3.520059036629545,0.36537690457097033,8.524247491638796,0,181.00747114735495,4,634.6074335714997,1.179432852404155,1.246238003609877,1.2195154206714425,2.190949805444384,1.2178944201431103,4.0,5.0,8.0,3.0,4.0
0.0,72,22,1420.0,53,25,0.5,2363.4972301464504,3.956933072390737,4.062693978895096,4.066789862724393,4.458607272239367,0.5059643143544507,8.841973244147157,0,191.23277472206954,4,667.3723188425408,1.1878813571157358,1.2655355663315506,1.2347594151553,2.407766107047056,1.2437716651872224,4.0,4.0,8.0,3.0,4.0
0.0,72,22,1590.0,53,25,0.5,2436.8749822481477,4.017649358708436,4.754810676598386,4.996040126715945,5.424661210250906,0.6292602245388934,9.251672240802677,0,199.73882072229202,2,695.9182262185655,1.2021853983216895,1.2811089959633246,1.2453841510564931,2.6157215991916978,1.2720606955997067,3.5,4.0,7.0,3.0,3.0
0.0,72,22,1760.0,53,25,0.5,2448.5829103506544,4.138582855394255,5.465549348230912,5.993928194297783,6.3471085468938675,0.8397654370489174,8.967391304347826,0,207.62475133434876,1,723.3368074946322,1.238899108972571,1.3011739283021933,1.257949194354259,2.8288958217527176,1.3049523318692284,3.0,3.0,7.0,3.0,3.0
0.0,72,22,350.0,53,25,0.5,1117.8232092939986,0.8830860125005793,0.06207324643078833,0.09239704329461457,0.11337716355829866,0.028067361668003207,3.2734113712374584,1,72.43673718789056,41,308.8890676845972,1.8396676997801475,1.444442627561905,1.2431361964148855,1.4134170251278193,1.2471193988301859,9.0,8.5,13.0,5.0,7.5
0.0,72,22,570.0,53,25,0.5,1549.7881482040034,1.491727285863707,0.36623215394165115,0.36034846884899685,0.49644438481148534,0.022052927024859663,6.952341137123747,0,114.6245922138978,18,428.225476435686,1.4387249757410574,1.2735159991915714,1.190802895850938,1.3944517192028434,1.1804639503985985,8.0,7.0,11.0,4.0,6.0
0.0,72,22,1410.0,53,25,0.5,2366.3761169919667,4.017199215146443,3.981998758535071,4.086589229144668,4.406950221387361,0.4884222133119486,8.729096989966555,0,190.74800795386028,4,665.4880681039133,1.1869158603343435,1.2643091350458495,1.2339873082425525,2.3958982968952602,1.2424634248675495,4.0,4.0,8.0,3.0,4.0
0.0,72,22,1940.0,53,25,0.5,2464.2391104313187,4.256104731886199,6.288019863438858,6.792502639915522,7.364819535757413,1.0918704891740176,9.122073578595318,0,214.6797025230674,0,748.5180984436329,1.2839551333399692,1.329838516540029,1.2665889343576384,3.0581435144189726,1.344204904561631,3.0,3.0,7.0,3.0,3.0
0.0,72,22,750.0,53,25,0.5,1812.2983774359996,2.3662998966547706,1.021104903786468,1.009767687434002,1.168656916677848,0.09998997594226143,6.505016722408027,0,138.3507095017036,16,499.8294630411503,1.2593404542554045,1.2379576496758804,1.184014404230983,1.5868352331332487,1.166117356083186,6.5,6.0,10.0,3.0,6.0
0.0,72,22,1090.0,53,25,0.5,2215.0198693968064,3.6363926100611335,2.6194909993792677,2.35480464625132,2.678116194820878,0.29069767441860467,7.964046822742475,0,170.08601410612548,6,593.8688175434622,1.17871427090046,1.2450761155143715,1.2094317273846444,2.0053091963690783,1.1951799548549376,5.0,5.0,9.0,3.0,5.0
