time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,44,36,550.0,53,25,0.5,1489.2379138279996,1.518018180162404,0.36933581626319056,0.3880675818373812,0.39447202468804504,0.02881916599839615,6.77257525083612,0,111.12759933069775,19,421.3044635855743,1.3800291603768682,1.1795125402419993,1.1298096189182718,1.3767255342490796,1.1623339255578673,9.0,8.0,14.0,4.0,7.0
0.0,132,12,550.0,53,25,0.5,1454.948164149001,1.049623615632693,0.24208566108007448,0.29567053854276665,0.37434590097947135,0.00801924619085806,6.676421404682274,0,109.25814472041374,18,419.3749492879676,1.939459990839909,1.4419648784401362,1.2848091406317694,1.4246404049710644,1.2765975361011095,8.0,7.0,9.0,4.0,6.0
0.0,16,99,550.0,53,25,0.5,1508.6074172833023,1.6420615487397296,0.2669149596523898,0.5081837381203802,0.3777002549309003,0.042852846832397755,6.4966555183946495,0,111.38878067750443,19,418.9843086973123,1.5672642275809383,1.1262087647615362,1.1024804951325287,1.4004765559207075,1.1541219274364034,15.0,8.0,20.0,4.0,11.0
0.0,33,48,550.0,53,25,0.5,1532.8587221740036,1.4813314612202209,0.31036623215394166,0.42502639915522705,0.39983899101033143,0.026313151563753006,6.7934782608695645,0,112.24986427040338,18,420.9304758599606,1.3799128358939392,1.1295126945871243,1.100930672882249,1.369560647085116,1.1380580974645818,10.0,8.0,15.0,4.0,8.0
0.0,24,66,550.0,53,25,0.5,1523.9591321710016,1.3948345662851245,0.2576039726877716,0.4553854276663147,0.3703206762377566,0.02706495589414595,6.714046822742476,0,111.49522421956178,18,420.2851663020967,1.3993416224565327,1.1194730100248225,1.0965494332323518,1.3804808829480866,1.1321389835955422,11.5,8.0,16.0,4.0,9.0
0.0,88,18,550.0,53,25,0.5,1484.1352168009992,1.2433625607058212,0.3227808814400993,0.3365892291446674,0.42264859788004827,0.012279470729751402,6.789297658862877,0,112.08050391881561,18,419.9463889617793,1.557375020149636,1.3157942923444739,1.2083567835310327,1.3833774410294821,1.195219256643967,7.0,7.0,10.0,4.0,6.0
0.0,72,22,550.0,53,25,0.5,1526.4408682009987,1.4896976820775458,0.30105524518932336,0.36826821541710664,0.4561921373943379,0.02180232558139535,6.638795986622073,0,111.84453209174254,18,417.5565710153661,1.4851946235584825,1.2937685774629295,1.1931059353136617,1.3782330371385254,1.187361191756473,8.0,7.0,12.0,4.0,6.0
0.0,48,33,550.0,53,25,0.5,1559.2803137099997,1.4226988649490568,0.3165735567970205,0.34582893347412885,0.41661076076747616,0.03959502806736167,6.785117056856187,0,112.41482560731554,19,419.062389496737,1.407317932743437,1.1891313013820048,1.1473364977650329,1.3969474008869698,1.167519237734009,8.5,8.0,14.0,4.0,7.0
0.0,12,132,550.0,53,25,0.5,1559.658366893997,1.8303082334723677,0.30105524518932336,0.6401795142555438,0.3750167717697572,0.045860064153969524,6.216555183946489,0,109.86611576046229,22,414.69552629560025,1.7581118937838567,1.1471777535403405,1.1173287404151329,1.4589201376212038,1.1927265764775326,19.0,8.0,25.0,4.0,13.5
0.0,99,16,550.0,53,25,0.5,1536.472423620998,1.4133389100558094,0.2855369335816263,0.337909186906019,0.42734469341204884,0.022052927024859663,6.760033444816053,0,111.79807622515574,18,420.49694122780596,1.6832747691818495,1.3337168364095915,1.2177596351315898,1.399791585065565,1.2090033466513774,8.0,6.5,10.0,4.0,6.0
