time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,36,610.0,41,17,50.0,3729.28353450138,51.17687945940106,2.9736294240111034,3.8,3.5102715127136905,3.186013882735194,5.618535374431112,7,343.28785235016187,1.4627411108353803,1.1476454581603925,1.1438096582381734,1.6331165449770282,1.1534676973773026,8.0,6.0,12.0,3.0,6.0
0.0,18,72,610.0,41,17,50.0,3757.6143145165465,50.75372981872033,3.1922276197085355,3.9034482758620688,3.6093952018388165,3.1077388864274114,5.308233347124534,7,343.2337183528889,1.751323862584867,1.1349370966851164,1.1246818072733276,1.646206099359632,1.1460855371062508,10.0,6.0,15.0,3.0,8.0
0.0,12,108,610.0,41,17,50.0,3605.3651024739193,50.54733483981841,3.3379597501734906,3.696551724137931,3.421203850021549,3.202259636685866,5.355812991311543,7,343.0616657232326,1.9524499036450824,1.1436156075144808,1.1291290221586938,1.6698370975820047,1.1631064499831452,13.0,6.0,20.0,3.5,10.5
0.0,24,54,610.0,41,17,50.0,3744.1528121218557,50.66586157590809,2.9285218598195697,3.837931034482758,3.6510558827754633,3.088170137350465,5.54199420769549,7,343.2779774052635,1.5574910851467647,1.132272968021165,1.127052137002634,1.636134035488326,1.145241769479518,8.5,6.0,13.0,3.0,7.0
0.0,16,81,610.0,41,17,50.0,3694.0330239420164,50.806136229806256,3.13324080499653,3.7655172413793103,3.71067375377101,3.123984640378083,5.2813405047579645,7,343.56648028481436,1.7583217424456938,1.1338958013859335,1.125801438134624,1.6553029210651555,1.1507989914501537,10.5,6.0,16.0,3.0,9.0
0.0,108,12,610.0,41,17,50.0,4097.3429263338185,55.38756649555124,2.519083969465649,4.020689655172414,3.738686970262893,3.759415152857776,5.157219693835334,7,343.80762143357356,2.0995357142259543,1.2285036126745,1.16901483909716,1.6465665423033988,1.170789539791333,8.0,5.0,7.0,3.0,5.0
0.0,48,27,610.0,41,17,50.0,3684.1506615160556,48.318584078979924,2.9285218598195697,3.7551724137931037,3.2710817411291484,3.001033820705952,5.784029788994621,7,343.2911025723936,1.5393198403097947,1.1867863415259374,1.1654569637067076,1.6514063274459838,1.1644744830028906,7.5,6.0,11.0,3.0,6.0
0.0,54,24,610.0,41,17,50.0,3765.560313772843,52.2236540008261,2.9285218598195697,3.794827586206897,3.533256715989082,3.3289026731649685,5.601985932974762,7,342.8115152024808,1.5429249375395881,1.202829211495157,1.1686008280019164,1.6521753830666581,1.1632692532400015,7.0,6.0,10.0,3.0,6.0
0.0,81,16,610.0,41,17,50.0,3953.031860583948,54.82916763350578,2.5711311589174186,4.001724137931034,3.71785662979457,3.6128341456210307,5.314439387670666,7,343.062634024334,1.8916308501727057,1.2059674885011162,1.1661493763317945,1.6339747105659266,1.1598839193401773,7.0,5.0,8.0,3.0,5.0
0.0,72,18,610.0,41,17,50.0,3919.014176286099,54.50691203017034,2.741151977793199,3.894827586206896,3.7013360149403827,3.5847732978880518,5.310302027306578,7,343.3358911965099,1.743630136670357,1.1999432033332913,1.164568137214817,1.6361401635190964,1.158718489805249,7.0,5.0,9.0,3.0,5.0
0.0,27,48,610.0,41,17,50.0,3747.705263123394,50.76757575652374,3.0742539902845247,3.837931034482758,3.5662979456974573,3.0571555161719095,5.841952834091849,7,343.4529043025053,1.5092340235112267,1.1343381186347559,1.1292646092690615,1.635241432062668,1.1474414470083318,8.0,6.0,13.0,3.0,7.0
