time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,36,650.0,42,35,50.0,3046.674435373296,34.61676319076973,1.2179042331714087,2.0,1.5191782789829047,2.149608625018461,2.341745966073645,24,182.25276325027727,2.654823288899587,1.278291798322531,1.2088274139252284,1.7666160426602093,1.381959711289215,13.0,8.0,14.0,5.0,9.0
0.0,36,36,700.0,42,35,50.0,3146.8401049469626,37.49202205663504,1.328938237335184,2.163793103448276,1.6965953167648324,2.3305272485600352,2.58585022755482,21,196.80227962686848,2.6265962002009027,1.2856527298584388,1.2184194299414046,1.7920876161607608,1.385367264508521,12.0,8.0,14.0,4.5,9.0
0.0,36,36,800.0,42,35,50.0,3309.5976193092506,38.6572523731021,1.471200555170021,2.293103448275862,1.848154000861945,2.4124944616747896,2.8920148944973105,19,223.63326496079029,2.494467500761191,1.3050966236313761,1.2332471537185108,1.8395420544927024,1.3847434228711504,11.0,7.5,14.0,4.0,8.0
0.0,36,36,980.0,42,35,50.0,3521.0920321433127,46.27972846715481,2.14087439278279,2.956896551724138,2.5628501652061484,2.7998080047260374,3.4153909805544065,13,261.82345283711345,2.312177562036186,1.3357013785705854,1.2644035921998813,2.08909150550699,1.3949116610400534,10.0,7.0,13.0,4.0,8.0
0.0,36,36,920.0,42,35,50.0,3461.8576757688884,45.15287107211051,1.8910478834142959,2.8379310344827586,2.4033903174831206,2.732609658839167,3.206454282167977,14,249.16234409305855,2.3720624647508406,1.3247878225163767,1.2542933353080963,2.005259817935095,1.3891745437172205,11.0,7.0,13.0,4.0,8.0
0.0,36,36,890.0,42,35,50.0,3451.747493590287,44.82145115734472,1.842470506592644,2.7482758620689656,2.4292486711679357,2.699379707576429,3.0016549441456353,15,242.86311840348924,2.3869939428443683,1.3196600425693,1.2495148631163708,1.9510959887963735,1.3867418408706118,11.0,7.0,13.0,4.0,8.0
0.0,36,36,610.0,42,35,50.0,2964.096781490321,34.574292181626234,1.2907702984038862,2.0,1.4495043815543744,2.151823955102644,2.186594952420356,27,170.56513063636393,2.6728767035255916,1.2733463246179255,1.20249320887123,1.7475457959053422,1.3772511453345042,13.0,8.0,14.0,5.0,9.0
0.0,36,36,570.0,42,35,50.0,2823.4162147573716,33.302874069900675,1.2179042331714087,1.9448275862068967,1.3187760379255853,2.081671835770196,2.0748862225899876,27,157.4631341748314,2.750316786699794,1.2703182580768027,1.1980425825545502,1.7551923305608454,1.3873459773229104,13.0,8.0,14.0,5.0,9.0
0.0,36,36,690.0,42,35,50.0,3119.261024540233,36.56929496402287,1.3636363636363635,2.1448275862068966,1.6283579945410143,2.263698124353862,2.5113777410012412,21,193.79498595090453,2.629412908899555,1.2849416466385626,1.2169404717407581,1.7898602301805788,1.3887641079702302,12.0,8.0,14.0,4.5,9.0
0.0,36,36,580.0,42,35,50.0,2861.1441757916245,34.380632622043436,1.2768910478834141,1.9517241379310344,1.3755207585117082,2.169177374095407,2.068680182043856,27,160.56350471994898,2.736809867956186,1.272943352070898,1.1996482807726947,1.7527608408155202,1.387793999929826,13.0,8.0,14.0,5.0,9.0
0.0,36,36,780.0,42,35,50.0,3301.822516884465,38.825131517975144,1.4954892435808467,2.277586206896552,1.8711392041373367,2.3999409245310885,2.916839056681837,19,218.95186037747672,2.5135459432661453,1.3016494491433743,1.2300551367111594,1.826030356751681,1.3891934254005187,12.0,8.0,14.0,4.0,8.0
0.0,36,36,540.0,42,35,50.0,2724.7993004499162,30.977267325729475,1.072172102706454,1.806896551724138,1.2239620744145956,1.9229065130704475,1.9776582540339265,28,146.39312331739265,2.7698542447278247,1.2683026503967985,1.1944639244498279,1.763486453849626,1.390914331536823,13.0,8.0,14.0,5.5,9.0
0.0,36,36,510.0,42,35,50.0,2637.5112709121,29.613239362486848,1.047883414295628,1.763793103448276,1.1406407125413016,1.8339240880224488,1.8328506412908563,30,136.9611478584103,2.7817705073334498,1.2671108942669211,1.1902672616336947,1.7712297746796697,1.3919507646252036,14.0,8.5,15.0,6.0,9.0
0.0,36,36,970.0,42,35,50.0,3525.37561127602,46.16504092246716,2.0229007633587788,2.9620689655172416,2.5125700330412295,2.7972234529611577,3.44435250310302,13,260.26100574903955,2.3236085650722185,1.3343863979611843,1.2624061490939458,2.0748794038294447,1.3934115506577198,10.0,7.0,13.0,4.0,8.0
0.0,36,36,660.0,42,35,50.0,3089.5814703453784,35.19608310929435,1.2768910478834141,1.9948275862068967,1.5780778623760954,2.1813616895584107,2.399669011170873,23,185.90717740147352,2.6556363375465644,1.277777416054945,1.2101225954815908,1.7649766107267946,1.3819230703141367,13.0,8.0,14.0,5.0,9.0
0.0,36,36,880.0,42,35,50.0,3428.361896909012,39.25200950523208,1.6585704371963914,2.3706896551724137,1.9875017957190058,2.4243095554570964,3.2457592056268103,15,240.35518750695383,2.4023535959050055,1.3184061186623999,1.247874018337153,1.9461167982615426,1.3908221591547145,11.0,7.0,13.0,4.0,8.0
0.0,36,36,850.0,42,35,50.0,3399.7388723509825,39.04429028381766,1.6828591256072172,2.3344827586206898,1.9602068668294785,2.4047408063801505,3.098882912701696,19,234.16878326737196,2.422213006419054,1.3138124326074374,1.2409229327790117,1.885214563877294,1.382846060788821,11.0,7.0,13.0,4.0,8.0
0.0,36,36,750.0,42,35,50.0,3255.913884345304,38.56412423758445,1.4746703678001387,2.2689655172413796,1.851027151271369,2.358588096293014,2.7492759619362848,19,211.84638634917408,2.565038983320664,1.294749461777786,1.2249405323913147,1.8124207219940027,1.391615029896845,12.0,8.0,14.0,4.0,8.5
0.0,36,36,550.0,42,35,50.0,2755.236025769542,31.513979641311547,1.1311589174184595,1.9206896551724135,1.2720873437724465,1.9435829271894844,1.8928423665701282,27,148.921605940191,2.76863950993766,1.271429320296036,1.197019870827717,1.7602242741889693,1.393911190014919,13.0,8.0,14.0,5.5,9.0
0.0,36,36,640.0,42,35,50.0,3022.6686791753164,34.81181323015066,1.2664816099930605,2.025862068965517,1.5400086194512284,2.1429626347659134,2.2755482002482417,25,179.22164491172444,2.6556843811132054,1.2767413747496539,1.2075991438642104,1.7584283935766387,1.3787719981655258,13.0,8.0,14.0,5.0,9.0
0.0,36,36,730.0,42,35,50.0,3171.9642746321147,38.10428057877456,1.4156835530881333,2.1982758620689653,1.770578939807499,2.3556343228474375,2.685146876292925,21,205.2291437306052,2.5860817361477517,1.2912943955036646,1.2221776118799474,1.8015803450031405,1.387289135198296,12.0,8.0,14.0,4.0,9.0
0.0,36,36,720.0,42,35,50.0,3164.54148045861,37.762472947807844,1.4191533657182513,2.2086206896551728,1.7554949001580233,2.3224043715846996,2.658254033926355,21,202.70900162160487,2.600699486013995,1.2891040497818027,1.2205334494273743,1.7984191775219691,1.3856855004609376,12.0,8.0,14.0,4.0,9.0
0.0,36,36,770.0,42,35,50.0,3273.322233824229,38.791762510911866,1.453851492019431,2.310344827586207,1.8431259876454533,2.409540688229213,2.800992966487381,19,217.09754148153613,2.524382536779818,1.298959394150536,1.2280899043012206,1.818371402401131,1.3900750161077788,12.0,8.0,14.0,4.0,8.0
0.0,36,36,870.0,42,35,50.0,3433.8720172108474,39.745571780287534,1.727966689798751,2.3913793103448278,1.9932480965378536,2.468616157140747,3.1133636739760036,17,238.25232646098183,2.408240743686456,1.3173374013938166,1.2456446423277634,1.9077606748306264,1.3849653451278363,11.0,7.0,13.0,4.0,8.0
