time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,36,610.0,29,35,50.0,2688.4434255184437,33.150669840978495,0.8362248438584315,2.2603448275862066,1.2440741272805633,2.0654260818195245,2.267273479520066,68,152.1326935763213,3.7680133489898266,1.2282106180604764,1.170550454620929,1.7178145072995696,1.442154728343477,16.0,8.0,14.0,5.0,9.0
0.0,36,36,610.0,71,35,50.0,2186.9189868381695,34.0628824351853,1.5093684941013186,1.7155172413793103,1.4444763683378825,2.1067789100575984,1.7666528754654531,0,151.05782943659065,1.44620404400463,1.4386748655179709,1.349386619346988,1.7924522179931421,1.424534366813222,9.0,9.0,15.0,5.5,9.0
0.0,36,36,610.0,68,35,50.0,2279.843603778183,35.98786067116876,1.6099930603747397,1.8241379310344827,1.5658669731360437,2.199822773593265,1.8328506412908563,0,155.5547456099537,1.5502310874354344,1.4116553153618847,1.329587939783853,1.7971177305999597,1.397376906052634,9.0,9.0,15.0,5.5,9.0
0.0,36,36,610.0,86,35,50.0,2027.2128919402198,33.91349923821844,1.4920194309507286,1.7379310344827585,1.4775175980462578,2.0890562693841384,1.5949524203558127,0,139.72498189037535,1.2892307125083642,1.4745764143718512,1.4327370168964564,1.8634181591030403,1.5476373197069146,8.0,9.0,16.0,6.0,9.0
0.0,36,36,610.0,38,35,50.0,2931.9326081981303,32.52829171377223,1.1380985426786954,1.8344827586206898,1.3956328113776757,2.0170580416482053,2.1741828713280924,39,165.69118083996077,2.958335854442969,1.2599886703964431,1.1914853190857142,1.7483860225627703,1.3875368454084578,13.0,8.0,14.0,5.0,9.0
0.0,36,36,610.0,80,35,50.0,2049.6316146022014,34.301646722111435,1.4850798056904928,1.717241379310345,1.4401666427237467,2.1315167626643037,1.6859743483657426,0,142.70975937001444,1.2979398674388145,1.4638609816233785,1.3979911431541603,1.8272389617978593,1.5013731737082905,8.5,9.0,16.0,6.0,9.0
0.0,36,36,610.0,62,35,50.0,2400.0199695160336,36.32534744998034,1.4885496183206106,1.803448275862069,1.6290762821433702,2.2131147540983607,2.0728175424079436,0,162.0040679728993,1.7639809715376429,1.3740806250605484,1.2920313969793833,1.7876526649163336,1.3791092515562573,10.0,9.0,15.0,5.0,8.5
0.0,36,36,610.0,47,35,50.0,2834.4823069895397,38.41806754908208,1.4989590562109645,2.270689655172414,1.5730498491596034,2.381479840496234,2.3479520066197765,11,176.0522431808994,2.3926703813849866,1.2916853629378506,1.2200674042546624,1.753585506708377,1.3710683874969338,12.0,8.0,14.0,5.0,9.0
0.0,36,36,610.0,35,35,50.0,2942.3608844770133,32.61125175675597,1.0756419153365717,1.867241379310345,1.377675621318776,2.0458573327425786,2.047993380223417,47,160.08261509553495,3.159278366213626,1.2531161900558392,1.1847613996900563,1.7406530774066173,1.4077483044140784,14.0,8.0,14.0,5.0,9.0
0.0,36,36,610.0,53,35,50.0,2573.3770100431166,35.07931608065504,1.4087439278278973,1.8862068965517242,1.423646027869559,2.1924383399793235,2.294166321886636,4,172.41573836852794,2.10563875838447,1.3284625982613327,1.24355844711251,1.7640530365217375,1.3707858772854813,11.0,9.0,14.5,5.0,9.0
