time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,28,28,590.0,35,14,45.0,2731.7685283996416,44.05379292912233,2.5919500346981263,3.3465517241379312,3.057750323229421,2.8788214443952147,4.213901530823335,10,324.5526589127888,1.3587881024338753,1.124832867994524,1.1255555537901563,1.8418034877591662,1.141673897553478,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,25.0,2740.204643604942,44.47001584041333,2.5988896599583624,3.2948275862068965,3.0814538141071686,2.90355929700192,4.265618535374431,10,325.1608256110893,1.4056805510525257,1.1175459556731084,1.1190808520346966,1.8218398142613732,1.1449055499143603,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,10.0,2766.001803782928,40.008289976720754,2.3386537126995144,3.0913793103448275,2.766125556672892,2.6284891448825873,4.793131981795614,10,325.198630763711,1.424467557694907,1.1171040926751155,1.1181714281275292,1.7828375435920951,1.14358113399904,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,30.0,2740.7357414882727,44.280670831480045,2.526023594725885,3.2810344827586206,3.065651486855337,2.9142667257421357,4.240794373189905,10,325.1220495009858,1.4001222910550877,1.1182040916886649,1.1201097547979912,1.830789923884752,1.1439321788468906,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,0.0,2751.955436394096,40.34553008446339,2.2761970853573907,3.0224137931034485,2.8286165780778623,2.645842563875351,4.757964418700869,10,324.7070888296215,1.4623948699868121,1.1170932943788532,1.118326380645264,1.7781031561101222,1.1450030146198529,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,40.0,2731.3242112125477,44.40990049868947,2.5468424705065926,3.3586206896551722,3.0441028587846577,2.9234972677595628,4.247000413736036,10,324.8291182322156,1.3727052977173855,1.1219707511314054,1.1236406444514357,1.8407222314501437,1.1426398284327253,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,50.0,2715.390211838954,44.58584800896859,2.487855655794587,3.313793103448276,3.0505674472058613,2.9367892482646583,4.211832850641291,10,324.4640392359592,1.348486462124714,1.1276849590229883,1.1272645005822133,1.8433385200142642,1.1408351918259643,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,5.0,2756.01964477175,40.3579331400994,2.3074253990284523,3.077586206896552,2.7898290475506395,2.6532269974892926,4.851055026892842,10,324.9421952438353,1.431879605942929,1.117217295641723,1.1182088367800243,1.7819537345165064,1.1436146575651565,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,20.0,2745.9672762327905,40.530355225299715,2.2519083969465647,3.0310344827586206,2.6863956328113776,2.6247969280756163,5.386843194042202,10,325.1077843089338,1.4146347196109081,1.1177448562457595,1.1188695036433098,1.8028157865674752,1.1445085822743135,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,35.0,2733.824263927283,44.24001520480205,2.4670367800138795,3.3568965517241383,3.029737106737538,2.9131590607000444,4.282167976830782,11,324.73783791091284,1.380721625623896,1.1197572681748562,1.121478298677686,1.8143065533738925,1.142716673694515,6.0,5.0,10.0,3.0,5.0
0.0,28,28,590.0,35,14,15.0,2758.8600779294497,40.35349935833044,2.1582234559333795,3.05,2.7912656227553514,2.667626643036479,4.848986346710799,10,325.2796993952277,1.420690000471783,1.1169042152456519,1.1183250695016407,1.7872605734833047,1.1442254887179566,6.0,5.0,10.0,3.0,5.0
