time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,56,14,590.0,35,14,25.0,2648.3256279442558,41.1760496582335,2.3837612768910477,3.0844827586206898,2.727338026145669,2.7507015211933243,4.474555233760861,10,324.8495195637572,1.4800546399253123,1.164756244552571,1.1554449137029967,1.794165643078927,1.1586789045231138,6.0,5.0,8.0,3.0,5.0
0.0,49,16,590.0,35,14,25.0,2657.8786845409313,44.13023992921406,2.5537820957668282,3.2793103448275867,2.9471340324665998,2.9578348840643924,4.031857674803476,10,325.0388149959455,1.4743565295433532,1.150680251927717,1.1412058728353922,1.8285633989685643,1.159965141524545,6.0,6.0,9.0,3.0,5.0
0.0,14,56,590.0,35,14,40.0,2709.0290564316765,44.43655777770502,2.526023594725885,3.317241379310345,3.164056888378106,2.9294048146507166,3.9056681836988,10,325.11757827678025,1.3777935468640279,1.1205953168038028,1.1161707987290472,1.8142085309860563,1.137291463219512,8.0,5.0,12.0,3.0,6.5
0.0,56,14,590.0,35,14,50.0,2879.6385714404855,48.881699468361994,2.4670367800138795,3.489655172413793,3.0864818273236603,3.4895141042682027,4.187008688456765,10,324.8558060054048,1.4330656950741658,1.1711759528466434,1.1519872636746968,1.7977203104011648,1.145258805161273,6.0,5.0,7.0,3.0,5.0
0.0,49,16,590.0,35,14,10.0,2646.6605300932783,43.276678948724786,2.38029146426093,3.363793103448276,3.0879184025283726,2.7865160242209424,4.033926354985519,10,325.1008619993404,1.5393090888354126,1.1207926387962752,1.1199318334390354,1.8064057563248541,1.1531228052808964,6.0,6.0,10.0,3.0,5.0
0.0,56,14,590.0,35,14,15.0,2620.142294096448,39.34967360237221,2.265787647467037,3.0551724137931036,2.7417037781927887,2.569413675971053,4.346297062474141,10,324.7701188396138,1.5550868049653523,1.134597101482181,1.1357320729396723,1.8199254090350576,1.1607577704842214,6.0,6.0,9.0,3.5,5.0
0.0,28,28,590.0,35,14,35.0,2733.824263927279,44.262553349486275,2.487855655794587,3.3396551724137935,3.064933199252981,2.8780830010338208,4.45800579230451,11,324.73783791091284,1.380721625623896,1.1197572681748562,1.121478298677686,1.8143065533738925,1.142716673694515,6.0,5.0,10.0,3.0,5.0
0.0,49,16,590.0,35,14,50.0,2795.347427489001,45.614993721156374,2.4462179042331713,3.4155172413793102,2.8314897284872864,3.198198198198198,4.387670666115018,10,325.44169329575476,1.3873289206770787,1.1685214478116943,1.1519558323987693,1.7929997343650994,1.1466488031857747,6.0,5.0,8.0,3.0,5.0
0.0,56,14,590.0,35,14,10.0,2636.409938112719,43.47741357074767,2.477446217904233,3.253448275862069,3.057032035627065,2.8204844188450746,3.965659908978072,10,325.0540970911409,1.5877013344687918,1.1258706510896799,1.124314397395891,1.8295130051568624,1.1580677229721346,6.0,6.5,9.5,3.5,5.0
0.0,16,49,590.0,35,14,10.0,2703.230846555248,44.7614345378733,2.4323386537126996,3.4396551724137927,3.1899152420629218,2.9212819376753805,4.017376913529168,10,325.8187689360782,1.3832894455856133,1.1205707307467383,1.115372268472921,1.8504429921176722,1.1363779845853648,7.0,5.0,11.0,3.0,6.0
0.0,49,16,590.0,35,14,15.0,2644.1451568800276,43.606258063537744,2.317834836918806,3.256896551724138,3.09007326533544,2.8529759267464185,4.064956557716177,10,325.1735015119117,1.5159954003449518,1.1279902280352827,1.126101159052379,1.8103895911241956,1.1542747725462548,6.0,6.0,10.0,3.0,5.0
