time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,49,1200.0,29,23,20.0,4170.783627336648,48.41976617671488,5.444136016655101,5.020689655172414,5.610544462002586,2.8437453847289915,8.68018204385602,15,418.8219387518088,1.3288573713956933,1.2529552465229363,1.2215140057055707,2.853189244581144,1.266725691551502,4.5,5.0,12.0,3.0,5.0
0.0,21,84,1200.0,29,23,0.0,4061.8041222727916,48.00605013606928,5.517002081887578,5.044827586206897,5.6234736388449935,2.9818342933097033,7.813405047579644,14,419.2712751156044,1.319229335086677,1.2540187915382097,1.2184210529323098,2.8769070088656954,1.2627596423385943,5.0,5.0,15.0,3.0,5.5
0.0,14,126,1200.0,29,23,35.0,3932.1147990145682,47.801720421255936,5.711311589174184,5.01551724137931,5.472633242350237,3.0209717914635945,7.149358709143566,15,419.3896373031766,1.3251259805269893,1.2500182387333991,1.2173943275780563,2.8795307262923577,1.2571924667403374,5.5,5.5,19.0,3.0,6.5
0.0,42,42,1200.0,29,23,30.0,4146.335370413549,47.88469730281367,5.492713393476753,5.2155172413793105,5.626346789254417,2.9371584699453552,8.365742656185354,14,419.57667976175577,1.331181183642872,1.2549973326621142,1.2226825416235356,2.8782705476447106,1.2684104236656348,4.5,5.0,12.0,3.0,5.0
0.0,21,84,1200.0,29,23,35.0,4071.3354697656496,48.256811419275806,5.742539902845246,5.001724137931034,5.652923430541589,3.034632993649387,7.776168804302855,15,419.31692600148466,1.3171653863876889,1.2525482266303507,1.2177614287831888,2.850786696985572,1.2607783558431884,5.0,5.0,15.0,3.0,5.5
0.0,14,126,1200.0,29,23,40.0,3930.843773264241,47.68893967316953,5.600277585010409,5.0103448275862075,5.462577215917253,2.9914340570078273,7.254861398427803,15,419.44656860128254,1.3266240753352019,1.2499553662748712,1.2172455914900433,2.8837240384414584,1.2567648150395807,5.5,5.5,19.0,3.0,6.5
0.0,21,84,1200.0,29,23,50.0,4051.9271115235288,48.37681960075312,5.659264399722415,5.093103448275862,5.580376382703635,3.0401713188598434,7.718245759205628,15,419.0192805971276,1.3199220370801337,1.2532761463591855,1.2186513253572948,2.849511491404203,1.2605566666646855,5.0,5.0,15.0,3.0,5.5
0.0,126,14,1200.0,29,23,10.0,3867.69516039479,48.12218528972633,5.634975711311589,4.860344827586207,5.37925585404396,3.0807857037365234,6.839056681836989,17,418.82444565042624,1.5049876017959947,1.265608942327868,1.2437755585764023,2.841542200338482,1.2835887189773065,5.0,5.5,9.0,3.0,5.0
0.0,98,18,1200.0,29,23,15.0,3927.018968880041,47.84410543010902,5.56557945870923,4.918965517241379,5.5049561844562565,3.0076798109584995,7.0459247000413745,16,418.3873873734779,1.4456954988096151,1.2605653132704122,1.2394986854488603,2.862904158132055,1.2820077334646407,5.0,6.0,10.0,3.0,5.0
0.0,21,84,1200.0,29,23,30.0,4072.3790374883156,48.276494965304565,5.752949340735601,5.0362068965517235,5.591150696738975,3.0475557524737855,7.778237484484898,15,419.3329857412168,1.3174837519747324,1.2521888314992795,1.217587924865989,2.8503104749439654,1.2605791729512983,5.0,5.0,15.0,3.0,5.5
0.0,147,12,1200.0,29,23,0.0,3903.5662954542254,47.5585458292592,6.00971547536433,4.856896551724138,5.626346789254417,2.965219317678334,6.731485312370708,14,419.82220779316805,1.6737209696313453,1.2583516692310934,1.2202376963215988,2.910424501589197,1.2903480854991367,5.0,8.5,13.5,3.0,5.0
0.0,14,126,1200.0,29,23,5.0,3927.9353172528336,47.61918879023217,5.517002081887578,5.037931034482758,5.4668869415313885,3.0050952591936197,7.128671907323128,15,419.05283347046645,1.3274242348547824,1.250896852507077,1.2171168838096655,2.878605717665968,1.2576632027084942,5.5,5.5,19.0,3.0,6.5
0.0,36,49,1200.0,29,23,15.0,4164.135122742024,48.288281744578114,5.631505898681471,5.058620689655172,5.549490015802327,2.8437453847289915,8.764997931319819,15,418.9742649132658,1.3200722832951048,1.2533423652220437,1.2214576897713199,2.8517295353919954,1.2664233429737193,4.5,5.0,12.0,3.0,5.0
0.0,42,42,1200.0,29,23,45.0,4125.2233357468085,47.777786146515425,5.680083275503122,5.043103448275862,5.6615428817698605,2.7876236892630337,8.301613570541994,14,419.13888512172866,1.3300198568863049,1.251822645017435,1.2221882102855732,2.880143530655287,1.2692134457991004,4.5,5.0,12.0,3.0,5.0
0.0,12,147,1200.0,29,23,45.0,3852.287465697711,47.25344034879996,5.621096460791118,5.029310344827586,5.3397500359143795,2.976295968099247,7.027306578402979,16,419.5271481620869,1.3424419208474356,1.253019257295228,1.2161897951586138,2.857911382292731,1.2572967384104758,5.0,5.5,21.0,3.0,6.5
0.0,36,49,1200.0,29,23,40.0,4160.208602863413,48.28602968787413,5.6106870229007635,5.005172413793104,5.638557678494469,2.830084182543199,8.709143566404634,15,419.27187598855676,1.3222105387867567,1.2515592557963016,1.2204689217920461,2.860944206842815,1.2638008207021727,4.5,5.0,12.0,3.0,5.0
0.0,49,36,1200.0,29,23,50.0,4026.2729173410403,48.16598311890494,5.579458709229701,5.017241379310345,5.385002154862807,2.9087284005316794,7.923045097227968,15,419.7372342142745,1.3207317344383083,1.255800959277778,1.2330703794889537,2.8874747213494247,1.2730642230381246,4.0,5.0,11.0,3.0,5.0
0.0,21,84,1200.0,29,23,5.0,4060.9891286985844,48.0316082706862,5.56557945870923,5.0362068965517235,5.594023847148398,3.008049032639197,7.815473727761687,14,419.19813177655055,1.319229335086677,1.2544632479528879,1.2185370551701193,2.8769070088656954,1.2624769553330906,5.0,5.0,15.0,3.0,5.5
0.0,84,21,1200.0,29,23,30.0,4115.0033050689035,51.80894490533916,5.600277585010409,5.048275862068966,5.5049561844562565,3.539728252843007,7.3376086057095575,14,419.28381065167935,1.3711738312820954,1.278009461301317,1.2501214357286325,2.89278887615485,1.2776565996882938,4.0,5.0,9.0,3.0,4.5
0.0,84,21,1200.0,29,23,20.0,3908.67026129854,48.518877804719,5.517002081887578,4.872413793103448,5.356988938370924,2.9559887756609067,7.298303682250724,14,419.2766796193031,1.375165516843332,1.2599236137813525,1.24098616294787,2.906216034756888,1.280766866880886,4.0,5.5,10.5,3.0,5.0
0.0,126,14,1200.0,29,23,0.0,3848.8625526375445,46.63980169513105,5.721721027064539,4.970689655172414,5.601206723171958,2.7994387830453404,6.936284650393048,17,418.828183784044,1.5804052119849874,1.2590503830701607,1.218785570833044,2.8681379860844776,1.28059540996508,5.0,7.0,12.0,3.0,5.0
