time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,84,21,1200.0,87.9,5,50.0,851.650279884178,20.28265805972088,5.471894517696044,4.918965517241379,5.364171814394483,9.179220203810367,1.8762929251137774,0,757.5316436198981,1.1778124463483213,1.172199287695536,1.0269145206447476,2.2946405365782603,1.1771888005055855,3.0,3.0,3.0,3.0,3.0
0.0,63,28,1200.0,87.9,5,50.0,847.1028052818062,20.279532835527174,5.51353226925746,4.839655172413793,5.202557103864387,9.243464776251662,1.5473727761688043,0,757.5455043806082,1.178409425535048,1.1712263731141874,1.0266585057124877,2.2806309846967467,1.1777399507586028,3.0,3.0,3.0,3.0,3.0
0.0,49,36,1200.0,87.9,5,50.0,848.2593141397607,20.97286631403023,5.298403886190146,4.76551724137931,5.2937796293635975,9.304755575247379,1.5287546545304096,0,757.5452690539411,1.1775363161444876,1.1699259444252137,1.026474901827565,2.2646730210003185,1.1767255834337222,3.0,3.0,3.0,3.0,3.0
0.0,126,14,1200.0,87.9,5,50.0,852.3592834397568,19.08034255580984,5.5308813324080495,4.937931034482759,5.5042378968539,8.990917146654851,2.1472900289615224,0,757.5311887313261,1.177963796266472,1.1750214620986377,1.0274050848753125,2.3383424517344764,1.1779064694280574,3.0,3.0,3.0,3.0,3.0
0.0,98,18,1200.0,87.9,5,50.0,851.1207899246997,20.074393745740128,5.385149201943095,4.691379310344828,5.548053440597616,9.07620735489588,2.008688456764584,0,757.5396986680641,1.177562196450741,1.1744954174173656,1.0271956490434038,2.3139158894634946,1.1772377707583828,3.0,3.0,3.0,3.0,3.0
0.0,14,126,1200.0,87.9,5,50.0,827.0533676726762,32.760149624187896,5.645385149201943,4.412068965517242,4.813245223387445,9.964923940333776,0.8191973520893671,0,757.507331173481,1.2101158908617249,1.173186324442685,1.0282852516886627,2.461306042578788,1.1823314933053097,3.0,3.0,3.0,3.0,3.0
0.0,147,12,1200.0,87.9,5,50.0,845.465674186683,18.517633373228936,5.468424705065926,4.946551724137931,5.499209883637408,8.82624427706395,2.472072817542408,0,757.5358169593497,1.1782826596192928,1.1776467839482245,1.0281845011212485,2.3730830793485955,1.1790753877390359,3.0,3.0,3.0,3.0,3.0
0.0,18,98,1200.0,87.9,5,50.0,835.6021954954867,20.74092733763128,5.41290770298404,4.729310344827587,4.981324522338745,9.368630926007976,0.8647083160943317,0,757.5375665573187,1.1924680687784122,1.1705629007242915,1.0270865785366927,2.3540826312950887,1.1798279366159345,3.0,3.0,3.0,3.0,3.0
0.0,28,63,1200.0,87.9,5,50.0,843.1214058466552,20.755622038735243,4.850798056904927,4.7362068965517246,5.190346214624335,9.31730911239108,1.3198179561439802,0,757.5324541020337,1.1806072667327212,1.1702079983550768,1.026975342720397,2.282908093492381,1.1774333955957832,3.0,3.0,3.0,3.0,3.0
0.0,12,147,1200.0,87.9,5,50.0,828.3882371158063,19.282453792740597,6.020124913254684,4.572413793103449,4.936072403390317,9.191035297592673,0.7695490277203144,0,757.5601935463316,1.2199822007957144,1.1712033123556502,1.030711764256612,2.507573935015387,1.1885015124469491,3.0,3.0,3.0,3.0,3.0
0.0,42,42,1200.0,87.9,5,50.0,846.6949266848669,20.4263321199078,5.163081193615545,4.798275862068965,5.260738399655222,9.2512184315463,1.5411667356226728,0,757.5334335598254,1.1791926525839778,1.1701469221698204,1.0264915348805568,2.27609337139435,1.1768148667424232,3.0,3.0,3.0,3.0,3.0
0.0,21,84,1200.0,87.9,5,50.0,836.6430760563115,20.571515959323268,4.816099930603747,4.968965517241379,5.015802327251832,9.308817013735046,1.0839884153909807,0,757.5396751130716,1.1817830215037728,1.1702480475110302,1.0264364598969071,2.279169795250863,1.1768939739715425,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,87.9,5,50.0,846.3891006858171,20.55591942720071,5.208188757807078,4.686206896551724,5.225542307139778,9.35792349726776,1.3198179561439802,0,757.5422292182429,1.1795905543272616,1.1697934535305894,1.0264705126472944,2.2744538335352074,1.1769657571465217,3.0,3.0,3.0,3.0,3.0
