time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,22,550.0,26,25,50.0,3543.178109576287,36.170778849231525,0.8015267175572519,2.993103448275862,1.596035052434995,2.2371141633436715,3.3947041787339676,68,213.17702632317003,4.4417900977364235,1.2459604439952106,1.172015470822358,1.4796568503756207,1.3074226879907034,17.0,7.0,11.0,4.0,7.0
0.0,72,22,550.0,41,25,50.0,3998.227403238565,44.31447674459164,1.6238723108952118,2.8620689655172415,2.297083752334435,2.6886722788362136,3.808440215142739,20,249.7308544518594,2.851864186702868,1.461584789848564,1.2234743473793455,1.5190858994685192,1.2724960507151464,12.0,7.0,12.0,4.0,7.0
0.0,72,22,550.0,56,25,50.0,3543.74890572794,46.00583861165161,2.126995142262318,2.6827586206896554,2.5104151702341615,2.7093486929552504,3.537443111294994,0,256.20523249305865,1.853123174815014,1.7152692963604612,1.3526774095309695,1.4749013352478364,1.272494421077196,8.5,8.5,13.0,4.0,7.0
0.0,72,22,550.0,164,25,50.0,2897.600738833609,27.781002405608056,0.31228313671061764,2.593103448275862,0.9201264186180147,1.750479988184906,3.8849813818783616,98,194.88187271494436,4.910646093177853,1.1598010956161509,1.143301160554094,1.4913756079660128,1.3051068188707515,14.0,6.0,10.5,3.0,6.5
0.0,72,22,550.0,116,25,50.0,3278.0577289202006,45.43682527780387,2.356002775850104,2.4551724137931035,2.381841689412441,2.700118150937823,3.2354158047165913,0,245.16435874687858,1.4286654677448243,1.8212633901125517,1.5667594132252805,1.4693792999314443,1.3031868339893335,8.0,10.0,14.0,4.0,7.0
0.0,72,22,550.0,14,25,50.0,2777.2766636029683,25.50388151404217,0.22900763358778628,2.543103448275862,0.8044821146387012,1.6061143110323437,3.841539098055441,106,186.58978711351673,4.8429319679895295,1.1632954054061861,1.1447556414543483,1.530916026529077,1.2931589610345018,14.0,6.0,10.0,3.0,6.0
0.0,72,22,550.0,83,25,50.0,2841.533442851429,41.02391489213613,2.390700902151284,2.1879310344827587,1.904180433845712,2.532122286220647,2.6954902772031444,0,228.33837659431975,1.1945235928414477,1.977016362285231,1.9825832454850287,1.4897044291567343,1.6761622477042817,6.0,12.0,17.0,4.0,8.0
0.0,72,22,550.0,149,25,50.0,3796.29150497778,39.48198387877069,1.2526023594725886,2.894827586206896,1.8345065364171815,2.474523704031901,3.3512618949110466,53,224.02292955758932,3.6485871966298737,1.331538559253032,1.1947927545161048,1.4883054810790035,1.2842697937870584,14.0,7.0,12.0,4.0,7.0
0.0,72,22,550.0,101,25,50.0,2850.5371284291236,41.85393426853652,2.4149895905621097,2.262068965517241,1.97600919408131,2.5572293605080487,2.6479106330161355,0,229.18704771660825,1.2050024885527728,1.9752982802808159,1.9299151514168074,1.4933496603721337,1.5928177522603946,6.0,12.0,17.0,4.0,8.0
0.0,72,22,550.0,134,25,50.0,3928.139311019598,50.487112149934234,1.8806384455239418,3.3017241379310343,2.797011923574199,2.998449268941072,3.438146462556889,8,258.4624286450033,2.5554178120764295,1.4899115801719605,1.2409166528893978,1.4843628943183362,1.267604216822422,12.0,7.5,12.0,4.0,7.0
0.0,72,22,550.0,86,25,50.0,2855.973905657944,41.985613610556086,2.4843858431644694,2.363793103448276,1.9903749461284297,2.5572293605080487,2.581712867190732,0,227.70784219307424,1.1903376616781294,1.9995201023628688,2.010848179034369,1.4993083704816774,1.7319010450958183,6.0,12.5,18.0,4.0,8.0
0.0,72,22,550.0,44,25,50.0,3999.4218419144177,43.02190966364059,1.7349063150589867,2.7258620689655175,2.238184168941244,2.6177817161423715,3.740173769135292,11,255.954806178634,2.655054346034508,1.4531429381028107,1.2356040428514894,1.4981065395694813,1.2738594780565773,12.0,7.0,12.0,4.0,7.0
0.0,72,22,550.0,71,25,50.0,3127.854248856336,42.74052123603445,2.501734906315059,2.189655172413793,2.1606091078867977,2.5719982277359326,2.8485726106743896,0,235.071872104519,1.2729601256171645,1.912610573962523,1.752717358998281,1.499632916183006,1.3946692019439269,7.0,11.0,15.0,4.0,7.0
0.0,72,22,550.0,11,25,50.0,2514.655950340236,21.860750657392895,0.19083969465648853,2.2913793103448277,0.6766269214193363,1.3531974597548369,3.5622672734795198,115,170.68932594417498,5.832649205738777,1.1774262518388905,1.1546572226835687,1.6183790251631769,1.3297816359095453,16.0,6.0,11.0,3.0,6.0
0.0,72,22,550.0,29,25,50.0,3799.182869185193,39.1074910455047,1.058292852185982,3.0189655172413796,1.7957190058899584,2.413971348397578,3.5684733140256517,59,220.00277286441053,3.7919924281707713,1.2822216689790464,1.1840685799089354,1.4826421706246267,1.2904884502143845,15.0,7.0,11.0,4.0,7.0
0.0,72,22,550.0,59,25,50.0,3491.318689525604,45.467033013796986,2.3039555863983345,2.6293103448275863,2.485275104151702,2.650273224043716,3.4195283409184944,0,252.99822107727735,1.7229239390636835,1.7571563648280866,1.425893935046317,1.4625356417925184,1.2739459470141354,8.0,9.0,13.0,4.0,7.0
