time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,40,132,340.0,53,17,40.0,7483.30762755648,67.87732653290959,3.6641221374045805,4.627586206896551,4.548197098118086,3.6006498301580265,9.72693421597021,2,370.9770343608065,1.613368138207305,1.0933650624397893,1.091548855190931,1.1827063796263095,1.109527053903812,19.0,9.0,26.5,3.5,15.0
0.0,440,12,340.0,53,17,35.0,7962.541646865787,67.60952280173723,2.7133934767522554,4.613793103448276,4.66743284010918,3.768276473194506,9.333884981381878,2,367.82948460273053,5.9167133023295095,4.685694542020959,1.6875898219619043,1.2170882445334874,1.403290351745256,23.0,18.0,12.0,3.0,6.0
0.0,22,240,340.0,53,17,40.0,6986.032919537159,59.60198035333124,3.3795975017349065,4.789655172413793,3.9117942824306855,3.051617190961453,9.75382705833678,2,370.6407195394344,1.7570106086580064,1.1044942384068315,1.0957826176241487,1.2106957455506233,1.126966998122108,30.25,8.0,40.0,4.0,23.0
0.0,88,60,340.0,53,17,35.0,7428.7564832778135,68.48648050578973,3.431644691186676,4.760344827586207,4.322654790978308,3.6036036036036037,9.884153909805544,2,370.96609109731094,1.5960047440562763,1.1399196526310453,1.1227797571920404,1.185268627861737,1.1204833049126641,13.0,11.5,23.5,3.0,10.0
0.0,44,120,340.0,53,17,20.0,7506.116084542971,69.20721232487908,3.789035392088827,4.786206896551724,4.502944979169659,3.579604194358293,10.126189491104675,2,371.17422016370955,1.605894092205086,1.0904736193318103,1.0895204585760498,1.1835405833330455,1.1086043543651556,18.0,9.0,25.0,3.0,14.0
0.0,330,16,340.0,53,17,30.0,7915.338449353186,68.58966561599593,2.994448299791811,4.401724137931034,4.806062347363885,3.8280903854674344,9.412494828299545,2,371.64236462521905,3.3431135860444083,2.6097225353466005,1.4006310537606073,1.1998989357864032,1.2599450337376328,17.0,14.0,12.0,3.0,6.0
0.0,88,60,340.0,53,17,40.0,7408.037701776472,68.14565762399806,3.334489937543373,4.703448275862069,4.373653210745583,3.5759119775513213,9.780719900703351,2,370.9462705539829,1.5958241576281051,1.1579825939723374,1.1285654279787405,1.1861810683607474,1.1229168072329956,13.75,11.5,23.0,3.0,10.0
0.0,120,44,340.0,53,17,25.0,7342.826210395581,68.06550906198329,3.428174878556558,4.836206896551724,4.30254273811234,3.5460050214148575,9.83450558543649,2,371.04936061433733,1.623853412739546,1.1809068131037894,1.1460201245185397,1.1854545183015293,1.1315122118019714,13.0,12.0,22.0,3.5,9.0
0.0,440,12,340.0,53,17,30.0,7844.394988965237,67.43068181587574,2.6995142262317833,4.517241379310344,4.576928602212326,3.776768571850539,9.292511377741002,2,366.78938934558323,5.483891991679833,4.301180070748323,1.7006511723662565,1.2224536627944578,1.4529340163400972,23.0,19.0,13.0,3.0,6.0
0.0,48,110,340.0,53,17,0.0,7494.997597752285,68.25568391767047,3.573907009021513,4.744827586206896,4.451946559402384,3.519421060404667,10.086884567645841,2,371.30572215129285,1.5891219333051847,1.0909050872816317,1.0885349928594725,1.1835855172593273,1.1072266536628206,17.0,10.0,24.0,3.0,13.0
