time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,28,120,525.0,53,25,0.0,5934.990181715933,62.34863614017182,3.1540596807772383,4.25,3.8909639419623616,3.4208388716585434,7.238311956971452,2,325.4430480861795,1.7533876929249246,1.1588891064531728,1.1341740938495832,1.3879543317149745,1.182218582261644,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,50.0,5913.606537672349,61.77802996354149,3.1020124913254685,4.181034482758621,3.852894699037494,3.3942549106483533,7.223831195697144,2,325.4507383941773,1.7621624354198806,1.1613070014572004,1.1365298728012476,1.3892548376342921,1.1828588522848476,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,5.0,5931.178947539393,62.1980553730635,3.1540596807772383,4.251724137931035,3.9046114064071253,3.3972086840939304,7.269342159702111,2,325.3670059153513,1.7543801828017822,1.1588823865128892,1.1342569087099648,1.3873635319387672,1.182004704603263,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,25.0,5958.1746422363085,62.202615972576055,3.126301179736294,4.231034482758621,3.9038931188047696,3.411977551321814,7.296235002068681,2,325.480715322871,1.755416755310848,1.1593094435713565,1.1345826985845253,1.3869111299344867,1.1820953539270995,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,30.0,5945.470844204779,62.21003120889005,3.1540596807772383,4.198275862068965,3.9046114064071253,3.418254319893664,7.234174596607365,2,325.36554074983894,1.7569899617524276,1.1596495725037,1.1349415802979927,1.3872135120358131,1.1821187454772926,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,20.0,5956.831320347847,61.79894241872279,3.070784177654407,4.274137931034483,3.910357707225973,3.3669325062767688,7.194869673148531,2,325.2684899786452,1.7549832517714727,1.159445919310644,1.1344551273288115,1.3869111299344867,1.1825948280232568,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,40.0,5928.165425618344,62.25564657445419,3.178348369188064,4.139655172413794,3.9024565436000573,3.417885098212967,7.269342159702111,2,325.2512239258711,1.7603182126713648,1.1604076961320409,1.1357076479526895,1.3892054752801453,1.1830783099728281,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,15.0,5956.665614156804,62.06027259069259,3.140180430256766,4.256896551724139,3.8974285303835656,3.3883473637572,7.242449317335541,2,325.22910168758665,1.7551841800454109,1.1592491394475783,1.1344281350686842,1.3866511451185741,1.182500969235963,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,10.0,5940.094397654314,62.11049774015671,3.1089521165857046,4.212068965517242,3.9211320212613128,3.397577905774627,7.234174596607365,2,325.2809901266102,1.752728140338208,1.1589378282199863,1.134426902396806,1.3869111299344867,1.1818114352160523,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,45.0,5915.090376371751,62.20599763782842,3.2338653712699514,4.222413793103448,3.8579227122539868,3.419361984935755,7.234174596607365,2,325.40522246795587,1.7612174644519323,1.1611294857952594,1.136116277112441,1.3892548376342921,1.1835767353104445,18.0,8.0,23.0,4.0,14.0
0.0,28,120,525.0,53,25,35.0,5936.486516278411,62.03061285415624,3.147120055517002,4.172413793103448,3.8665421634822583,3.4212080933392413,7.221762515515101,2,325.1522567805041,1.7582531893094957,1.1601631359390385,1.1352594548620543,1.3869827398917212,1.1831079485416653,18.0,8.0,23.0,4.0,14.0
