time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,40,33,1325.0,50.88,10,50.0,2145.7163102729432,49.54904513445291,7.0922970159611385,7.56896551724138,7.947134032466599,8.31856446610545,5.548200248241622,0,603.7967301820181,1.205888902129453,1.1982670337651653,1.0946634391243752,2.4739126576552293,1.204527100155676,3.0,3.0,3.0,3.0,3.0
0.0,33,40,1325.0,50.88,10,50.0,2173.6430000106097,50.08370421413332,7.404580152671755,7.567241379310345,8.072834362878897,8.428223305272486,5.711625982623087,0,603.7002663542677,1.2060020519874697,1.1980728624351054,1.092464755887197,2.4684288088088597,1.2045593692632777,3.0,3.0,3.0,3.0,3.0
0.0,44,30,1325.0,50.88,10,50.0,2155.8382780776597,49.83532526079747,6.943095072866065,7.636206896551724,7.990949576210314,8.341825431989367,5.44476623913943,0,603.7210768965584,1.2061226135277896,1.197999391609172,1.0949543141251885,2.486533023399462,1.2046735774342874,3.0,3.0,3.0,3.0,3.0
0.0,15,88,1325.0,50.88,10,50.0,2097.451439141387,49.18986738933969,6.672449687716863,7.408620689655172,7.684240770004309,8.331856446610544,5.326851468762929,0,603.720296435829,1.2063291899168767,1.1981086122754179,1.0918970968256767,2.5014186802999605,1.2048340041179877,3.0,3.0,3.0,3.0,3.0
0.0,30,44,1325.0,50.88,10,50.0,2167.0380951472935,50.06626100129876,7.470506592643996,7.694827586206896,8.00603361585979,8.457391818047556,5.637153496069508,0,603.7074114988412,1.2055474476934454,1.1977789677140032,1.0922381152941543,2.465301975525402,1.2039658423062078,3.0,3.0,3.0,3.0,3.0
0.0,11,120,1325.0,50.88,10,50.0,2062.036005367175,48.592573001805725,6.551006245662734,7.2620689655172415,7.532682085907197,8.174568010633584,4.979313198179561,0,603.5737229942076,1.2118434524636938,1.1993812656693423,1.0922080531166767,2.5198713168430955,1.2056512880964654,3.0,3.0,3.0,3.0,3.0
0.0,55,24,1325.0,50.88,10,50.0,2191.2318022651484,50.189213232613604,6.960444136016656,7.755172413793103,8.019681080304554,8.482868114015655,5.490277203144394,0,603.6416495640665,1.206765013855779,1.1982964210840317,1.0938557697487046,2.4789623408921555,1.2046928368724625,3.0,3.0,3.0,3.0,3.0
0.0,12,110,1325.0,50.88,10,50.0,2064.4368821803614,48.71426438144299,6.5232477446217905,7.346551724137932,7.506823732222381,8.192290651307045,5.153082333471246,0,603.8338541985906,1.208909445164289,1.1995958009637202,1.0921685472149645,2.5165860297458464,1.2055429024682032,3.0,3.0,3.0,3.0,3.0
0.0,24,55,1325.0,50.88,10,50.0,2161.1222667038705,49.85379661516106,7.0784177654406655,7.701724137931035,8.039074845568166,8.414192881405997,5.548200248241622,0,603.6945994244089,1.2057713013254416,1.1975894892736711,1.0923168856874121,2.4735864121438067,1.2046050248031357,3.0,3.0,3.0,3.0,3.0
0.0,88,15,1325.0,50.88,10,50.0,2271.2941288362967,51.05548881466678,7.314365024288688,7.844827586206897,8.318488722884643,8.644587210160982,6.005378568473314,0,603.7606414495617,1.2055907708887172,1.2002143981873363,1.0947975785115394,2.4749528183231098,1.204208684351936,3.0,3.0,3.0,3.0,3.0
