time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,18,610.0,38,14,50.0,3619.2491421274813,31.959392515006655,7.876106194690266,5.2141802067946825,7.633365664403493,3.995281163979552,12.380546075085325,1,173.33036788431693,1.1258555303328395,1.112842017021709,1.1616254954094858,1.4902163669550286,1.1195323827707453,4.0,4.0,9.0,3.0,4.0
0.0,81,16,610.0,38,14,50.0,3717.0192384473617,33.17725059099812,7.831858407079646,5.073855243722305,7.274490785645005,4.591034211561149,11.424914675767917,1,173.25200909842675,1.1385511136197592,1.114893256659377,1.1653668140455606,1.4930190252632158,1.1204309015939429,4.0,4.0,8.0,3.0,4.0
0.0,48,27,610.0,38,14,50.0,3192.491505176977,26.835541798477934,7.6991150442477885,5.288035450516987,7.410281280310378,3.022021234762092,11.723549488054609,1,173.7017976856725,1.1574298180248568,1.121154052621726,1.1642208573735395,1.5091685625950084,1.1222444610385078,4.0,5.0,11.0,3.0,4.5
0.0,108,12,610.0,38,14,50.0,3941.65233175899,33.701189691341895,6.991150442477877,4.933530280649926,7.2017458777885555,5.04915454187967,11.868600682593856,1,173.25199068257666,1.2094390952592837,1.118709958547017,1.1686506429865786,1.4923809208160588,1.1240738697066714,4.0,4.0,7.0,3.0,4.0
0.0,27,48,610.0,38,14,50.0,3340.8614464442962,26.824920894055015,7.920353982300885,4.549483013293944,7.424830261881668,2.9158474243020054,13.19112627986348,1,173.245863661099,1.1440369210286898,1.1044866199485825,1.1275917154939983,1.5019747597801085,1.111683160988152,4.5,5.0,13.0,3.0,5.0
0.0,36,36,610.0,38,14,50.0,3311.5844251322687,26.859763508955037,8.053097345132745,4.453471196454948,7.584869059165858,2.9630357845064887,12.926621160409557,1,173.29545797665938,1.1425306396786445,1.105205279220298,1.1323924518117985,1.4860932633038892,1.113280311512189,4.0,5.0,12.0,3.0,5.0
0.0,18,72,610.0,38,14,50.0,3275.497536687908,26.350197193785696,7.6991150442477885,4.859675036927622,7.492725509214355,2.961069602831302,12.013651877133105,1,173.3713652603001,1.1427727440412094,1.1014930253009214,1.1251765056099334,1.4914751137176239,1.1119279788302752,4.0,5.0,14.5,3.0,5.0
0.0,24,54,610.0,38,14,50.0,3372.16776751456,26.84569152144939,8.584070796460178,4.542097488921713,7.880698351115421,2.9433739677546202,12.986348122866895,1,173.49950261569862,1.1384856474473717,1.100797969768277,1.1268437570447487,1.5040676016282972,1.109490206178192,4.0,5.0,13.0,3.0,5.0
0.0,16,81,610.0,38,14,50.0,3218.6829761534764,25.550330492130357,8.36283185840708,5.051698670605613,7.318137730358874,2.856861974046402,11.834470989761092,1,173.03448361491934,1.1356053720903925,1.1019718688217546,1.125854597444864,1.4997913015139737,1.1135470412672235,5.0,5.0,15.0,3.0,6.0
0.0,54,24,610.0,38,14,50.0,3327.221600959026,27.311588695332862,7.831858407079646,5.443131462333826,7.497575169738119,3.069209594966575,11.877133105802047,1,173.5431955885535,1.134749985124698,1.1159240369854393,1.1696108682721733,1.524713550379881,1.1194700773539035,4.0,5.0,10.0,3.0,4.0
0.0,12,108,610.0,38,14,50.0,3057.19587239797,24.60637124367439,8.4070796460177,5.147710487444609,7.255092143549952,2.5285096342902085,11.305460750853243,1,173.41265745797227,1.1444358400200971,1.1030839208006114,1.1270662061828376,1.5081852533088573,1.1214379751422812,5.0,5.5,18.0,3.0,6.0
