time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,36,760.0,42,35,50.0,2504.676563024452,18.79654828388817,1.0176991150442478,2.274741506646972,1.6537342386032976,1.081399921352733,6.518771331058021,3,104.5006179167392,2.373229535794227,1.2844177354171498,1.2246382229926698,1.7273530369113732,1.3556482830446532,9.0,7.0,15.0,4.0,7.0
0.0,36,36,530.0,42,35,50.0,1756.8594020655084,12.829653953760085,0.7522123893805309,1.3072378138847858,0.9020368574199806,0.6901297679905622,3.933447098976109,4,74.32123514713037,2.7300907541728936,1.2357682268431587,1.1925956332795837,1.7213003313288067,1.3801021777043672,12.0,8.0,16.0,5.0,8.0
0.0,36,36,810.0,42,35,50.0,2633.574815519294,19.448043826853244,1.7699115044247788,2.348596750369276,1.988360814742968,1.1187573731812819,6.996587030716723,3,109.64323718677943,2.381583493139759,1.2898514145123303,1.2329241255216496,1.7838256757158317,1.3572682303464758,9.0,7.0,15.0,4.0,7.0
0.0,36,36,710.0,42,35,50.0,2405.3898819462624,17.931594872762986,1.2831858407079646,2.274741506646972,1.629485935984481,1.008651199370822,5.546075085324232,3,99.05721972602474,2.5426392069543744,1.2751545014303685,1.2158215787165236,1.704398927848096,1.3532495850560093,10.0,7.0,15.0,4.0,7.0
0.0,36,36,660.0,42,35,50.0,2247.9109540686754,16.610851197699816,1.0619469026548671,1.8316100443131464,1.4645974781765276,0.9142744789618561,5.23037542662116,3,92.64168935052236,2.577026178050215,1.2615323749689455,1.210891555123355,1.710583408490991,1.3467216726490583,10.0,7.0,15.0,5.0,7.0
0.0,36,36,850.0,42,35,50.0,2736.7053934835358,23.883016868759068,1.9026548672566372,2.828655834564254,2.405431619786615,1.7931576877703501,4.709897610921502,3,113.62697232613296,2.352094895556404,1.2965019234662296,1.2402401149132811,1.827745978234776,1.355818352273117,9.0,7.0,15.0,4.0,7.0
0.0,36,36,550.0,42,35,50.0,1844.0817523745097,13.097464437504557,0.6194690265486725,1.5435745937961594,1.0572259941804074,0.6763664962642548,3.9419795221843,4,77.73205253533003,2.690511902718225,1.2386397730133925,1.191649982833591,1.722588178682447,1.3695351095028458,12.0,8.0,16.0,5.0,8.0
0.0,36,36,740.0,42,35,50.0,2466.31756467634,18.42699885335253,1.1946902654867257,2.2821270310192023,1.6682832201745879,1.0715690129767992,5.895904436860068,3,102.03931759075492,2.4945912362187572,1.283493814670973,1.2212228895251966,1.7317554046015302,1.3605007475936353,9.0,7.0,15.0,4.0,7.0
0.0,36,36,770.0,42,35,50.0,2523.1344428834323,19.49678399971665,1.1504424778761062,2.3116691285081243,1.7458777885548011,1.1482500983090838,6.544368600682595,3,105.70230083055525,2.3793393007030366,1.285158854070993,1.2257297692210065,1.7362426268284517,1.3554414502068934,9.0,7.0,15.0,4.0,7.0
0.0,36,36,830.0,42,35,50.0,2669.310305498862,19.69791031298895,1.5486725663716814,2.3707533234859675,1.9786614936954414,1.1679119150609516,7.406143344709898,3,111.53937172971261,2.35582700802652,1.2929923410231279,1.2360690763972952,1.8062396001134209,1.354543802969007,9.0,7.0,15.0,4.0,7.0
