time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,28,28,590.0,38,11,5.0,2591.333372966008,22.0992502224639,9.336283185840708,4.438700147710487,7.575169738118332,2.8175383405426664,10.264505119453924,0,169.42816841345106,1.1142079179789097,1.0876188744394617,1.1171174957315482,1.5319030363984143,1.1000072825960334,3.5,4.0,10.0,3.0,4.0
0.0,49,16,590.0,38,11,20.0,2474.4419217745194,22.064751822088915,9.646017699115045,4.3205317577548,7.196896217264792,2.966968147856862,9.402730375426621,0,169.64122768586532,1.1058531770415054,1.091555964810307,1.123301239537276,1.5012843224076793,1.102020979346325,3.5,5.0,10.0,3.0,4.0
0.0,16,49,590.0,38,11,20.0,2528.1855226395796,22.506974929954783,9.557522123893806,4.025110782865584,7.565470417070805,3.069209594966575,8.92491467576792,0,169.57101741514558,1.0965600413660728,1.0859899341989636,1.1137457590541078,1.4828607634433002,1.096571943080019,3.5,4.0,10.5,3.0,4.0
0.0,56,14,590.0,38,11,5.0,2421.5088327184985,21.517107578205138,9.115044247787612,4.357459379615953,7.647914645974782,2.71726307510814,8.651877133105803,0,169.68399742758552,1.1081108874285697,1.0913157863059386,1.116971247985013,1.5275151616012188,1.103552800399713,4.0,5.0,9.5,3.0,4.0
0.0,56,14,590.0,38,11,10.0,2422.771358077431,21.54300893789044,9.070796460176991,4.2171344165435745,7.560620756547041,2.848997247345655,8.540955631399317,0,169.72203380984266,1.107344573263527,1.0915989955918477,1.1201487878724994,1.5286214981368356,1.10281478454808,4.0,5.0,9.0,3.0,4.0
0.0,28,28,590.0,38,11,20.0,2595.9436589728393,22.286254086544105,9.336283185840708,4.579025110782865,7.526673132880698,2.862760519071962,9.735494880546074,0,169.47042524970095,1.0982759181127137,1.0871825233439552,1.1169595275723967,1.5122927207894485,1.0971709351769343,3.5,4.0,10.0,3.0,4.0
0.0,49,16,590.0,38,11,35.0,2535.595812565206,23.815491657943454,10.221238938053096,4.364844903988184,7.095053346265762,3.3051513959889895,8.848122866894197,0,169.57904440652158,1.1053112156141756,1.0928915850461076,1.1435727399754743,1.4961341335841039,1.1001529900783051,3.5,4.0,8.0,3.0,4.0
0.0,14,56,590.0,38,11,35.0,2485.069251040427,22.244899122576804,9.20353982300885,4.268833087149187,7.371483996120272,2.990562327959103,8.711604095563139,0,169.45754677957902,1.1044162309971377,1.0847712419744973,1.1145779252864894,1.4953947527125164,1.0975952266596083,3.5,4.0,11.0,3.0,4.0
0.0,14,56,590.0,38,11,15.0,2482.3835080263293,22.31026611546215,8.849557522123893,4.468242245199409,7.521823472356935,2.9237121510027526,8.839590443686006,0,169.59197585881353,1.1048609089783639,1.086505031029308,1.114452754665452,1.5009750061111828,1.098143895336264,4.0,4.0,11.0,3.0,4.0
0.0,16,49,590.0,38,11,15.0,2518.173448197961,22.179676834908594,9.513274336283185,4.054652880354505,7.5460717749757515,3.0456154148643333,8.728668941979523,0,169.49686561121078,1.0965600413660728,1.0859996910132206,1.1138449667784425,1.4837613922406812,1.0974427868417072,3.5,4.0,10.5,3.0,4.0
