time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,49,1200.0,41,20,10.0,3816.4103792765427,27.282644152718742,17.25663716814159,9.239290989660267,14.083414161008728,3.3759339362957137,18.438566552901023,0,207.83106835439756,1.2543847365501348,1.2084920105164472,1.2070637084344351,2.305232628910005,1.2239205429352202,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,35.0,3787.798548096,27.355447771247825,17.079646017699115,9.379615952732644,13.967022308438409,3.3110499410145495,18.18259385665529,0,207.7940154869485,1.2604125080205462,1.2063686659442656,1.2073381732748625,2.304083335111686,1.2230539882944542,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,20.0,3804.613891814721,27.208778451183235,16.68141592920354,9.30576070901034,14.345295829291949,3.350373574518285,17.781569965870307,0,207.82782378667142,1.2548360789798376,1.2076706599321627,1.2068694705304788,2.304083335111686,1.2239205429352202,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,15.0,3816.6325551711775,27.170083495459302,17.56637168141593,9.527326440177253,13.865179437439378,3.407392843098702,18.43003412969283,0,207.84910417928933,1.2557224919863224,1.208307684222727,1.2065359909150577,2.304083335111686,1.2239205429352202,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,5.0,3836.3759857823325,27.949370783767087,18.09734513274336,9.32791728212703,13.874878758486906,3.5823830121903266,18.310580204778155,0,207.79804645430437,1.2537942288191124,1.2091001875364313,1.2074072620464422,2.3049988499546927,1.2247582753117738,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,0.0,3831.875245195833,27.62318725303784,16.327433628318584,9.290989660265879,13.899127061105723,3.543059378686591,18.47269624573379,0,207.78858376576102,1.2536070730051616,1.2093401129802512,1.207848947261791,2.304083335111686,1.22465024917589,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,40.0,3794.7406454132006,27.545656197976115,16.460176991150444,9.438700147710486,13.928225024248302,3.3759339362957137,17.977815699658702,0,207.8070748620411,1.2600710680796336,1.2064476730225766,1.2078168229097503,2.30327970794343,1.222665795339516,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,30.0,3772.61901330627,27.28005982897882,17.831858407079647,9.586410635155096,13.933074684772064,3.2874557609123083,18.080204778156997,0,207.85221732802316,1.2548660973703942,1.2062730600111133,1.2070646451095641,2.304083335111686,1.2232327524764113,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,50.0,3776.052872550208,27.44325622775488,16.371681415929203,9.261447562776958,14.02521823472357,3.460479748328746,17.679180887372013,0,207.84441060397566,1.2604812136310672,1.2061385787148116,1.2084439373131302,2.30327970794343,1.221266566198591,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,45.0,3795.3705068833233,27.46418847508884,16.283185840707965,9.593796159527326,13.962172647914645,3.4211561148250103,17.781569965870307,0,207.8470364091019,1.2600943741004573,1.2066396949852105,1.2080513697578257,2.30327970794343,1.2212471601550996,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,25.0,3792.298901180729,27.277120626579137,16.858407079646017,9.283604135893649,14.23375363724539,3.3995281163979554,17.841296928327647,0,207.83110746542357,1.2541902387217663,1.2061385787148116,1.2068018124099449,2.304083335111686,1.2236863762678813,3.0,4.0,12.0,3.0,3.0
