time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,126,14,1200.0,87.9,5,50.0,727.517668929533,7.457142753012584,14.07079646017699,10.886262924667651,10.98933074684772,15.959496657491151,3.5324232081911258,0,323.7596625623419,1.2289179618154917,1.1815184169549835,1.0189300680183768,2.3601321417880796,1.2134330184386901,3.0,3.0,3.0,3.0,3.0
0.0,63,28,1200.0,87.9,5,50.0,707.6396668101223,7.611157291715982,14.15929203539823,10.406203840472674,10.300678952473326,15.723554856468738,3.0972696245733786,0,323.75467898989183,1.2305911274146482,1.1742531703742887,1.0183519928876639,2.3210433650510023,1.208608673825203,3.0,3.0,3.0,3.0,3.0
0.0,18,98,1200.0,87.9,5,50.0,692.2239579499795,7.232465679686322,14.557522123893804,10.34711964549483,8.976721629485935,15.947699567440033,1.9795221843003412,0,323.7558951091693,1.256532490931197,1.1733748817645282,1.018879005066498,2.382969760005735,1.2136798210611086,3.0,3.0,3.0,3.5,3.0
0.0,28,63,1200.0,87.9,5,50.0,704.6011568366962,7.9364832942860675,12.168141592920353,10.16248153618907,10.16003879728419,15.947699567440033,2.4914675767918086,0,323.7527082612534,1.2375505868190282,1.1725806261879856,1.0185101174279065,2.330311505483837,1.2099446778636933,3.0,3.0,3.0,3.0,3.0
0.0,21,84,1200.0,87.9,5,50.0,696.1257100127169,7.801097149492617,11.5929203539823,10.384047267355982,9.922405431619786,15.896578843885175,2.0904436860068256,0,323.7521844680813,1.237131547092385,1.173443281475062,1.018052275365397,2.3357599481776212,1.2079955157209943,3.0,3.0,3.0,3.0,3.0
0.0,14,126,1200.0,87.9,5,50.0,691.7785226486037,7.670911855966159,13.31858407079646,10.17725258493353,9.46168768186227,15.829728666928824,1.953924914675768,0,323.75420256564365,1.2405394524486923,1.1790925466353732,1.0206589237453128,2.4941619654610623,1.221574758245575,3.0,3.0,3.0,3.0,3.0
0.0,84,21,1200.0,87.9,5,50.0,715.9199972467451,7.618895796608893,14.513274336283185,10.760709010339733,10.761396702230844,15.640975226110893,3.6177474402730376,0,323.7571817611804,1.2305911274146482,1.1772449656239137,1.0189073709043457,2.345479383437862,1.2094916627806835,3.0,3.0,3.0,3.0,3.0
0.0,147,12,1200.0,87.9,5,50.0,716.3350979477212,7.522381548473192,14.734513274336283,10.5096011816839,11.06207565470417,15.4463232402674,4.180887372013651,0,323.7654369384536,1.2349002831137825,1.18898247557504,1.0199560605855356,2.413599391678506,1.2158530531268408,3.0,3.0,3.0,3.0,3.0
0.0,12,147,1200.0,87.9,5,50.0,672.2052254521565,7.237275755638442,12.345132743362832,10.00738552437223,9.43258971871969,15.119937082186393,1.911262798634812,0,323.7640341824266,1.2840879095601156,1.180185451553027,1.0224911042997937,2.545379402849467,1.2236117110975857,3.0,3.0,3.0,3.0,3.0
0.0,42,42,1200.0,87.9,5,50.0,705.4394987072061,7.887069712698773,13.23008849557522,10.295420974889218,10.252182347235692,15.67833267793944,2.986348122866894,0,323.7496672584373,1.2363197457238115,1.173443281475062,1.0178796497130695,2.334704630589556,1.2089095113727488,3.0,3.0,3.0,3.0,3.0
0.0,49,36,1200.0,87.9,5,50.0,708.4086781143889,7.2335760733208065,14.026548672566372,10.280649926144756,10.150339476236663,15.812033031852144,3.1655290102389078,0,323.7456488417097,1.2292168628265514,1.1726283463846552,1.018475007248337,2.3391927442492433,1.2091468618482488,3.0,3.0,3.0,3.0,3.0
0.0,98,18,1200.0,87.9,5,50.0,724.6902087916634,7.837395138517175,13.716814159292035,10.68685376661743,10.809893307468476,15.9673613841919,3.5921501706484644,0,323.75245865395425,1.229917931577559,1.1789261706584262,1.018519804200981,2.365351043552537,1.2092954176970636,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,87.9,5,50.0,704.3935484552067,7.226965825264528,13.23008849557522,10.376661742983751,10.053346265761396,15.810066850176957,2.7474402730375425,0,323.75043057040125,1.2343754126940716,1.1746100075719823,1.018210488241595,2.325655592288202,1.208308899862212,3.0,3.0,3.0,3.0,3.0
