time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,22,550.0,53,38,50.0,1508.8303437557906,9.409919486349603,0.7522123893805309,0.930576070901034,0.906886517943744,0.4384585135666535,2.7218430034129693,1,63.14563502385768,2.7955709038693732,2.0509331875949903,1.4786382370305078,2.081782828659793,1.646565165184414,10.0,11.0,14.0,6.0,8.0
0.0,72,22,550.0,53,50,50.0,876.5414209179994,5.742119226192739,0.5752212389380531,0.40620384047267355,0.562560620756547,0.26150216279984273,1.1774744027303754,9,26.973646012170317,3.2103171531236416,2.3717064708343565,1.6767055284873964,3.1704554208536893,1.9980816093997849,12.0,14.0,17.0,8.0,10.0
0.0,72,22,550.0,53,5,50.0,2581.387178044388,19.74671102815584,20.486725663716815,15.199409158050223,15.460717749757515,9.854502556036177,11.561433447098976,0,254.61910948925532,1.0707637112804156,1.0558151570980707,1.0264234208486072,1.4395415192163754,1.0648608885814148,3.0,3.0,4.0,3.0,3.0
0.0,72,22,550.0,53,35,50.0,1779.3756980092658,11.928565327276527,0.7522123893805309,1.2186115214180206,1.212415130940834,0.6272119543845852,3.216723549488055,1,75.7405043607165,2.5514071751853784,1.978875977860723,1.4288860202429738,1.8586783012890544,1.5458260795628278,10.0,10.0,14.0,6.0,8.0
0.0,72,22,550.0,53,8,50.0,3402.806156034719,29.230267445649496,17.43362831858407,11.04135893648449,13.00678952473327,5.794337396775462,12.12457337883959,0,217.1415805624655,1.072961418189448,1.0650720070453468,1.0843828328971459,1.4395415192163754,1.0654449228616645,3.0,3.0,7.0,3.0,3.0
0.0,72,22,550.0,53,41,50.0,1373.9723835745392,9.403420164010646,0.6637168141592921,0.7607090103397341,0.8729388942774006,0.4600865119937082,2.2525597269624575,1,54.100011502454215,2.9251913231019806,2.1462153490062805,1.5009748820862523,2.3593938251093967,1.7271913833751282,12.0,12.0,15.0,7.0,9.0
0.0,72,22,550.0,53,11,50.0,3859.399771847574,31.859560384122855,12.964601769911505,7.474150664697193,8.773035887487875,4.571372394809281,11.996587030716723,0,190.04369764912775,1.0924579150156384,1.1006367614785197,1.1158317745191169,1.4395415192163754,1.0859712333028981,4.0,4.0,9.0,3.0,4.0
0.0,72,22,550.0,53,26,50.0,2689.6530254458694,20.61880303936434,2.256637168141593,1.6395864106351552,2.376333656644035,1.2681871804954776,5.836177474402731,0,107.83764497155295,1.8959600289983978,1.7170251775537093,1.2897192975971168,1.5030968043736568,1.312864434720232,8.0,8.0,12.5,4.0,6.5
0.0,72,22,550.0,53,20,50.0,3419.961466653884,28.59672659522291,3.7168141592920354,3.10192023633678,3.753637245392823,2.5560361777428233,5.53754266211604,0,134.12692567755388,1.3627863245184824,1.3547256430240782,1.1928634061938552,1.4395415192163754,1.1879531652757354,7.0,7.0,11.0,3.5,6.0
0.0,72,22,550.0,53,29,50.0,2356.1425860125696,8.435899732302413,1.4601769911504425,0.775480059084195,1.4451988360814743,0.3244199764058199,5.30716723549488,0,96.64221310581298,2.1861459270567236,1.7931285450678267,1.3299426636890208,1.5740318597129477,1.372661252123437,8.5,9.0,13.0,5.0,7.0
0.0,72,22,550.0,53,32,50.0,2051.826101779289,13.786192880073706,0.9734513274336283,1.255539143279173,1.4597478176527643,0.7255210381439244,4.189419795221843,0,85.6678867881602,2.356097785115986,1.8980219002241183,1.3726743864948054,1.6929359793905712,1.461421021824982,10.0,10.0,13.0,5.0,7.0
0.0,72,22,550.0,53,23,50.0,3012.704707440704,22.67766817633387,2.6548672566371683,2.119645494830133,2.8128031037827355,1.4766024380652771,7.414675767918089,0,120.16812456790959,1.574091601188373,1.5366363177911853,1.2389108462827045,1.4458189615359784,1.2422912149378582,7.0,8.0,12.0,4.0,6.0
0.0,72,22,550.0,53,17,50.0,3761.9859980780534,30.709628540086193,6.1946902654867255,4.0768094534711965,4.878758486905917,2.892253244199764,7.866894197952218,0,149.59769053513693,1.217043644577336,1.2238022556777028,1.1673898759177097,1.4395415192163754,1.1444895455420003,5.0,6.0,11.0,3.0,5.0
0.0,72,22,550.0,53,44,50.0,1250.5831588485,8.150238234268912,0.8407079646017699,0.6499261447562776,0.7856450048496605,0.37947306331104996,1.9027303754266212,2,46.26521341907977,2.9792916314240143,2.192081921308539,1.5229373859462538,2.5862442508603714,1.7788278670393802,12.0,12.0,15.0,7.5,9.0
0.0,72,22,550.0,53,47,50.0,1041.8459811665005,6.950224959703828,0.8849557522123894,0.51698670605613,0.620756547041707,0.3499803381832481,1.4419795221843004,2,36.08421723527098,3.2315238795461334,2.262603967837911,1.590453321849418,2.854175641574697,1.900584786581578,12.0,13.0,16.0,8.0,9.0
0.0,72,22,550.0,53,14,50.0,3941.272979881925,32.22983509635373,8.982300884955752,5.664697193500738,6.406401551891368,3.6276051907196223,10.017064846416382,0,168.27259617489526,1.1355953572795647,1.1558959758860932,1.1395603128252196,1.4395415192163754,1.113445393767061,4.5,5.0,10.0,3.0,5.0
