time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,22,550.0,53,25,15.0,2781.190284222452,21.768444860411098,2.6548672566371683,2.444608567208272,2.5848690591658583,1.3448682658277624,5.426621160409556,0,111.7343234186443,1.7914307350757974,1.2243852879359631,1.1749170245354976,1.5394347217878939,1.2509730476499168,7.0,9.5,14.0,4.0,7.0
0.0,72,22,550.0,53,25,10.0,2755.9513146135723,25.788919667043064,3.2300884955752216,2.5258493353028064,2.5460717749757515,1.9563507668108535,3.455631399317406,0,111.60118529926525,1.8199602117616185,1.1955260186110352,1.1637567990960567,1.5716507756546356,1.2428099157236578,7.0,10.0,14.0,4.0,7.0
0.0,72,22,550.0,53,25,0.0,2775.184436130389,21.52114132943336,3.1415929203539825,2.6292466765140325,2.3520853540252182,1.2544239087691704,5.947098976109215,0,111.99609390411977,1.811548539665522,1.1746255794735723,1.151078605787815,1.6435157960387818,1.236012613892721,7.0,10.0,15.0,4.0,7.0
0.0,72,22,550.0,53,25,35.0,2769.915314282695,25.22649936923126,2.8761061946902653,2.171344165435746,2.662463627546072,1.9484860401101063,3.4385665529010243,0,112.0332211933196,1.7610076886977284,1.4563143580307307,1.2371750958507228,1.4698512963065093,1.2700074293043628,8.0,8.0,12.5,4.0,6.0
0.0,72,22,550.0,53,25,30.0,2761.5277551780396,25.383504719714278,3.3185840707964607,2.3855243722304285,2.531522793404462,1.9229256783326778,3.447098976109215,0,112.66475786261549,1.7566603189176138,1.3928779016991224,1.2270559334861708,1.4795383624805822,1.2657861603050267,8.0,8.0,13.0,4.0,6.5
0.0,72,22,550.0,53,25,40.0,2798.7567068604462,21.309226073771914,2.52212389380531,1.979320531757755,2.4442289039767218,1.266220998820291,6.518771331058021,0,112.20812393822581,1.794571955745297,1.5188096771588682,1.2442862618737438,1.4623079908988328,1.2724069589081306,8.0,8.0,12.0,4.0,6.0
0.0,72,22,550.0,53,25,50.0,2789.0625305557487,20.8403863910313,2.2123893805309733,1.706056129985229,2.5072744907856452,1.2190326386158081,6.860068259385665,0,111.84453209174254,1.8705424047020331,1.6496616459279305,1.2611551868751425,1.486173712214112,1.2809516339315423,8.0,8.0,12.0,4.0,6.0
0.0,72,22,550.0,53,25,20.0,2756.9388927845466,25.54616815069269,2.6991150442477876,2.666174298375185,2.5121241513094086,1.9445536767597325,3.4044368600682593,0,111.90905081194303,1.7205613617196194,1.2728944142893743,1.1880224593420712,1.5089765879730714,1.2611617869727343,8.0,9.0,13.5,4.0,7.0
0.0,72,22,550.0,53,25,5.0,2754.944636662977,25.658382000870045,3.0530973451327434,2.6292466765140325,2.609117361784675,1.9189933149823042,3.4129692832764507,0,111.84835382295203,1.8126940082570862,1.178345034484781,1.1546043312901046,1.6217163691277117,1.2376106031497238,7.0,10.0,14.0,4.0,7.0
0.0,72,22,550.0,53,25,45.0,2806.838243688846,20.457199736571226,2.566371681415929,1.7872968980797637,2.5848690591658583,1.1993708218639403,6.382252559726963,0,111.8555828951874,1.85234752401115,1.5988029836273756,1.2552174042684123,1.480048009336023,1.281362993641481,8.0,8.0,12.0,4.0,6.0
0.0,72,22,550.0,53,25,25.0,2752.1942574506284,24.693366350170542,2.8761061946902653,2.326440177252585,2.453928225024248,1.9071962249311836,3.5921501706484644,0,112.49320232581691,1.7177511040147586,1.3316302403326097,1.2091208271860854,1.4930150631666752,1.27129984331972,8.0,9.0,13.0,4.0,7.0
