time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,20,570.0,41,11,50.0,2350.4092396363394,21.892674880723497,8.31858407079646,4.283604135893649,6.086323957322987,2.9237121510027526,7.824232081911263,0,163.21974949139147,1.108480254825265,1.0954367824490157,1.1361857581848895,1.533868057213315,1.0996612176345906,4.0,4.0,9.0,3.0,4.0
0.0,16,45,570.0,41,11,50.0,2402.940268850018,21.80268826573427,7.566371681415928,3.8921713441654355,6.469447138700291,2.848997247345655,8.327645051194539,0,163.18649212282799,1.0997325199957255,1.0837640294144153,1.1078973555346896,1.4770551964071572,1.0955673322159787,4.0,4.0,10.0,3.0,4.0
0.0,10,72,570.0,41,11,50.0,2250.162578736315,20.09346217027058,9.513274336283185,4.468242245199409,5.790494665373424,2.664176169878097,7.3037542662116035,0,163.50700309649105,1.1047828875970487,1.0891177422843883,1.1110166289572707,1.4804301155543285,1.104871647306623,4.0,5.0,13.0,3.0,5.0
0.0,45,16,570.0,41,11,50.0,2474.602465669934,23.89932621648197,8.185840707964601,4.231905465288036,6.17846750727449,3.4506488399528115,7.542662116040956,0,163.14884912547456,1.0983335332716764,1.0893422507144432,1.1373653112362434,1.5017073731383435,1.1000096319660422,4.0,4.0,8.0,3.0,4.0
0.0,40,18,570.0,41,11,50.0,2412.2913966652764,22.534779783903904,8.36283185840708,4.13589364844904,6.1396702230843845,3.012190326386158,7.901023890784983,0,163.06501184288456,1.1070537815607697,1.0921365762332682,1.1378845101451855,1.4792280725651983,1.100674885064972,4.0,4.0,8.0,3.0,4.0
0.0,15,48,570.0,41,11,50.0,2357.1073204998306,20.883583072094847,8.31858407079646,4.254062038404727,6.503394762366635,2.6287848997247347,8.071672354948806,0,163.05962005394537,1.1012844806874373,1.0857146429833988,1.1080875174022407,1.4704249930447921,1.0974893174818108,4.0,4.5,11.0,3.0,4.0
0.0,48,15,570.0,41,11,50.0,2534.797965399552,24.3410979972543,9.070796460176991,4.098966026587888,5.868089233753637,3.523397561934723,8.250853242320819,0,163.18998323620153,1.1098893558404912,1.0894759230620332,1.1322544981149725,1.5024835449687375,1.1015016871777932,4.0,4.0,7.0,3.0,4.0
0.0,18,40,570.0,41,11,50.0,2383.4341100921206,22.02232731721039,7.300884955752212,3.803545051698671,6.435499515033947,2.8548957923712153,8.583617747440272,0,163.26287197332516,1.1052740729514137,1.084024996296373,1.1086637568777749,1.482478849266668,1.0945841744894869,4.0,4.0,10.0,3.0,4.0
0.0,24,30,570.0,41,11,50.0,2371.5376170138456,21.29034158284323,7.610619469026549,3.899556868537666,6.430649854510184,2.725127801808887,8.70307167235495,0,163.1767840651456,1.10631420634431,1.0848787055921791,1.1132471463352618,1.480496362010539,1.0939262655449038,4.0,4.0,10.0,3.0,4.0
0.0,30,24,570.0,41,11,50.0,2364.8921148100912,21.393778615844354,9.115044247787612,4.039881831610044,6.3579049466537345,2.776248525363744,8.242320819112628,0,163.25441340750177,1.106126310020575,1.089768557949168,1.122756044279556,1.479038744920298,1.0970713914171322,4.0,4.0,10.0,3.0,4.0
0.0,72,10,570.0,41,11,50.0,2725.6535177651053,28.407792566469258,7.477876106194691,4.128508124076809,5.620756547041707,4.591034211561149,7.57679180887372,0,163.05071416606,1.120780441396708,1.0998899473211172,1.1351034095766703,1.5219994059308117,1.1023807543266126,4.0,4.0,6.0,3.0,4.0
0.0,60,12,570.0,41,11,50.0,2663.701258081367,26.6690801764038,7.079646017699115,4.239290989660266,6.023278370514064,4.221392056626033,7.5,0,163.34702140766953,1.1012844806874373,1.0941295944888967,1.1347180919705648,1.4922798683878131,1.1039313824344292,4.0,4.0,7.0,3.0,4.0
0.0,20,36,570.0,41,11,50.0,2410.760943042974,21.293378053604254,7.52212389380531,4.113737075332349,6.876818622696411,2.538340542666142,9.00170648464164,0,163.28331398515087,1.101788324522079,1.0859968040185108,1.1114431029143288,1.4884640481388804,1.0965400865951793,4.0,4.0,10.0,3.0,4.0
0.0,12,60,570.0,41,11,50.0,2327.969705191889,21.42176793255072,8.893805309734514,4.039881831610044,5.838991270611057,2.88242233582383,7.730375426621161,0,163.11783564544348,1.1079631734917212,1.087267951075411,1.109991123532186,1.4765281878430685,1.1000202629561584,4.0,5.0,11.5,3.0,4.0
