time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,36,20,970.0,70,25,50.0,1658.2776742955875,15.371031261280917,4.380530973451328,1.8685376661742983,2.061105722599418,1.0597719229256783,6.160409556313994,0,113.54874723460527,1.3168824409185107,1.4375573246760236,1.2792067047345015,2.1031756485801107,1.3549990948968536,5.0,6.0,10.0,4.0,5.0
0.0,36,20,540.0,70,25,50.0,974.0457761734998,8.057070010755298,1.8141592920353982,0.8419497784342688,0.848690591658584,0.3873377900117971,2.551194539249147,0,63.79857303934534,1.3938747712789075,1.6234801398726497,1.3505120041854923,1.8035338494539221,1.505347506204233,7.0,9.0,12.0,5.5,7.0
0.0,36,20,900.0,70,25,50.0,1577.6625257794474,14.39346549967887,3.4070796460176993,1.632200886262925,1.8283220174587778,0.9594966574911521,5.708191126279863,0,107.57774595508059,1.3034332621353408,1.4565922464883554,1.2773730860456025,2.005069397545221,1.3544462783838418,5.0,7.0,10.0,4.0,6.0
0.0,36,20,580.0,70,25,50.0,1087.515476531,8.966298366238803,1.3716814159292035,0.930576070901034,1.0620756547041708,0.43059378686590644,2.849829351535836,0,69.94893191126882,1.359238379137524,1.599024846996436,1.3242809457848113,1.7056428704905027,1.4814954451802707,7.0,8.5,11.0,5.0,7.0
0.0,36,20,690.0,70,25,50.0,1264.2697122944999,10.740215145064496,2.2123893805309733,1.1595273264401773,1.4888457807953444,0.564294140778608,3.540955631399317,0,85.5924557542755,1.32557361353333,1.5218756984406372,1.2747177529513205,1.751561300869338,1.4162475165490402,6.0,8.0,11.0,4.0,6.5
0.0,36,20,910.0,70,25,50.0,1581.8306238619489,13.83094331559979,3.1415929203539825,1.5214180206794683,1.842870999030068,0.9437672040896579,5.793515358361775,0,108.27163922822645,1.3059030902666098,1.4584467579696565,1.279456323888684,2.0189277498106426,1.356366901190537,5.0,7.0,10.0,4.0,6.0
0.0,36,20,640.0,70,25,50.0,1196.4308173134982,10.058743076656375,2.3008849557522124,0.9158050221565732,1.154219204655674,0.5682265041289815,3.2081911262798632,0,78.18807762271823,1.3483607598218468,1.5731193946143327,1.2875477589679818,1.7268520472105742,1.4493565307193987,6.0,8.0,11.0,5.0,7.0
0.0,36,20,750.0,70,25,50.0,1380.8977951332693,11.65069564903855,2.6106194690265485,1.447562776957164,1.5033947623666344,0.6626032245379473,4.035836177474403,0,92.49094404735447,1.3272613824484762,1.4958019682622494,1.2667822481509112,1.8112735362092818,1.384490309308232,6.0,7.0,11.0,4.0,6.0
0.0,36,20,650.0,70,25,50.0,1206.7133107625007,10.169551921068166,2.6548672566371683,0.9453471196454948,1.154219204655674,0.5465985057019268,3.387372013651877,0,79.07857848240216,1.3460124176128547,1.569895164427422,1.2864662901174448,1.734216503665998,1.4474688921279935,6.0,8.0,11.0,5.0,7.0
0.0,36,20,660.0,70,25,50.0,1210.8387966255018,10.344069590139755,2.168141592920354,1.0265878877400296,1.3288069835111542,0.5328352339756194,3.4385665529010243,0,80.51340277867065,1.3397380279477609,1.548267946542227,1.2844024930607998,1.748952768462799,1.44410862229775,6.0,8.0,11.0,5.0,7.0
0.0,36,20,680.0,70,25,50.0,1248.1545636164994,10.556558250988218,2.1238938053097343,1.1225997045790252,1.4500484966052376,0.5800235941801023,3.4300341296928325,0,84.38735338374117,1.3263543899192312,1.5235266676790973,1.2762865899569298,1.7443662093885184,1.4215307522472314,6.0,8.0,11.0,4.5,6.5
0.0,36,20,630.0,70,25,50.0,1186.2438802055003,10.131195044808065,2.256637168141593,0.9158050221565732,1.1784675072744908,0.5721588674793551,3.037542662116041,0,76.71077544965317,1.3529028886820325,1.5782887390762057,1.291524185940159,1.715767242982325,1.4500646302248836,6.0,8.0,11.0,5.0,7.0
0.0,36,20,930.0,70,25,50.0,1608.092734351546,14.599471113274404,4.20353982300885,1.6765140324963073,1.935014548981571,1.0263468344475029,5.6058020477815695,0,109.92849630530432,1.3109066473378042,1.4461426978037644,1.2809176429558002,2.0466094427003245,1.3582145117503062,5.0,7.0,10.0,4.0,6.0
0.0,36,20,840.0,70,25,50.0,1488.7357437801795,14.096570443535608,3.0973451327433628,1.4401772525849335,1.7798254122211445,0.8906802988596146,5.136518771331057,0,101.61484237899359,1.3103947035982613,1.4765347002512248,1.274391585313342,1.9260022864266602,1.3664299209711828,5.0,7.0,10.0,4.0,6.0
0.0,36,20,800.0,70,25,50.0,1447.2629706746015,13.568255079738353,3.2743362831858405,1.4327917282127032,1.7216294859359844,0.8356272119543847,4.522184300341297,0,98.06840221072149,1.3057280776929865,1.4782733013628782,1.2715388640252114,1.8769329396183294,1.3775161795715976,5.5,7.0,11.0,4.0,6.0
0.0,36,20,500.0,70,25,50.0,937.5977729499989,7.387678979908058,1.3716814159292035,0.7607090103397341,0.8438409311348205,0.3440817931576878,2.1843003412969284,0,59.00597263576535,1.374956025058977,1.6318685648119335,1.366660103235788,1.821076419541337,1.5466434063277876,7.0,9.0,12.0,6.0,7.0
0.0,36,20,870.0,70,25,50.0,1534.6525007630883,14.05825511786252,3.1415929203539825,1.4623338257016247,1.789524733268671,0.9359024773889107,5.418088737201366,0,104.72348419902386,1.3066796615711995,1.468465235514278,1.2756929927215075,1.9638248882911733,1.35455079339287,5.0,7.0,10.0,4.0,6.0
0.0,36,20,550.0,70,25,50.0,990.8310194634992,8.029821430244311,1.4601769911504425,0.8419497784342688,0.8923375363724539,0.37947306331104996,2.6109215017064846,0,64.84972556179272,1.3980128207709692,1.6150546952848177,1.3489311471854686,1.7949156485943845,1.503681767053838,7.0,9.0,12.0,5.5,7.0
0.0,36,20,860.0,70,25,50.0,1524.870672850677,14.057659980170921,3.185840707964602,1.4918759231905465,1.8816682832201745,0.906409752261109,5.255972696245734,0,103.83005124556112,1.3118151553843418,1.4669457844678393,1.2752790599627395,1.9508857764868728,1.3577049662739,5.0,7.0,10.0,4.0,6.0
0.0,36,20,960.0,70,25,50.0,1639.6620235765834,5.850013405000003,4.911504424778761,1.0930576070901035,1.5033947623666344,0.29885961462839167,6.680887372013652,0,112.50442050710858,1.3135691469699329,1.4428250992165839,1.2805216061113975,2.088384797590673,1.3545360445953094,5.0,6.0,10.0,4.0,5.5
0.0,36,20,920.0,70,25,50.0,1593.1338307676053,5.4270508357010465,3.938053097345133,0.9675036927621861,1.3336566440349176,0.31655524970507276,6.305460750853243,0,109.1427362673522,1.308910268275582,1.4553503375796049,1.2791482591087895,2.0327804165750196,1.3573985562630115,5.0,7.0,10.0,4.0,6.0
0.0,36,20,950.0,70,25,50.0,1635.5095900835483,14.616041714036424,3.938053097345133,1.6100443131462332,1.9786614936954414,1.0106173810460086,6.092150170648464,0,111.648744886248,1.3105016282903381,1.4395453937657563,1.2785282988206834,2.074412620541417,1.3523925775639172,5.0,6.5,10.0,4.0,5.5
0.0,36,20,1000.0,70,25,50.0,1677.3847739174432,15.441220244172277,3.938053097345133,1.7282127031019203,2.289039767216295,1.1010617381046008,6.535836177474402,0,115.91130253314827,1.3183639109209622,1.4385073677667728,1.283093397199985,2.1453161252556723,1.360465404671079,5.0,6.0,10.0,4.0,5.0
0.0,36,20,760.0,70,25,50.0,1390.3764574627685,11.868255955689142,2.7876106194690267,1.2703101920236337,1.624636275460718,0.6626032245379473,4.266211604095563,0,93.65624524263674,1.3253899821787996,1.4926566782983244,1.2679509985251045,1.8218198883575956,1.3832942047313794,6.0,7.0,11.0,4.0,6.0
0.0,36,20,670.0,70,25,50.0,1226.4620941079993,10.339351457611464,2.47787610619469,1.0709010339734122,1.4645974781765276,0.5524970507274872,3.2764505119453924,0,82.66654439400997,1.3216678037552487,1.5348288369183616,1.275322692532158,1.740218940271213,1.4329403280679653,6.0,8.0,11.0,4.5,6.5
0.0,36,20,780.0,70,25,50.0,1424.8007264966013,12.965363195022652,2.52212389380531,1.2850812407680945,1.8622696411251212,0.7707432166732207,4.104095563139932,0,95.84287932914825,1.3267327763288586,1.4804761811755982,1.269544890107313,1.848303945708654,1.380644834426742,6.0,7.0,11.0,4.0,6.0
0.0,36,20,770.0,70,25,50.0,1417.218006041768,12.692778586626726,2.8761061946902653,1.4032496307237814,1.7264791464597478,0.7471490365709791,4.104095563139932,0,94.94900410715778,1.323088816140623,1.483575622132682,1.267631709602197,1.8346317097209242,1.381136570242448,6.0,7.0,11.0,4.0,6.0
0.0,36,20,520.0,70,25,50.0,964.5811615739988,7.443838985796172,1.8141592920353982,0.7902511078286558,0.7710960232783705,0.3499803381832481,2.448805460750853,0,61.85849948610023,1.3847429796548878,1.6174146869386328,1.3597375072796258,1.816282555865794,1.5185890227021368,7.0,9.0,12.0,6.0,7.0
0.0,36,20,820.0,70,25,50.0,1484.0481564626043,13.442021233581244,3.185840707964602,1.3737075332348596,1.799224054316198,0.831694848604011,4.7952218430034135,0,100.12005428822208,1.3095876844489533,1.4814795903293323,1.2704373683107724,1.901432964787117,1.371357572610478,5.0,7.0,10.0,4.0,6.0
0.0,36,20,620.0,70,25,50.0,1164.2129637570024,9.491353190586773,2.168141592920354,0.9601181683899557,1.1833171677982541,0.4876130554463233,3.037542662116041,0,75.19493468621657,1.3582254985850417,1.580006541261091,1.2939830658165785,1.7041955907175539,1.4510641293674638,6.0,8.0,11.0,5.0,7.0
0.0,36,20,510.0,70,25,50.0,954.1063413365001,7.524287045911125,1.1504424778761062,0.7902511078286558,0.8341416100872939,0.3893039716869839,2.226962457337884,0,60.636650736483865,1.3798266660221599,1.6184045646717478,1.3589074069895115,1.8078031642870664,1.5252685075624002,7.0,9.0,12.0,6.0,7.0
0.0,36,20,740.0,70,25,50.0,1372.3788557845005,11.52624309257326,2.1238938053097343,1.2186115214180206,1.624636275460718,0.6350766810853323,4.121160409556314,0,91.53804665190204,1.338093119784966,1.4942371537786185,1.2654045383518135,1.797439923166727,1.3916352093160624,6.0,7.0,11.0,4.0,6.0
0.0,36,20,590.0,70,25,50.0,1121.4804507835008,9.25064572303118,2.0353982300884956,0.9158050221565732,1.139670223084384,0.46598505701926857,2.7901023890784984,0,71.89989480694406,1.3525800965007562,1.5914012472380203,1.3125351358226411,1.7045817118907574,1.470024060398245,6.5,8.0,11.0,5.0,7.0
0.0,36,20,570.0,70,25,50.0,1059.520915203499,8.611661798076602,1.9469026548672566,1.048744460856721,0.994180407371484,0.369642154935116,2.696245733788396,0,68.22327829731944,1.393305350118724,1.603513825564883,1.3316849523913548,1.7598240049786342,1.4839189695039956,7.0,9.0,11.0,5.0,7.0
0.0,36,20,730.0,70,25,50.0,1368.056219529501,11.534075785051499,2.566371681415929,1.255539143279173,1.498545101842871,0.6606370428627605,3.976109215017065,0,90.43697525001672,1.3340809848563255,1.5028473394802428,1.2634265623307561,1.7829548537382058,1.3968251219578944,6.0,7.0,11.0,4.0,6.0
0.0,36,20,530.0,70,25,50.0,975.4289456685004,7.909844345577596,1.5044247787610618,0.7607090103397341,0.8680892337536373,0.4148643334644121,2.4402730375426622,0,63.238710727811835,1.389704217753052,1.6200337613961453,1.3558434995499564,1.7950333095937387,1.5037349046849218,7.0,9.0,12.0,5.5,7.0
0.0,36,20,980.0,70,25,50.0,1652.5210186382856,15.135405897805054,4.20353982300885,1.861152141802068,2.206595538312318,1.0519071962249311,6.117747440273037,0,114.30594120914114,1.3141945990256712,1.4410488271778688,1.2804525304177758,2.1180603193553296,1.3587745893993797,5.0,6.0,10.0,4.0,5.0
0.0,36,20,830.0,70,25,50.0,1484.6017036466778,13.582188150476263,3.5398230088495577,1.4327917282127032,1.8913676042677012,0.7943373967754621,4.854948805460751,0,100.82947007445762,1.3138324253873659,1.4833749883095733,1.273100556388859,1.9135857338670206,1.3725299806293145,5.0,7.0,10.0,4.0,6.0
0.0,36,20,990.0,70,25,50.0,1674.044438601946,15.68132174502912,4.469026548672566,1.6469719350073857,2.2259941804073717,1.1226897365316557,6.459044368600683,0,115.16707082791163,1.3184611316971013,1.4393543865154674,1.2819336910218102,2.131952468820822,1.3570325478752676,5.0,6.0,10.0,4.0,5.0
0.0,36,20,940.0,70,25,50.0,1631.2504974755473,15.0704879139057,4.15929203539823,1.7799113737075334,1.9010669253152277,1.053873377900118,5.861774744027304,0,110.90824239590523,1.3133369734819216,1.4444593081166979,1.280799109689901,2.0604871991761344,1.3508398818267993,5.0,6.5,10.0,4.0,5.5
0.0,36,20,880.0,70,25,50.0,1550.871827215383,14.291808893643726,3.761061946902655,1.5435745937961594,1.8865179437439379,0.9103421156114825,5.588737201365188,0,106.00842594483963,1.3014959083715882,1.4620951952691215,1.2761163070676689,1.9775064024982334,1.3507190363466701,5.0,7.0,10.0,4.0,6.0
0.0,36,20,850.0,70,25,50.0,1514.7728931886784,13.827398542958438,2.8761061946902653,1.499261447562777,1.8234723569350144,0.8887141171844278,5.221843003412969,0,102.990330559214,1.312988824015846,1.4758793614023393,1.2738860386047646,1.938481095436312,1.3636489090317538,5.0,7.0,10.0,4.0,6.0
0.0,36,20,790.0,70,25,50.0,1425.9577928591025,13.188442778763983,3.1415929203539825,1.395864106351551,1.7313288069835113,0.7727093983484074,4.4027303754266205,0,96.7842457510628,1.3295879376604853,1.4776490686540373,1.271570080913199,1.8626046273805728,1.3814103320762479,6.0,7.0,11.0,4.0,6.0
