time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,34,34,630.0,17,35,50.0,1376.1242421322274,4.600297649854646,0.1327433628318584,0.9970457902511078,0.39282250242483024,0.30869052300432565,1.5187713310580204,57,38.62946977949749,5.363658424516808,1.324172187836166,1.1841271010503958,1.8586455083865574,1.5606131035716433,15.5,7.0,16.0,5.0,9.0
0.0,34,34,630.0,71,35,50.0,1179.612516464635,5.779355415091922,1.2831858407079646,0.6056129985228951,0.6886517943743938,0.29689343295320486,2.354948805460751,0,60.91401111523561,1.4396233252134176,1.4492272207959174,1.3320773789144518,1.9117709542189658,1.4878047715903997,8.0,9.0,15.0,6.0,8.0
0.0,34,34,630.0,32,35,50.0,1868.2881669702144,9.302075493248196,0.7079646017699115,1.1816838995568686,0.7662463627546072,0.6095163193079041,3.9505119453924915,17,75.29499512580585,3.354773734582502,1.2421845505792914,1.1965692795582372,1.7140569915165844,1.4575786173484844,12.0,7.0,15.0,5.0,8.0
0.0,34,34,630.0,77,35,50.0,1094.9883983869995,6.004030723556985,1.415929203539823,0.51698670605613,0.6886517943743938,0.3008257963035785,2.4061433447098977,0,58.456045381151974,1.3712360042760148,1.4618127349759231,1.3673674721111504,1.9216581576330936,1.5486500860379857,7.5,9.0,15.0,6.0,8.0
0.0,34,34,630.0,8,35,50.0,983.2695152753748,2.4513535416982393,0.04424778761061947,0.4357459379615953,0.19398642095053348,0.1710578057412505,0.9812286689419796,81,22.806182497851665,4.4864467565375215,1.249994344072392,1.1631282251839221,2.0230694097136057,1.4011038995275042,9.0,7.0,12.5,4.0,7.0
0.0,34,34,630.0,11,35,50.0,1141.9275771157038,3.3367494475000514,0.04424778761061947,0.7680945347119645,0.24733268671193018,0.22807707432166732,1.023890784982935,77,26.402464171177265,4.415041094669906,1.256961109284853,1.1587352216629858,2.079632841736279,1.4381535361540125,9.0,7.0,13.0,4.5,9.0
0.0,34,34,630.0,23,35,50.0,1584.281913193809,6.3726512930731465,0.30973451327433627,1.1078286558345642,0.620756547041707,0.39323633503735744,2.7645051194539247,47,51.82678113436688,4.48001553467809,1.2283617642094458,1.1742235061936954,1.7804606248714079,1.4554621715277738,14.0,6.0,15.0,4.0,9.0
0.0,34,34,630.0,59,35,50.0,1381.4480681864995,7.2950231081201755,0.7079646017699115,0.7680945347119645,0.8001939864209505,0.3991348800629178,2.8668941979522184,0,68.46868492326226,1.8873690636811822,1.3764509036887393,1.2469779870445665,1.8416855459783341,1.4010057298534109,8.0,8.5,14.0,5.5,8.0
0.0,34,34,630.0,83,35,50.0,1124.7451104159995,5.74803512192584,1.5486725663716814,0.48005908419497784,0.6110572259941804,0.3381832481321274,2.12457337883959,0,56.74523174887583,1.33893629253228,1.5013705207264343,1.3862734707413473,2.0587547455110897,1.6265851986215822,8.0,9.0,15.0,6.0,8.0
0.0,34,34,630.0,89,35,50.0,1014.9281788879998,5.45810440144413,1.8584070796460177,0.4357459379615953,0.6256062075654705,0.2890287062524577,2.2013651877133102,0,56.84849107928059,1.3335966193579585,1.4926919370892564,1.4126968065508354,1.9550554505032254,1.653915585260231,7.0,9.0,16.0,6.0,8.0
0.0,34,34,630.0,20,35,50.0,1486.9840567012338,5.695590275125212,0.2654867256637168,0.9379615952732644,0.5965082444228904,0.36767597325992923,2.3293515358361776,52,48.43475207449397,4.57312208523302,1.2422177388005964,1.1698885882538232,1.7406145729902676,1.4926321924632602,14.0,6.0,15.0,4.0,9.0
0.0,34,34,630.0,44,35,50.0,1821.2012663719538,10.323762164750358,0.6194690265486725,1.3367799113737076,0.8195926285160039,0.6331104994101455,3.9931740614334474,2,81.74298625415271,2.6099853767068013,1.290105626883769,1.2135505687053687,1.7861080193716472,1.3832743215067747,10.0,8.0,15.0,5.0,8.0
0.0,34,34,630.0,29,35,50.0,1719.4072915312465,8.22258536256248,0.4424778761061947,1.0709010339734122,0.7419980601357905,0.49351160047188364,4.001706484641638,23,69.64341055870513,3.775848040083514,1.260190437018828,1.1993963120500268,1.69113617331203,1.4515493899432366,12.0,7.0,15.0,5.0,8.0
0.0,34,34,630.0,86,35,50.0,1070.2303519849986,5.575145963557765,1.3716814159292035,0.5243722304283605,0.5528612997090203,0.30869052300432565,2.3378839590443685,0,57.71325238603248,1.3414870015561782,1.504234174973868,1.4009809537149698,1.9525946095213311,1.646562332440783,8.0,9.0,15.0,6.0,8.0
0.0,34,34,630.0,14,35,50.0,1271.2554345658893,3.9206922546283365,0.04424778761061947,0.9158050221565732,0.37827352085354027,0.25167125442390875,1.023890784982935,71,30.32538764568125,6.796710026260127,1.2506868337293624,1.1657172165500775,2.0901050497219993,1.4783790482469714,15.0,7.0,15.0,4.0,9.0
0.0,34,34,630.0,56,35,50.0,1474.0822779384978,7.853372098045982,0.4424778761061947,0.9896602658788775,0.8874878758486906,0.4168305151395989,2.909556313993174,0,70.54357503252972,1.9734050496523605,1.370969836100124,1.237010616818233,1.8644706391010841,1.3969443323876727,9.0,8.0,14.0,5.5,8.0
