time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,54,24,610.0,38,14,50.0,3461.4318503050044,19.11671032585833,9.159292035398229,4.948301329394387,7.313288069835111,2.6012583562721194,12.098976109215016,1,173.5431955885535,1.134749985124698,1.1159240369854393,1.1696108682721733,1.524713550379881,1.1194700773539035,4.0,5.0,10.0,3.0,4.0
0.0,36,36,610.0,38,14,50.0,3424.838054185706,18.345732083314793,7.654867256637169,4.364844903988184,7.623666343355966,2.257176563114432,13.19112627986348,1,173.29545797665938,1.1425306396786445,1.105205279220298,1.1323924518117985,1.4860932633038892,1.113280311512189,4.0,5.0,12.0,3.0,5.0
0.0,12,108,610.0,38,14,50.0,3173.188293004863,17.376452089945946,8.495575221238937,5.0,7.065955383123182,2.170664569406213,11.433447098976108,1,173.41265745797227,1.1444358400200971,1.1030839208006114,1.1270662061828376,1.5081852533088573,1.1214379751422812,5.0,5.5,18.0,3.0,6.0
0.0,48,27,610.0,38,14,50.0,3340.4497472549683,18.040315896569137,8.761061946902656,5.022156573116692,7.487875848690592,2.3259929217459696,12.158703071672356,1,173.7017976856725,1.1574298180248568,1.121154052621726,1.1642208573735395,1.5091685625950084,1.1222444610385078,4.0,5.0,11.0,3.0,4.5
0.0,72,18,610.0,38,14,50.0,3743.377181927352,22.654463548496366,8.495575221238937,5.096011816838995,7.245392822502425,3.4152575697994494,12.593856655290104,1,173.33036788431693,1.1258555303328395,1.112842017021709,1.1616254954094858,1.4902163669550286,1.1195323827707453,4.0,4.0,9.0,3.0,4.0
0.0,108,12,610.0,38,14,50.0,4059.5323500813415,26.069805359404867,7.654867256637169,4.970457902511078,7.2017458777885555,4.421942587495085,12.098976109215016,1,173.25199068257666,1.2094390952592837,1.118709958547017,1.1686506429865786,1.4923809208160588,1.1240738697066714,4.0,4.0,7.0,3.0,4.0
0.0,81,16,610.0,38,14,50.0,3852.2428651713503,23.47671487184012,8.584070796460178,5.022156573116692,6.988360814742968,3.643334644121117,12.986348122866895,1,173.25200909842675,1.1385511136197592,1.114893256659377,1.1653668140455606,1.4930190252632158,1.1204309015939429,4.0,4.0,8.0,3.0,4.0
0.0,27,48,610.0,38,14,50.0,3449.775210899958,18.49344026136045,7.920353982300885,4.460856720827179,7.487875848690592,2.268973653165552,13.70307167235495,1,173.245863661099,1.1440369210286898,1.1044866199485825,1.1275917154939983,1.5019747597801085,1.111683160988152,4.5,5.0,13.0,3.0,5.0
0.0,24,54,610.0,38,14,50.0,3469.4669596322055,18.642637657487544,8.716814159292035,4.497784342688331,7.812803103782735,2.292567833267794,13.455631399317406,1,173.49950261569862,1.1384856474473717,1.100797969768277,1.1268437570447487,1.5040676016282972,1.109490206178192,4.0,5.0,13.0,3.0,5.0
0.0,18,72,610.0,38,14,50.0,3363.8981886873185,18.383766383004545,8.805309734513274,4.734121122599705,7.555771096023278,2.2434132913881246,12.312286689419794,1,173.3713652603001,1.1427727440412094,1.1014930253009214,1.1251765056099334,1.4914751137176239,1.1119279788302752,4.0,5.0,14.5,3.0,5.0
0.0,16,81,610.0,38,14,50.0,3305.6762566150614,17.80813281091001,8.495575221238937,4.940915805022157,7.376333656644035,2.1686983877310264,11.88566552901024,1,173.03448361491934,1.1356053720903925,1.1019718688217546,1.125854597444864,1.4997913015139737,1.1135470412672235,5.0,5.0,15.0,3.0,6.0
