time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,98,18,1200.0,41,20,35.0,4260.238300809532,26.410272808866424,17.743362831858406,9.3205317577548,13.094083414161009,5.167125442390877,17.303754266211605,0,207.8228740015162,1.26443030192056,1.2219156438798429,1.2303823177810087,2.306157387131004,1.2309104541459575,3.0,4.0,8.0,3.0,3.0
0.0,126,14,1200.0,41,20,10.0,3643.598556133934,21.62178084239325,15.0,9.180206794682423,11.92046556741028,3.871411718442784,14.249146757679181,0,208.13237062562183,1.2797071955028905,1.2242811865357206,1.2311280790936485,2.342683229326293,1.2442659890544412,3.0,4.0,8.5,3.0,3.0
0.0,42,42,1200.0,41,20,45.0,3822.6996604400715,20.528065389821542,17.079646017699115,9.793205317577549,13.64694471387003,3.0062917813605976,16.706484641638227,0,207.8711610210174,1.2581925149525743,1.2077322945809574,1.2114603447524877,2.2991972629423927,1.226123304542784,3.0,4.0,12.0,3.0,3.0
0.0,147,12,1200.0,41,20,40.0,4739.609589254575,31.23858639042384,19.24778761061947,9.734121122599705,12.948593598448108,7.211954384585136,17.730375426621162,0,208.05954957785627,1.262732443939082,1.2230310047217303,1.234001761774916,2.3021538630208562,1.2420066775244891,3.0,4.0,6.0,3.0,3.0
0.0,126,14,1200.0,41,20,25.0,4398.956693380474,28.4208233748662,18.1858407079646,9.66765140324963,12.192046556741028,6.217066456940621,16.41638225255973,0,207.96000063672912,1.2711830051045243,1.2273288283683168,1.232090759445567,2.309913979729953,1.2411740893040697,3.0,4.0,7.0,3.0,3.0
0.0,21,84,1200.0,41,20,5.0,3743.016871026661,20.400144436152267,17.43362831858407,9.268833087149188,13.12803103782735,3.1871804954777825,15.793515358361777,0,207.81309147219883,1.253820657746428,1.2069233223048688,1.2032998207145182,2.3132235045406446,1.221761158962269,3.0,4.0,14.0,3.0,3.0
0.0,63,28,1200.0,41,20,10.0,3778.0384875520854,20.425019726778775,17.876106194690266,9.379615952732644,13.593598448108631,3.04168305151396,16.254266211604097,0,207.87893457588655,1.2701094982357866,1.2053254707821286,1.2046759469725805,2.3036630360118666,1.2328591758434495,3.0,4.0,12.0,3.0,3.0
0.0,18,98,1200.0,41,20,40.0,3627.1365630476107,19.86486588826832,16.238938053097346,9.46824224519941,12.492725509214354,2.990562327959103,15.392491467576791,0,207.85984364785892,1.2610757538729431,1.2065827618685876,1.2036280919084654,2.295625311972347,1.2225287574841268,3.0,4.0,15.0,3.0,3.0
0.0,63,28,1200.0,41,20,25.0,3718.4822126422773,20.586424612291694,16.68141592920354,9.31314623338257,13.026188166828323,3.1517892253244204,15.179180887372013,0,207.81393267864428,1.268492520396729,1.2066264053675257,1.2142063023280696,2.313014392271504,1.2331494210477632,3.0,4.0,12.0,3.0,3.0
0.0,36,49,1200.0,41,20,10.0,3920.8649587182367,20.879020908979392,18.761061946902654,9.556868537666174,13.865179437439378,3.141958316948486,18.293515358361777,0,207.83106835439756,1.2543847365501348,1.2084920105164472,1.2070637084344351,2.305232628910005,1.2239205429352202,3.0,4.0,12.0,3.0,3.0
