time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,147,12,1200.0,87.9,5,50.0,717.3239193545177,6.057976739193903,14.292035398230087,11.078286558345644,11.784675072744907,15.060951631930791,4.08703071672355,0,323.7654369384536,1.2349002831137825,1.18898247557504,1.0199560605855356,2.413599391678506,1.2158530531268408,3.0,3.0,3.0,3.0,3.0
0.0,126,14,1200.0,87.9,5,50.0,727.7742633405012,6.216535073201866,13.938053097345133,11.152141802067947,11.464597478176527,15.642941407786079,3.856655290102389,0,323.7596625623419,1.2289179618154917,1.1815184169549835,1.0189300680183768,2.3601321417880796,1.2134330184386901,3.0,3.0,3.0,3.0,3.0
0.0,42,42,1200.0,87.9,5,50.0,705.5924961640163,6.3511977835294635,13.805309734513274,10.398818316100442,10.39282250242483,15.515139598898939,3.1911262798634814,0,323.7496672584373,1.2363197457238115,1.173443281475062,1.0178796497130695,2.334704630589556,1.2089095113727488,3.0,3.0,3.0,3.0,3.0
0.0,36,49,1200.0,87.9,5,50.0,704.9091053746231,6.294949537311063,13.451327433628318,10.406203840472674,10.465567410281281,15.560361777428234,2.909556313993174,0,323.75043057040125,1.2343754126940716,1.1746100075719823,1.018210488241595,2.325655592288202,1.208308899862212,3.0,3.0,3.0,3.0,3.0
0.0,84,21,1200.0,87.9,5,50.0,716.2418101274834,6.260306741768779,13.982300884955754,11.100443131462335,11.096023278370513,15.334250884781753,3.754266211604096,0,323.7571817611804,1.2305911274146482,1.1772449656239137,1.0189073709043457,2.345479383437862,1.2094916627806835,3.0,3.0,3.0,3.0,3.0
0.0,63,28,1200.0,87.9,5,50.0,707.8290809699037,6.096052240332763,15.08849557522124,10.635155096011816,10.8729388942774,15.318521431380262,3.18259385665529,0,323.75467898989183,1.2305911274146482,1.1742531703742887,1.0183519928876639,2.3210433650510023,1.208608673825203,3.0,3.0,3.0,3.0,3.0
0.0,98,18,1200.0,87.9,5,50.0,724.7116311249196,6.381483272056656,13.672566371681416,11.011816838995568,11.159068865179437,15.70389303971687,3.703071672354949,0,323.75245865395425,1.229917931577559,1.1789261706584262,1.018519804200981,2.365351043552537,1.2092954176970636,3.0,3.0,3.0,3.0,3.0
0.0,14,126,1200.0,87.9,5,50.0,692.1589367153341,6.272724435466554,14.955752212389381,10.273264401772526,9.534432589718719,15.66063704286276,2.12457337883959,0,323.75420256564365,1.2405394524486923,1.1790925466353732,1.0206589237453128,2.4941619654610623,1.221574758245575,3.0,3.0,3.0,3.0,3.0
0.0,12,147,1200.0,87.9,5,50.0,672.6632472344199,5.984049702359678,13.31858407079646,10.273264401772526,9.89815712900097,14.66378293354306,2.3378839590443685,0,323.7640341824266,1.2840879095601156,1.180185451553027,1.0224911042997937,2.545379402849467,1.2236117110975857,3.0,3.0,3.0,3.0,3.0
0.0,18,98,1200.0,87.9,5,50.0,692.2615340669506,6.400955688612762,13.185840707964601,10.34711964549483,9.553831231813772,15.690129767990562,1.9795221843003412,0,323.7558951091693,1.256532490931197,1.1733748817645282,1.018879005066498,2.382969760005735,1.2136798210611086,3.0,3.0,3.0,3.5,3.0
0.0,21,84,1200.0,87.9,5,50.0,696.4173288868365,6.1755372107335536,12.345132743362832,10.251107828655835,10.18913676042677,15.631144317734957,2.2013651877133102,0,323.7521844680813,1.237131547092385,1.173443281475062,1.018052275365397,2.3357599481776212,1.2079955157209943,3.0,3.0,3.0,3.0,3.0
0.0,28,63,1200.0,87.9,5,50.0,704.7557856420084,6.182072384728121,11.902654867256638,10.590841949778435,10.649854510184287,15.585922139205662,2.6621160409556315,0,323.7527082612534,1.2375505868190282,1.1725806261879856,1.0185101174279065,2.330311505483837,1.2099446778636933,3.0,3.0,3.0,3.0,3.0
0.0,49,36,1200.0,87.9,5,50.0,708.6896698831732,6.2954253300715495,13.672566371681416,10.583456425406204,10.674102812803103,15.515139598898939,3.267918088737201,0,323.7456488417097,1.2292168628265514,1.1726283463846552,1.018475007248337,2.3391927442492433,1.2091468618482488,3.0,3.0,3.0,3.0,3.0
