time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,72,22,550.0,71,25,0.5,2227.3176216629295,12.451196033540114,3.5398230088495577,1.1152141802067947,1.6537342386032976,0.7530475815965395,5.2047781569965865,0,100.75015336852903,1.271463360664353,1.9590098569224055,1.3246892673548651,1.4881173923472866,1.511749673672325,6.0,11.0,13.0,4.0,7.0
0.0,72,22,550.0,134,25,0.5,3145.7011283102447,17.304295569675926,1.1061946902654867,1.9202363367799113,1.9592628516003878,1.238694455367676,8.353242320819113,1,117.88922996025411,2.4002405948684795,1.3651270916228835,1.2815717541154146,1.426026849782895,1.2455125670722227,9.0,7.0,12.5,4.0,6.0
0.0,72,22,550.0,86,25,0.5,2001.2893197578278,10.688846416239295,4.424778761061947,1.0413589364844904,1.1105722599418042,0.6075501376327173,5.392491467576792,0,97.23869349214809,1.1905253724341236,2.029495615906474,1.6467687195977625,1.4849765176881435,1.790594826928526,5.5,12.0,15.0,4.0,8.0
0.0,72,22,550.0,14,25,0.5,2026.2456076394958,6.878407747630012,0.2654867256637168,1.292466765140325,0.8535402521823473,0.5859221392056626,2.3378839590443685,59,50.15015584515268,4.997568120386269,1.3434938704167343,1.1984837193339637,1.8339132761124481,1.4086925216083623,14.0,6.0,12.0,4.0,7.0
0.0,72,22,550.0,170,25,0.5,1613.3634959995989,4.5402696464931385,0.30973451327433627,0.9010339734121122,0.6110572259941804,0.369642154935116,1.5784982935153582,74,37.06399231518671,1.165169592757777,1.213743980786787,1.1485653111648748,1.8359613093941616,1.2741120854109858,6.0,6.0,11.0,4.0,6.5
0.0,72,22,550.0,56,25,0.5,2718.1179444726213,6.833661674460617,1.5044247787610618,0.9453471196454948,1.469447138700291,0.2949272512780181,7.184300341296929,0,109.56704106609092,1.679952092399232,1.7487331259464225,1.2670456627438673,1.495736934673836,1.3012013346350546,7.0,8.5,12.0,4.0,6.5
0.0,72,22,550.0,125,25,0.5,2772.0125028271314,14.840205040520674,1.991150442477876,1.4918759231905465,2.002909796314258,0.9594966574911521,6.450511945392491,0,110.37662095351622,1.7142544432886928,1.7319511755042027,1.2741847097492915,1.492706250780664,1.3051710048726723,7.0,8.0,12.0,4.0,6.0
0.0,72,22,550.0,152,25,0.5,2952.2201244936205,12.968533491957817,0.9734513274336283,1.9350073855243721,1.7216294859359844,0.9359024773889107,7.773037542662116,20,100.17116343523641,3.7292836960926037,1.2241205490999971,1.2710453555654837,1.4787277882445893,1.2901300553691692,11.0,6.0,13.0,4.0,6.0
0.0,72,22,550.0,167,25,0.5,1927.4131807355286,6.249039795291876,0.35398230088495575,1.2481536189069424,0.848690591658584,0.5210381439244985,2.073378839590444,62,45.07648538555328,6.347063097988065,1.2977368837683891,1.1999341368944263,1.8763548884511627,1.371888030974439,19.0,7.0,12.0,5.0,7.0
0.0,72,22,550.0,119,25,0.5,2519.6457713441373,13.669577546116193,2.2123893805309733,1.3220088626292468,1.7410281280310378,0.9123082972866693,5.819112627986348,0,105.76882998402826,1.4360179853507435,1.814462329139313,1.2565830241163747,1.4521850815996626,1.3224701410088824,7.0,10.0,12.0,4.0,7.0
0.0,72,22,550.0,101,25,0.5,2009.9006905018373,11.995495395749481,3.761061946902655,1.0709010339734122,1.125121241513094,0.8081006685017695,5.2047781569965865,0,97.9683278854892,1.2066605889485404,2.049780152739271,1.5045000202267116,1.5216752318261162,1.6898126837426848,6.0,12.0,14.0,4.0,8.0
0.0,72,22,550.0,137,25,0.5,3298.69441248372,17.412050795318,1.3716814159292035,2.5406203840472674,2.129000969932105,1.2327959103421156,8.148464163822526,2,121.29408529841015,2.4758079870891936,1.2711082186439613,1.2963286368929166,1.4304218656312304,1.2334122300977979,9.0,7.0,13.0,4.0,6.0
0.0,72,22,550.0,74,25,0.5,2130.636339429611,12.06311890695846,4.026548672566372,1.0265878877400296,1.3191076624636275,0.7471490365709791,5.401023890784983,0,99.4033283320164,1.234561559090071,1.9838663966847223,1.3802889836297116,1.5094005229473302,1.571336552513748,6.0,11.0,13.0,4.0,7.5
0.0,72,22,550.0,104,25,0.5,2074.8022944000654,11.769087656394442,3.4070796460176993,0.9231905465288036,1.265761396702231,0.7845064883995281,5.3839590443686,0,99.19404563466,1.2131282086804782,2.002438438449437,1.4416741774328037,1.486665634906355,1.5944156072097893,6.0,11.0,13.0,4.0,8.0
0.0,72,22,550.0,89,25,0.5,2016.066701202291,11.191275144842367,4.292035398230089,1.085672082717873,1.1736178467507274,0.6724341329138812,5.102389078498294,0,96.88846392144931,1.2080251029177485,2.047684849525306,1.6998344607211782,1.5275610334606284,1.8255571603444305,5.5,12.0,16.0,4.0,8.5
0.0,72,22,550.0,5,25,0.5,1123.0485103830654,2.5445816235134484,0.17699115044247787,0.39881831610044316,0.31522793404461685,0.19661816751867872,1.3395904436860069,82,28.424520905502337,1.1667156990889922,1.1670843071582637,1.1499034315010026,1.6106130929130922,1.2869109642691303,5.0,6.0,9.75,3.0,5.0
0.0,72,22,550.0,155,25,0.5,2793.6129530045437,12.904963845870688,0.9292035398230089,2.2968980797636633,1.6634335596508245,1.099095556429414,4.778156996587031,26,88.33444516550426,4.002200941027094,1.227060072309837,1.2737351091186204,1.4846492539175016,1.3477290805082742,14.0,6.0,13.0,4.0,6.0
0.0,72,22,550.0,122,25,0.5,2614.8532400938802,13.940501803587214,1.9469026548672566,1.292466765140325,1.915615906886518,0.9024773889107354,6.143344709897611,0,107.53304002736249,1.5597934724723077,1.7677894921634991,1.2733229496494374,1.4696429701624996,1.3109387991268846,7.0,9.0,12.0,4.0,7.0
0.0,72,22,550.0,59,25,0.5,2591.205963544314,13.863840449334344,1.8141592920353982,1.3589364844903988,1.9253152279340446,0.8926464805348014,5.793515358361775,0,106.06904688923379,1.5259436296993651,1.7905138140323922,1.2755412302382227,1.4690269518751817,1.3191430904972445,7.0,9.0,12.0,4.0,7.0
0.0,72,22,550.0,20,25,0.5,2414.606873042023,9.604255099661883,0.7079646017699115,1.9645494830132941,1.1202715809893307,0.8297286669288242,3.933447098976109,48,67.54241716522297,3.5405112084818278,1.226062662886883,1.1701384926268454,1.5586853118967703,1.288352969133912,10.0,5.0,12.0,3.5,7.0
0.0,72,22,550.0,11,25,0.5,1694.4219091058947,4.93344043318056,0.17699115044247787,0.9970457902511078,0.7032007759456839,0.3834054266614235,1.834470989761092,73,38.79652291601102,1.165396093970209,1.203257183843082,1.1524391741511113,1.720735847737868,1.2956273911986593,6.0,5.5,11.0,3.5,6.0
0.0,72,22,550.0,107,25,0.5,2157.13350904492,12.263296172535497,3.3185840707964607,1.0044313146233381,1.353055286129971,0.749115218246166,5.656996587030717,0,99.91979273393073,1.2321575428239397,1.9647774031579948,1.3712834563356795,1.505408023624505,1.556371462864401,6.0,11.0,13.0,4.0,7.0
0.0,72,22,550.0,44,25,0.5,3268.637899317935,18.155630715030394,1.4601769911504425,2.5480059084194977,2.032007759456838,1.2445930003932364,8.430034129692833,2,120.14706820442476,2.290165445243024,1.3159313269903252,1.2865861839242998,1.4292231592101532,1.2412796710427223,9.0,7.0,12.0,4.0,6.0
0.0,72,22,550.0,140,25,0.5,3389.626118850938,17.785432622779705,0.9292035398230089,2.2156573116691285,2.1920465567410283,1.3271726307510814,8.694539249146757,3,122.34073511514029,2.7843414925111447,1.2396463925828316,1.2926175849320338,1.4234368135329656,1.2412681828723915,10.0,6.5,13.0,4.0,6.0
0.0,72,22,550.0,23,25,0.5,2529.2920577932878,10.809911584455271,0.6194690265486725,2.2008862629246675,1.4161008729388942,0.9300039323633503,4.488054607508532,39,78.62454673841799,3.626959263725784,1.206084917847785,1.2018891000183265,1.5162785549912554,1.283118291852622,11.0,6.0,12.0,4.0,6.0
0.0,72,22,550.0,173,25,0.5,1372.6297287499146,3.357830661457085,0.17699115044247787,0.6056129985228951,0.3685741998060136,0.23987416437278802,1.5699658703071673,79,31.33651989983225,1.1658363090494765,1.2021357413472822,1.1491650290681987,1.503258505896903,1.2883108410942612,5.0,6.0,10.0,3.0,6.0
0.0,72,22,550.0,32,25,0.5,3162.2716669642723,14.632837418882344,1.1061946902654867,1.7651403249630726,1.8913676042677012,1.091230829728667,9.044368600682594,8,113.61980359151298,3.391674947484931,1.2364906094728418,1.3442444819681034,1.4561607719155827,1.273110475591752,12.0,6.0,13.0,4.0,6.0
0.0,72,22,550.0,92,25,0.5,2027.235898026479,10.927583809470553,4.2477876106194685,1.0192023633677991,1.1348205625606207,0.6291781360597719,5.375426621160409,0,96.97834414366207,1.2121757102421735,2.0485535085086406,1.6920902548849766,1.5146979597348205,1.8071296582970908,5.5,12.0,15.0,4.0,8.5
0.0,72,22,550.0,158,25,0.5,2503.8166752996312,10.379694874721483,0.6194690265486725,2.348596750369276,1.265761396702231,0.8749508454581204,4.172354948805461,40,75.43808357860136,4.072320818987917,1.22052277069052,1.1958339911606777,1.6132070578075135,1.2986507644203473,12.0,6.0,12.0,4.0,6.0
0.0,72,22,550.0,17,25,0.5,2281.3653555000274,8.710315229703037,0.6637168141592921,1.4918759231905465,1.0911736178467508,0.7648446716476602,3.216723549488055,52,62.738964412699055,4.47795916976394,1.2873089783640181,1.176146348351392,1.6226651037455073,1.315900652673778,14.0,5.0,12.0,4.0,7.0
0.0,72,22,550.0,62,25,0.5,2459.3772087378134,13.363857355169209,2.168141592920354,1.2259970457902511,1.571290009699321,0.9083759339362957,6.075085324232082,0,104.95519915689827,1.4234271000611627,1.8238773020247567,1.2687282946317184,1.4477103818348507,1.3430472006558414,7.0,10.0,12.0,4.0,7.0
0.0,72,22,550.0,77,25,0.5,2052.133228019603,11.785748842064923,4.424778761061947,1.0561299852289512,1.4161008729388942,0.6861974046401887,5.187713310580205,0,98.75001476855834,1.2204086908361949,2.0104462974824853,1.4612834250505204,1.4965843709971196,1.6451655103640177,6.0,11.0,13.0,4.0,8.0
0.0,72,22,550.0,143,25,0.5,3300.383616837057,11.362828102664931,0.8849557522123894,1.7355982274741506,1.8816682832201745,0.7471490365709791,9.343003412969283,4,120.78529086307385,2.9968998241398648,1.2225095493616964,1.3266832984259072,1.4207566731983658,1.248088622737998,11.0,6.0,13.0,4.0,6.0
0.0,72,22,550.0,41,25,0.5,3329.7980932593123,17.280953532574966,1.0619469026548671,2.2968980797636633,2.0223084384093113,1.238694455367676,9.052901023890785,3,121.87280135064195,2.5311755750700904,1.2460772453994093,1.294655591834686,1.4222460224355815,1.2364804735894845,9.0,6.5,13.0,4.0,6.0
0.0,72,22,550.0,113,25,0.5,2263.2218737137055,12.26446271681421,2.2123893805309733,1.277695716395864,1.4936954413191077,0.7353519465198585,5.776450511945392,0,101.53124134082739,1.3068921072525377,1.947803243800891,1.3011485163656067,1.525241437744588,1.4238081432562404,6.0,10.0,12.5,4.0,7.0
0.0,72,22,550.0,38,25,0.5,3346.982017628432,17.025279576845435,1.4601769911504425,2.0605612998522895,2.206595538312318,1.228863546991742,8.9419795221843,4,121.65976550261755,2.8763800618555604,1.2240912337372902,1.3222354088514887,1.4146064527801832,1.2368428298957208,11.0,6.0,13.0,4.0,6.0
0.0,72,22,550.0,95,25,0.5,2000.417610900021,11.192208939428689,4.115044247787611,1.0635155096011817,1.1299709020368576,0.684231222965002,5.264505119453925,0,97.23642419354827,1.206415887492125,2.026841793712412,1.628321328749979,1.4982839123111886,1.7740795459077254,6.0,12.0,15.0,4.0,8.0
0.0,72,22,550.0,110,25,0.5,2219.8865703953015,12.28472692941282,3.0530973451327434,1.1595273264401773,1.4791464597478177,0.7530475815965395,5.503412969283277,0,100.70953984387073,1.277898379133779,1.9715958357495844,1.320923930157669,1.4942369590449034,1.4911725294638127,6.0,11.0,13.0,4.0,7.0
0.0,72,22,550.0,65,25,0.5,2314.899129017806,12.860567621547474,2.3893805309734515,1.1816838995568686,1.7410281280310378,0.8218639402280771,5.520477815699659,0,102.94323371627084,1.36092385297361,1.8643581760533916,1.2804921718111608,1.5290326015308053,1.3648931189198366,7.0,10.0,12.0,4.0,7.0
0.0,72,22,550.0,128,25,0.5,2830.6542315795264,15.409408741952493,1.7699115044247788,1.4032496307237814,1.9107662463627546,1.0361777428234369,7.252559726962457,0,112.65399538845107,1.9005557948278258,1.6004703975484724,1.2737503059645268,1.4585383143884374,1.2848336740570698,8.0,8.0,12.0,4.0,6.0
0.0,72,22,550.0,161,25,0.5,2424.004160256218,9.576619813214368,0.7964601769911505,1.979320531757755,1.1105722599418042,0.8651199370821865,3.6262798634812285,51,66.09510675483627,3.2510339365818903,1.234324045184139,1.1548334918050442,1.5461205156709315,1.2708338891585722,10.0,5.0,12.0,3.0,6.5
0.0,72,22,550.0,29,25,0.5,3027.827126111007,13.360079491350433,0.8849557522123894,1.55096011816839,1.8283220174587778,0.998820290994888,8.370307167235495,17,103.60398355170904,3.4740632939820593,1.229562323853392,1.2802017461036255,1.4640998754642807,1.2834353973324542,11.0,6.0,13.0,4.0,6.0
0.0,72,22,550.0,26,25,0.5,2864.0185621396254,12.2909756656844,0.7964601769911505,1.8242245199409157,1.6197866149369542,0.9359024773889107,6.877133105802049,24,94.0409607038773,3.923743784766271,1.2309040831829297,1.2672679733751018,1.4805567761282263,1.3171151499515008,14.0,6.0,13.0,4.0,6.0
0.0,72,22,550.0,8,25,0.5,1469.5441164707588,3.9333294616790684,0.2654867256637168,0.6277695716395865,0.5383123181377304,0.31458906802988595,1.5955631399317407,78,33.202249652624346,1.165394809117302,1.2002613967297582,1.1447199548247984,1.6170782682454559,1.2914799898722122,6.0,6.0,10.0,4.0,6.0
0.0,72,22,550.0,146,25,0.5,3245.209831386491,16.08865374970929,0.9292035398230089,1.8389955686853767,2.0562560620756547,1.2249311836413685,8.873720136518772,6,118.34352284648666,3.170081009697225,1.2179487388758485,1.3332809328287127,1.4206508508050097,1.2460694262088152,12.0,6.0,13.0,4.0,6.0
0.0,72,22,550.0,80,25,0.5,1989.671422251914,11.423483210294636,3.982300884955752,0.9748892171344165,1.2900096993210475,0.7038930397168699,5.085324232081911,0,97.7608754170647,1.1933755114842586,2.0466896203256417,1.5293052997995482,1.5117640006496045,1.748067614259454,5.5,12.0,14.0,4.0,8.0
