time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,48,110,340.0,53,25,5.0,5255.397745275463,24.06418920433932,1.4601769911504425,2.466765140324963,2.2259941804073717,1.6220998820290995,7.440273037542662,1,122.28939758063606,1.7951897614100507,1.1201360126198818,1.1046083666143693,1.2536146182307497,1.1537279946396723,17.0,11.0,31.0,5.0,12.0
0.0,48,110,340.0,53,25,20.0,5262.092732383966,24.131433953170333,1.9026548672566372,2.348596750369276,2.419980601357905,1.5906409752261108,7.34641638225256,1,122.2802625118285,1.7774450951812242,1.1230228472978827,1.1054071438963164,1.2553409646975802,1.1537431586729396,16.0,10.5,31.0,5.0,12.0
0.0,48,110,340.0,53,25,30.0,5243.138390076845,21.345117876932022,1.5044247787610618,2.031019202363368,2.177497575169738,1.2190326386158081,9.385665529010238,1,122.32121937054293,1.7884264368399143,1.123821223004721,1.1065387527887351,1.2536146182307497,1.1547043120928189,16.0,10.5,31.0,5.0,12.0
0.0,48,110,340.0,53,25,10.0,5244.159842275129,24.310915791466602,1.6814159292035398,2.488921713441654,2.3423860329776915,1.6417616987809673,7.337883959044368,1,122.39290740631328,1.7825869386405415,1.1204424824039856,1.1045233813272461,1.25594567990436,1.1536598527308506,17.0,11.0,31.0,5.0,12.0
0.0,48,110,340.0,53,25,50.0,5172.464490787359,21.327852215511232,1.415929203539823,2.1787296898079767,2.1483996120271582,1.2229650019661817,9.155290102389078,1,122.28370994075574,1.7976602758158597,1.1313814607263861,1.1100865789201484,1.2460341110134279,1.1571283271642019,16.0,11.0,31.0,5.0,12.0
0.0,48,110,340.0,53,25,45.0,5185.70109187222,24.37329289276761,1.6814159292035398,2.2451994091580505,2.4005819592628517,1.6653558788832088,7.2098976109215025,1,122.16559582401732,1.7998132031261715,1.1294177622237525,1.1088366888343666,1.2484411872896777,1.1557238270431331,16.0,11.0,31.0,5.0,12.0
0.0,48,110,340.0,53,25,0.0,5252.995673860913,24.479564513080245,1.7256637168141593,2.4741506646971936,2.2744907856450047,1.6319307904050333,7.431740614334472,1,122.25531219634932,1.7781429287294162,1.119913254279299,1.1045643709519468,1.256061734785828,1.154599924943665,17.0,11.0,31.0,5.0,12.0
0.0,48,110,340.0,53,25,40.0,5195.550097977696,24.182916837877073,1.9026548672566372,2.4593796159527326,2.2841901066925314,1.6574911521824616,7.1331058020477816,1,122.12216198457898,1.7976390104067406,1.1278855181271632,1.1079906551076606,1.2484417965290147,1.1555214763862942,16.0,11.0,31.0,5.0,12.0
0.0,48,110,340.0,53,25,35.0,5227.556975847356,24.330644090003545,1.3716814159292035,2.2821270310192023,2.3278370514064015,1.6496264254817146,7.636518771331058,1,122.49487531298305,1.7869609711410221,1.1249770222168127,1.1069890815780914,1.2500815806904977,1.1541641834889473,16.0,10.0,31.0,5.0,12.0
0.0,48,110,340.0,53,25,15.0,5263.247224462193,24.044069256655686,1.592920353982301,2.3707533234859675,2.2841901066925314,1.6181675186787259,7.534129692832764,1,122.20900652185485,1.7855444862775562,1.121166284301796,1.1050163433953206,1.252835065508528,1.1533028817480648,16.0,11.0,31.0,5.0,12.0
0.0,48,110,340.0,53,25,25.0,5266.452579950965,24.25105875725447,1.5486725663716814,2.4593796159527326,2.3860329776915616,1.598505701926858,7.312286689419794,1,122.30265120252118,1.782917985612973,1.1225976379345215,1.1058887171242255,1.2538685052831335,1.1543672137209364,16.0,11.0,31.0,5.0,12.0
