time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,48,15,570.0,70,25,50.0,1048.1244866950024,6.276757484078593,1.6371681415929202,0.5908419497784343,0.7807953443258971,0.4011010617381046,2.474402730375427,0,67.5544746632777,1.403157865903541,2.0625282874499016,1.4321302351790663,1.757089696428417,1.7052546338038004,6.5,9.0,11.0,5.5,7.5
0.0,60,12,570.0,70,25,50.0,1094.7252524225007,6.849943718896266,1.1946902654867257,0.5317577548005908,0.8195926285160039,0.45615414864333464,2.7645051194539247,0,69.06962217266387,1.4904999291103156,2.801840827157141,1.4911999254975032,1.9070014199640464,1.8787515048725314,6.0,11.0,10.0,5.5,8.0
0.0,72,10,570.0,70,25,50.0,1028.2580376514998,6.687797721093619,1.991150442477876,0.5022156573116691,0.8438409311348205,0.43452615021627994,2.5426621160409555,0,69.04497234148444,1.5618312144520567,3.6598291433917742,1.6386582335484576,2.111578417727425,2.4976498864190035,6.0,11.0,9.0,6.0,8.0
0.0,40,18,570.0,70,25,50.0,1028.6758003769996,6.347316530862288,1.0176991150442478,0.6794682422451994,0.6886517943743938,0.4286276051907196,2.5597269624573378,0,68.01388479000494,1.4042933702343083,1.7308333523549493,1.3556117396081002,1.676472659478843,1.5567309153975748,7.0,9.0,11.0,5.0,7.0
0.0,30,24,570.0,70,25,50.0,1060.2241496385002,6.4722611145192195,1.0176991150442478,0.6277695716395865,0.8050436469447139,0.37357451828548954,2.6791808873720138,0,67.31011590278716,1.3845795328872996,1.4227799975215718,1.3011428907159557,1.7014293507026477,1.4500927728836062,7.0,8.0,12.0,5.0,7.0
0.0,16,45,570.0,70,25,50.0,1056.4764060985,6.12651424517226,1.2831858407079646,0.5834564254062038,0.8389912706110572,0.3834054266614235,2.4829351535836177,0,68.30714547781125,1.3312254750196717,1.3349424816925723,1.2232366121638738,1.6639402951660571,1.3384427338385216,8.0,7.0,13.0,5.5,7.0
0.0,24,30,570.0,70,25,50.0,1030.4742139189996,5.991487924752825,0.9734513274336283,0.7385524372230428,0.9165858389912707,0.3834054266614235,2.039249146757679,0,67.27279874556318,1.3653586541647524,1.3545858370327462,1.2379184502451144,1.7020689925590093,1.3798829669306352,7.0,7.0,13.0,5.0,7.0
0.0,36,20,570.0,70,25,50.0,1059.5209152035002,6.237181083507319,1.5486725663716814,0.6646971935007385,0.8244422890397671,0.3460479748328746,2.636518771331058,0,68.22327829731944,1.393305350118724,1.603513825564883,1.3316849523913548,1.7598240049786342,1.4839189695039956,7.0,9.0,11.0,5.0,7.0
0.0,10,72,570.0,70,25,50.0,1074.8560246234995,7.284544739381844,1.1946902654867257,1.0192023633677991,0.7953443258971873,0.47188360204482893,2.2013651877133102,6,63.54149462334175,1.580147594804801,1.4339731354958227,1.255698972258171,2.1709184839369273,1.5299354088499448,11.5,6.0,16.0,6.0,8.0
0.0,18,40,570.0,70,25,50.0,1042.9520549895008,6.475996032528341,1.0619469026548671,0.7090103397341212,0.8001939864209505,0.424695241840346,2.372013651877133,0,68.20393509512337,1.358609983130919,1.3086628900700004,1.2229979934044082,1.711471403949295,1.3524699821409807,8.0,7.0,13.0,5.0,7.0
0.0,12,60,570.0,70,25,50.0,1072.4594486885003,7.104503308014958,1.3274336283185841,0.723781388478582,0.8874878758486906,0.44239087691702716,2.431740614334471,1,65.84198908925849,1.3525743166197948,1.4259721025211927,1.246783826007544,1.8498994020880586,1.4402332456502727,10.0,7.0,15.0,6.0,8.0
0.0,20,36,570.0,70,25,50.0,1074.2682546239987,6.776289309193739,1.1061946902654867,0.7016248153618907,0.7759456838021339,0.4227290601651593,2.6791808873720138,0,69.44396285129432,1.379522295984185,1.3204288159336335,1.219094349883879,1.7036118359691823,1.3561442698989679,7.5,7.0,13.0,5.0,7.0
0.0,45,16,570.0,70,25,50.0,1059.3374867220139,6.397813748747405,1.3716814159292035,0.5391432791728212,0.8583899127061105,0.3893039716869839,2.5341296928327646,0,68.40914133391783,1.3305930502754189,1.8916658596396834,1.4050125858666218,1.7214421909633149,1.5692413402310228,6.0,9.0,11.0,5.0,7.0
0.0,15,48,570.0,70,25,50.0,1071.1099345485004,7.275609856899797,1.1504424778761062,0.8197932053175776,0.8341416100872939,0.462052693668895,2.525597269624573,0,69.02159486182786,1.5359923912916826,1.3049584639129255,1.2170149239222383,1.7476925398452359,1.3545396203555313,8.0,7.0,13.5,5.5,7.0
