time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,28,120,790.0,53,25,50.0,5321.907730547111,24.826510674797557,8.539823008849558,4.8153618906942395,6.047526673132881,2.198191112858828,15.597269624573379,0,175.5390591921083,1.327459563999063,1.1898461161137852,1.1744082243805514,1.7123324772009338,1.2077535910896964,9.5,7.0,26.0,3.0,8.0
0.0,28,120,680.0,53,25,50.0,5365.726586512054,24.89793485003912,6.283185840707965,4.032496307237814,4.95635305528613,2.0762878489972474,13.10580204778157,0,162.83941198230974,1.5051785366100874,1.1791446922123454,1.1595147994414814,1.5703449069427498,1.1999312617722184,11.0,7.0,27.0,3.0,9.0
0.0,28,120,780.0,53,25,50.0,5330.887300594211,25.174074321282013,8.097345132743362,4.638109305760709,5.98933074684772,2.2316162013370033,15.332764505119453,0,174.62022876493543,1.3526577601723795,1.189687201340997,1.1726039965967217,1.6989913603431406,1.2059637294150596,10.0,7.0,26.0,3.0,8.0
0.0,28,120,960.0,53,25,50.0,5387.320994665126,25.37890247343838,13.053097345132745,6.181683899556869,8.511154219204656,2.477388910735352,17.773037542662117,0,192.0280378154188,1.288822262938624,1.2084858153532407,1.1954150736713451,1.9476018664485908,1.2201296454839015,7.5,6.0,24.0,3.0,7.0
0.0,28,120,870.0,53,25,50.0,5298.80503229003,24.42209007675313,10.530973451327434,5.3249630723781385,6.808923375363725,2.2217852929610697,17.18430034129693,0,183.62057509250468,1.3220789638669375,1.1986960342149862,1.1842776768801269,1.820365313622304,1.213079571574899,9.0,7.0,25.0,3.0,7.5
0.0,28,120,510.0,53,25,50.0,4950.648672279937,22.927551931555765,3.982300884955752,3.072378138847858,3.3559650824442286,1.7459693275658672,8.455631399317406,0,138.42499205414282,1.5920698332144874,1.1593997809654268,1.1361724263932802,1.3696519532640221,1.1908467445510804,13.5,8.0,29.0,4.0,11.0
0.0,28,120,940.0,53,25,50.0,5362.3792454822915,25.241155230210232,11.76991150442478,6.233382570162481,8.128031037827352,2.418403460479748,17.551194539249146,0,190.05083731337623,1.2923202048942384,1.2076157712971864,1.1934727223048056,1.918892113737003,1.2185798252423226,8.0,6.0,25.0,3.0,7.0
0.0,28,120,970.0,53,25,50.0,5394.408601585658,25.484527579833006,13.362831858407079,6.410635155096012,8.389912706110572,2.487219819111286,17.84982935153584,0,192.86073463525992,1.2902086017993353,1.2102931824481347,1.1968897022714096,1.9620152431780946,1.2215849384209558,7.0,6.0,24.0,3.0,7.0
0.0,28,120,600.0,53,25,50.0,5284.73355348635,24.020541915525037,6.061946902654867,3.611521418020679,4.161008729388943,1.9347227683837989,11.126279863481228,0,152.58945305536056,1.5571772274879947,1.1694721331077687,1.1478129245026112,1.4703356030424937,1.193289702281619,12.5,8.0,28.0,3.5,10.0
0.0,28,120,850.0,53,25,50.0,5309.4817652014735,24.489804305935646,9.513274336283185,5.044313146233383,6.813773035887488,2.2414471097129374,16.527303754266214,0,181.6256147023153,1.3288868106223255,1.1975558604433234,1.1814717759594973,1.7928189325997832,1.2105653313054485,9.0,7.0,25.0,3.0,8.0
